No	Family Name	Given Name	Nation	Races	"World CupRank"	"Rank(avg)"	"Points(avg)"	Wins	2nd	3rd	Podiums	Top5s	Top10s	Top20s	Top30s	Top40s	>40	LAP	DNF	DSQ
1	Bjoerndalen	Ole Einar	NOR	19	1	5.8	33.5	11	0	0	11	11	16	18	19	19	0	0	0	0
2	Drachev	Vladimir	BLR	23	2	12.1	27.6	3	2	1	6	9	15	18	21	23	0	0	0	0
3	Poiree	Raphael	FRA	18	4	7.2	32.8	2	3	3	8	10	13	16	16	17	0	0	1	0
4	Gross	Ricco	GER	23	3	12.0	26.9	1	3	2	6	9	13	19	21	23	0	0	0	0
5	Hanevold	Halvard	NOR	22	5	15.0	25.1	1	2	2	5	7	11	17	20	20	2	0	0	0
6	Andresen	Frode	NOR	23	6	17.2	21.1	1	2	2	5	5	9	15	19	19	4	0	0	0
7	Fischer	Sven	GER	19	10	14.5	22.0	1	2	1	4	4	8	13	18	18	1	0	0	0
8	Maric	Janez	SLO	18	23	28.2	12.2	1	1	0	2	3	4	5	13	14	4	0	0	0
9	Deryzemlya	Andriy	UKR	15	30	31.4	10.1	1	0	1	2	2	2	6	9	10	5	0	0	0
10	Wolf	Alexander	GER	15	39	31.4	6.0	1	0	0	1	1	1	3	6	11	4	0	0	0
11	Vitek	Zdenek	CZE	14	16	11.2	22.5	0	2	1	3	3	6	12	12	13	0	0	1	0
12	Tchepikov	Sergei	RUS	19	7	14.7	24.5	0	2	0	2	5	10	16	16	17	2	0	0	0
13	Rostovtsev	Pavel	RUS	19	12	20.2	19.3	0	2	0	2	5	8	11	15	17	2	0	0	0
14	Ryzhenkov	Oleg	BLR	23	8	16.7	19.7	0	1	1	2	3	10	14	21	22	1	0	0	0
15	Hietalahti	Vesa	FIN	14	33	28.7	9.5	0	1	0	1	2	2	5	8	10	4	0	0	0
16	Eckhoff	Stian	NOR	23	11	16.8	18.8	0	0	2	2	4	9	15	19	23	0	0	0	0
17	Gjelland	Egil	NOR	22	13	21.9	16.6	0	0	1	1	3	7	12	18	20	2	0	0	0
18	Luck	Frank	GER	22	17	24.4	13.2	0	0	1	1	3	5	11	15	19	3	0	0	0
19	Dolenc	Marko	SLO	22	25	25.4	9.0	0	0	1	1	1	4	8	15	21	1	0	0	0
20	Puurunen	Paavo	FIN	16	27	23.1	10.7	0	0	1	1	1	3	7	10	13	2	0	1	0
21	Rottmann	Wolfgang	AUT	16	28	24.9	11.6	0	0	1	1	1	2	5	13	13	2	0	1	0
22	Berger	Lars	NOR	13	43	33.8	6.6	0	0	1	1	1	1	3	6	9	4	0	0	0
23	Aidarov	Alexei	BLR	16	47	41.9	3.9	0	0	1	1	1	1	2	2	6	10	0	0	0
24	Bricis	Ilmars	LAT	21	18	22.2	12.6	0	0	0	0	3	4	11	15	18	3	0	0	0
25	Defrasne	Vincent	FRA	23	14	19.4	15.7	0	0	0	0	2	5	15	20	20	2	0	1	0
26	Bashkirov	Sergey	RUS	15	36	31.2	8.7	0	0	0	0	2	3	3	7	8	7	0	0	0
27	Mesotitsch	Daniel	AUT	16	29	27.3	11.4	0	0	0	0	2	2	7	9	11	4	0	1	0
28	Sikora	Tomasz	POL	23	9	15.2	19.3	0	0	0	0	1	9	16	21	21	1	0	1	0
29	Sumann	Christoph	AUT	21	15	17.9	16.2	0	0	0	0	1	5	15	20	20	1	0	0	0
30	Cattarinussi	Rene	ITA	23	22	24.9	10.8	0	0	0	0	1	5	9	16	20	3	0	0	0
31	Sendel	Peter	GER	20	21	25.0	12.5	0	0	0	0	1	5	9	12	16	4	0	0	0
32	Perner	Wolfgang	AUT	22	24	28.5	9.4	0	0	0	0	1	4	7	13	18	4	0	0	0
33	Robert	Julien	FRA	20	20	24.4	11.5	0	0	0	0	1	3	10	15	16	4	0	0	0
34	Greis	Michael	GER	20	26	25.1	9.3	0	0	0	0	1	3	8	14	19	1	0	0	0
35	Rozhkov	Sergei	RUS	20	19	19.3	14.1	0	0	0	0	1	2	12	18	19	1	0	0	0
36	Dostal	Roman	CZE	17	38	35.8	7.1	0	0	0	0	1	2	4	7	11	6	0	0	0
37	Derkach	Vyacheslav	UKR	16	34	31.4	8.3	0	0	0	0	1	1	5	9	11	5	0	0	0
38	Kruglov	Nikolay	RUS	15	42	31.9	6.2	0	0	0	0	1	1	4	8	11	4	0	0	0
39	Globocnik	Tomas	SLO	16	41	35.8	5.5	0	0	0	0	1	1	4	6	10	5	1	0	0
40	Pallhuber	Wilfried	ITA	22	31	31.2	7.5	0	0	0	0	0	3	7	13	16	6	0	0	0
41	Cannard	Ferreol	FRA	20	32	28.9	7.7	0	0	0	0	0	2	6	12	16	4	0	0	0
42	Maigourov	Viktor	RUS	15	35	25.5	8.8	0	0	0	0	0	2	5	11	13	2	0	0	0
43	Valiullin	Rustam	BLR	19	37	30.5	6.3	0	0	0	0	0	1	6	11	13	6	0	0	0
44	Bergman	Carl Johan	SWE	18	40	31.3	5.3	0	0	0	0	0	1	4	7	16	2	0	0	0
45	Tobreluts	Indrek	EST	15	45	30.3	5.0	0	0	0	0	0	1	3	7	11	3	0	1	0
46	Teela	Jeremy	USA	11	48	40.3	5.6	0	0	0	0	0	1	3	5	6	5	0	0	0
