No	Family Name	Given Name	Nation	Races	"World CupRank"	"Rank(avg)"	"Points(avg)"	Wins	2nd	3rd	Podiums	Top5s	Top10s	Top20s	Top30s	Top40s	>40	LAP	DNF	DSQ
1	Maigourov	Viktor	RUS	20	3	10.6	16.9	4	1	1	6	9	12	17	19	20	0	0	0	0
2	Bjoerndalen	Ole Einar	NOR	20	2	13.7	15.9	3	2	3	8	9	12	14	16	18	2	0	0	0
3	Fischer	Sven	GER	19	1	12.1	17.1	3	1	3	7	11	12	15	18	18	1	0	0	0
4	Gross	Ricco	GER	19	4	12.6	16.8	2	3	0	5	9	12	16	17	18	1	0	0	0
5	Gredler	Ludwig	AUT	20	7	15.9	12.2	2	0	2	4	6	8	12	17	20	0	0	0	0
6	Pallhuber	Wilfried	ITA	18	15	25.9	8.6	2	0	0	2	3	4	9	10	13	5	0	0	0
7	Mouslimov	Pavel	RUS	20	5	16.3	13.3	1	1	1	3	5	9	15	17	17	3	0	0	0
8	Kirchner	Mark	GER	20	9	20.2	11.1	1	0	0	1	3	8	12	14	17	3	0	0	0
9	Sashurin	Vadim	BLR	17	19	23.3	7.4	1	0	0	1	2	4	8	12	15	2	0	0	0
10	Perner	Wolfgang	AUT	20	24	24.6	6.9	1	0	0	1	1	4	9	14	16	4	0	0	0
11	Tarasov	Sergei Sen.	RUS	17	12	21.1	10.4	0	2	1	3	4	6	10	12	14	3	0	0	0
12	Rostovtsev	Pavel	RUS	16	17	24.3	9.1	0	2	1	3	3	3	9	12	14	2	0	0	0
13	Andresen	Frode	NOR	17	13	31.2	10.8	0	2	0	2	4	6	11	11	12	5	0	0	0
14	Carrara	Pieralberto	ITA	16	20	24.8	9.6	0	2	0	2	4	5	9	11	13	3	0	0	0
15	Hietalahti	Vesa	FIN	15	27	32.7	6.5	0	2	0	2	2	2	6	7	8	7	0	0	0
16	Ryzhenkov	Oleg	BLR	19	6	14.8	12.8	0	1	2	3	4	8	14	17	19	0	0	0	0
17	Cattarinussi	Rene	ITA	17	8	13.9	14.0	0	1	2	3	3	9	15	15	16	1	0	0	0
18	Hanevold	Halvard	NOR	15	22	19.3	9.3	0	0	1	1	3	5	7	13	13	2	0	0	0
19	Rozhkov	Sergei	RUS	17	21	23.8	8.4	0	0	1	1	2	4	9	12	14	3	0	0	0
20	Drachev	Vladimir	RUS	18	25	27.3	7.2	0	0	1	1	2	4	8	11	14	4	0	0	0
21	Poiree	Raphael	FRA	18	16	21.9	8.3	0	0	1	1	2	3	9	15	16	2	0	0	0
22	Favre	Patrick	ITA	19	14	24.3	8.3	0	0	0	0	3	6	10	12	16	3	0	0	0
23	Luck	Frank	GER	17	11	13.9	11.6	0	0	0	0	2	7	13	15	16	0	0	1	0
24	Heymann	Carsten	GER	18	10	15.4	11.3	0	0	0	0	1	7	13	17	18	0	0	0	0
25	Kobelev	Alexei	RUS	17	26	29.2	6.5	0	0	0	0	1	3	7	12	14	3	0	0	0
26	Glimsdal	Sylfest	NOR	9	34	28.8	6.3	0	0	0	0	1	1	4	5	7	2	0	0	0
27	Nakums	Jekabs	LAT	17	41	46.6	2.8	0	0	0	0	1	1	4	4	7	10	0	0	0
