No	Family Name	Given Name	Nation	Races	"World CupRank"	"Rank(avg)"	"Points(avg)"	Wins	2nd	3rd	Podiums	Top5s	Top10s	Top20s	Top30s	Top40s	>40	LAP	DNF	DSQ
1	Dahlmeier	Laura	GER	18	6	6.8	43.7	5	2	3	10	11	14	17	17	18	0	0	0	0
2	Koukalova	Gabriela	CZE	25	1	4.2	45.4	4	4	3	11	19	24	25	25	25	0	0	0	0
3	Makarainen	Kaisa	FIN	24	4	9.6	37.7	4	2	3	9	11	16	20	24	24	0	0	0	0
4	Dorin Habert	Marie	FRA	25	2	6.7	42.2	3	6	2	11	14	21	23	25	25	0	0	0	0
5	Wierer	Dorothea	ITA	25	3	8.2	39.1	3	3	4	10	12	18	24	25	25	0	0	0	0
6	Hildebrand	Franziska	GER	23	5	11.0	34.5	2	1	2	5	9	13	21	22	22	1	0	0	0
7	Bilosiuk	Olena	UKR	24	7	11.0	30.2	1	0	2	3	6	14	22	22	22	1	0	1	0
8	Eckhoff	Tiril	NOR	19	11	15.6	28.6	1	0	1	2	8	9	13	16	18	1	0	0	0
9	Podchufarova	Olga	RUS	18	16	18.9	24.1	1	0	1	2	3	6	12	14	17	1	0	0	0
10	Yurlova-Percht	Ekaterina	RUS	20	20	21.8	22.0	1	0	1	2	2	3	12	16	18	2	0	0	0
11	Hammerschmidt	Maren	GER	16	25	25.0	20.2	0	2	0	2	3	4	7	11	12	4	0	0	0
12	Guzik	Krystyna	POL	24	10	18.9	22.6	0	1	1	2	4	6	14	21	21	2	0	1	0
13	Bescond	Anais	FRA	24	9	16.9	27.8	0	1	0	1	5	10	18	22	23	1	0	0	0
14	Dunklee	Susan	USA	24	14	24.7	20.5	0	1	0	1	2	7	12	17	20	4	0	0	0
15	Gasparin	Selina	SUI	19	24	26.7	16.6	0	1	0	1	2	3	9	11	16	3	0	0	0
16	Sanfilippo	Federica	ITA	17	36	36.9	9.4	0	1	0	1	1	2	2	8	10	7	0	0	0
17	Roeiseland	Marte Olsbu	NOR	19	22	27.6	18.5	0	0	1	1	1	4	9	13	14	5	0	0	0
18	Goessner	Miriam	GER	21	23	25.5	16.7	0	0	1	1	1	3	10	14	16	5	0	0	0
19	Vitkova	Veronika	CZE	25	8	13.0	28.2	0	0	0	0	3	15	20	22	23	1	0	1	0
20	Preuss	Franziska	GER	17	12	11.2	31.4	0	0	0	0	3	10	15	16	17	0	0	0	0
21	Skardino	Nadezhda	BLR	20	19	20.2	21.1	0	0	0	0	1	6	11	17	18	2	0	0	0
22	Braisaz-Bouchet	Justine	FRA	21	21	24.8	16.9	0	0	0	0	1	2	8	15	18	3	0	0	0
23	Hojnisz-Starega	Monika	POL	23	26	29.5	13.3	0	0	0	0	1	1	7	12	18	5	0	0	0
24	Charvatova	Lucie	CZE	21	31	34.4	10.8	0	0	0	0	1	1	6	11	12	8	0	0	1
25	Bendika	Baiba	LAT	17	49	47.5	7.2	0	0	0	0	1	1	3	4	7	10	0	0	0
26	Dzhima	Yuliia	UKR	23	13	21.7	20.6	0	0	0	0	0	7	13	19	20	3	0	0	0
27	Oberhofer	Karin	ITA	24	17	23.5	18.9	0	0	0	0	0	5	12	18	21	3	0	0	0
28	Hinz	Vanessa	GER	18	27	28.1	16.9	0	0	0	0	0	3	9	12	13	5	0	0	0
29	Birkeland	Fanny Horn	NOR	16	29	25.8	15.9	0	0	0	0	0	3	7	8	14	2	0	0	0
30	Hauser	Lisa Theresa	AUT	25	15	22.5	19.2	0	0	0	0	0	2	13	20	22	2	0	1	0
31	Virolainen	Daria	RUS	21	30	30.5	11.5	0	0	0	0	0	2	6	11	18	3	0	0	0
32	Petrenko	Iryna	UKR	15	34	28.7	13.8	0	0	0	0	0	2	6	8	11	4	0	0	0
