No	Family Name	Given Name	Nation	Races	"World CupRank"	"Rank(avg)"	"Points(avg)"	Wins	2nd	3rd	Podiums	Top5s	Top10s	Top20s	Top30s	Top40s	>40	LAP	DNF	
DSQ
122	Molcan	Jozef	SVK	3		83.0	0.0	0	0	0	0	0	0	0	0	0	3	0	0	0
123	Annala	Jussi	FIN	1		72.0	0.0	0	0	0	0	0	0	0	0	0	1	0	0	0
124	Bogdanovs	Aivars	LAT	4		74.8	0.0	0	0	0	0	0	0	0	0	0	4	0	0	0
125	Rupertus	Glenn	CAN	2		60.5	0.0	0	0	0	0	0	0	0	0	0	2	0	0	0
126	Vaufrey	Franck	FRA	2		58.5	0.0	0	0	0	0	0	0	0	0	0	2	0	0	0
127	Fiala	Tony	CAN	6		67.7	0.0	0	0	0	0	0	0	0	0	0	6	0	0	0
128	Lysenko	Ruslan	UKR	5		61.2	0.0	0	0	0	0	0	0	0	0	0	5	0	0	0
129	Meguro	Hironao	JPN	4		62.3	0.0	0	0	0	0	0	0	0	0	0	4	0	0	0
130	Popov	Boiko	BUL	2		64.0	0.0	0	0	0	0	0	0	0	0	0	2	0	0	0
131	Upenieks	Gundars	LAT	7		54.7	0.0	0	0	0	0	0	0	0	0	0	7	0	0	0
132	Poss	Jay	USA	4		77.3	0.0	0	0	0	0	0	0	0	0	0	4	0	0	0
133	Marguet	Gilles	FRA	2		76.5	0.0	0	0	0	0	0	0	0	0	0	2	0	0	0
134	Sekiya	Shuichi	JPN	2		92.5	0.0	0	0	0	0	0	0	0	0	0	2	0	0	0
135	Tsakiris	Athanasios	GRE	5		74.6	0.0	0	0	0	0	0	0	0	0	0	5	0	0	0
136	Schneider	Urs	SUI	7		89.9	0.0	0	0	0	0	0	0	0	0	0	7	0	0	0
137	Hansen	Jesse	USA	3		72.7	0.0	0	0	0	0	0	0	0	0	0	3	0	0	0
138	Majlis	Milan	SVK	4		90.0	0.0	0	0	0	0	0	0	0	0	0	4	0	0	0
139	Mochizuki	Yukio	JPN	8		67.3	0.0	0	0	0	0	0	0	0	0	0	8	0	0	0
140	Ninaj	Milan	SVK	4		88.3	0.0	0	0	0	0	0	0	0	0	0	4	0	0	0
141	Bjoerndalen	Dag	NOR	2		82.5	0.0	0	0	0	0	0	0	0	0	0	2	0	0	0
142	Molnar	Tamas	HUN	3		87.0	0.0	0	0	0	0	0	0	0	0	0	3	0	0	0
143	Kitzbichler	Gerhard	AUT	2		77.0	0.0	0	0	0	0	0	0	0	0	0	2	0	0	0
144	Rypl	Martin	CZE	5		53.4	0.0	0	0	0	0	0	0	0	0	0	5	0	0	0
145	Kiakos	Vassilios	GRE	3		92.3	0.0	0	0	0	0	0	0	0	0	0	3	0	0	0
146	Andersson	Leif	SWE	1		73.0	0.0	0	0	0	0	0	0	0	0	0	1	0	0	0
147	Giagkou	Angelos	GRE	1		91.0	0.0	0	0	0	0	0	0	0	0	0	1	0	0	0
148	Prants	Janno	EST	8		64.8	0.0	0	0	0	0	0	0	0	0	0	8	0	0	0
149	Kos	Tomas	CZE	6		73.7	0.0	0	0	0	0	0	0	0	0	0	6	0	0	0
150	Bialon	Pawel	POL	7		79.1	0.0	0	0	0	0	0	0	0	0	0	7	0	0	0
151	Tobreluts	Indrek	EST	6		85.8	0.0	0	0	0	0	0	0	0	0	0	6	0	0	0
152	Karpinkin	Gennadij	BLR	4		66.5	0.0	0	0	0	0	0	0	0	0	0	4	0	0	0
153	Michel	Remo	SUI	7		88.1	0.0	0	0	0	0	0	0	0	0	0	7	0	0	0
154	Griaznovas	Ricardas	LTU	3		80.7	0.0	0	0	0	0	0	0	0	0	0	3	0	0	0
155	Barila	Liutauras	LTU	2		93.5	0.0	0	0	0	0	0	0	0	0	0	2	0	0	0
156	Robertson	Ian	CAN	2		74.5	0.0	0	0	0	0	0	0	0	0	0	2	0	0	0
157	Mandrillon	Laurent	FRA	4		76.5	0.0	0	0	0	0	0	0	0	0	0	4	0	0	0
158	Ene	Marius	ROM	2		90.5	0.0	0	0	0	0	0	0	0	0	0	2	0	0	0
159	Lee	Simon	GBR	2		86.5	0.0	0	0	0	0	0	0	0	0	0	2	0	0	0
160	Machyniak	Lubomir	SVK	12		59.0	0.0	0	0	0	0	0	0	0	0	0	12	0	0	0
161	Piil	Raivo	EST	2		68.0	0.0	0	0	0	0	0	0	0	0	0	2	0	0	0
162	Pozdnjakov	Dmitry	KAZ	4		64.0	0.0	0	0	0	0	0	0	0	0	0	4	0	0	0
163	Sizikow	Mikhail	RUS	2		82.5	0.0	0	0	0	0	0	0	0	0	0	2	0	0	0
164	Derkach	Vyacheslav	UKR	4		88.5	0.0	0	0	0	0	0	0	0	0	0	4	0	0	0
165	Hänni	Reto	SUI	13		74.0	0.0	0	0	0	0	0	0	0	0	0	13	0	0	0
166	Stolfa	Martin	CZE	6		74.0	0.0	0	0	0	0	0	0	0	0	0	6	0	0	0
167	Vasile	Gheorghe	ROM	7		80.6	0.0	0	0	0	0	0	0	0	0	0	7	0	0	0
168	Steiner	Michael	SUI	12		78.8	0.0	0	0	0	0	0	0	0	0	0	12	0	0	0
