No	Family Name	Given Name	Nation	Races	"World CupRank"	"Rank(avg)"	"Points(avg)"	Wins	2nd	3rd	Podiums	Top5s	Top10s	Top20s	Top30s	Top40s	>40	LAP	DNF	DSQ
1	Domracheva	Darya	BLR	25	1	5.3	44.4	9	2	1	12	17	20	23	24	24	0	0	1	0
2	Makarainen	Kaisa	FIN	25	2	7.3	42.8	6	4	3	13	15	18	23	24	25	0	0	0	0
3	Dahlmeier	Laura	GER	17	8	6.6	42.6	2	4	2	8	11	15	16	16	17	0	0	0	0
4	Dorin Habert	Marie	FRA	15	14	10.3	35.3	2	0	2	4	6	7	14	15	15	0	0	0	0
5	Vitkova	Veronika	CZE	25	4	11.3	32.2	1	2	3	6	9	14	19	24	24	0	0	1	0
6	Koukalova	Gabriela	CZE	25	6	14.0	30.8	1	2	0	3	8	14	21	24	24	1	0	0	0
7	Semerenko	Valentina	UKR	25	3	9.0	34.9	1	1	4	6	9	18	23	23	24	0	0	1	0
8	Eckhoff	Tiril	NOR	22	11	16.6	25.3	1	0	3	4	4	8	15	20	21	1	0	0	0
9	Yurlova-Percht	Ekaterina	RUS	9	31	16.9	26.7	1	0	0	1	1	3	6	7	9	0	0	0	0
10	Birkeland	Fanny Horn	NOR	22	28	34.0	11.9	1	0	0	1	1	2	4	10	17	5	0	0	0
11	Wierer	Dorothea	ITA	22	7	9.8	32.7	0	2	1	3	7	13	21	22	22	0	0	0	0
12	Preuss	Franziska	GER	22	9	13.8	29.9	0	2	1	3	4	12	18	19	21	1	0	0	0
13	Bescond	Anais	FRA	24	12	21.0	22.4	0	2	0	2	4	10	15	16	20	4	0	0	0
14	Oberhofer	Karin	ITA	23	10	14.8	28.3	0	1	1	2	5	13	18	20	22	1	0	0	0
15	Nowakowska	Weronika	POL	23	13	19.2	23.4	0	1	1	2	2	5	14	19	21	2	0	0	0
16	Hildebrand	Franziska	GER	25	5	12.1	31.0	0	1	0	1	3	16	20	24	24	1	0	0	0
17	Virolainen	Daria	RUS	23	15	20.6	20.3	0	1	0	1	2	6	12	18	21	2	0	0	0
18	Podchufarova	Olga	RUS	17	25	23.5	19.6	0	0	1	1	3	5	8	11	13	4	0	0	0
19	Skardino	Nadezhda	BLR	20	17	23.4	21.4	0	0	1	1	2	5	13	16	17	3	0	0	0
20	Gontier	Nicole	ITA	19	35	40.1	11.5	0	0	1	1	1	4	5	8	10	9	0	0	0
21	Daubnerova	Jana	SVK	24	18	24.6	18.4	0	0	0	0	2	4	11	16	21	3	0	0	0
22	Crawford	Rosanna	CAN	21	20	23.2	18.3	0	0	0	0	2	3	10	15	17	2	0	2	0
23	Eder	Mari	FIN	20	34	31.3	10.6	0	0	0	0	2	2	5	9	13	6	0	1	0
24	Hojnisz-Starega	Monika	POL	15	29	28.6	17.1	0	0	0	0	1	4	6	9	12	3	0	0	0
25	Hinz	Vanessa	GER	22	19	23.7	19.1	0	0	0	0	1	3	12	15	18	4	0	0	0
26	Shumilova	Ekaterina	RUS	20	26	28.3	15.3	0	0	0	0	1	3	7	11	16	4	0	0	0
27	Gregorin	Teja	SLO	21	21	23.2	17.8	0	0	0	0	1	2	7	16	21	0	0	0	0
