No	Family Name	Given Name	Nation	Races	"World CupRank"	"Rank(avg)"	"Points(avg)"	Wins	2nd	3rd	Podiums	Top5s	Top10s	Top20s	Top30s	Top40s	>40	LAP	DNF	DSQ
1	Laegreid	Sturla Holm	NOR	26	2	5.8	43.7	7	2	1	10	15	22	25	26	26	0	0	0	0
2	Boe	Johannes Thingnes	NOR	26	1	4.4	45.3	4	4	6	14	18	25	26	26	26	0	0	0	0
3	Boe	Tarjei	NOR	26	4	10.0	37.4	3	2	3	8	9	16	25	25	25	1	0	0	0
4	Fillon Maillet	Quentin	FRA	25	3	10.4	38.2	3	2	2	7	11	21	22	24	24	1	0	0	0
5	Desthieux	Simon	FRA	26	9	14.8	29.0	2	1	1	4	6	10	18	24	25	1	0	0	0
6	Samuelsson	Sebastian	SWE	26	6	11.7	33.4	1	4	0	5	8	15	23	25	25	1	0	0	0
7	Dale	Johannes	NOR	26	5	10.7	34.4	1	3	2	6	9	17	22	25	26	0	0	0	0
8	Jacquelin	Emilien	FRA	26	7	11.5	32.7	1	2	2	5	7	14	22	25	26	0	0	0	0
9	Peiffer	Arnd	GER	21	12	14.3	29.2	1	2	2	5	6	9	16	19	20	1	0	0	0
10	Ponsiluoma	Martin	SWE	26	10	15.0	28.5	1	1	1	3	4	11	21	23	25	1	0	0	0
11	Hofer	Lukas	ITA	26	8	13.0	31.1	1	0	2	3	8	10	23	25	25	1	0	0	0
12	Loginov	Alexander	RUS	24	17	18.6	23.3	1	0	0	1	1	4	15	22	24	0	0	0	0
13	Claude	Fabien	FRA	25	19	26.9	19.1	0	1	1	2	4	5	12	17	17	8	0	0	0
14	Latypov	Eduard	RUS	25	18	22.3	19.6	0	1	0	1	1	4	10	22	22	3	0	0	0
15	Leitner	Felix	AUT	23	24	31.0	13.5	0	1	0	1	1	2	9	13	17	6	0	0	0
16	Fak	Jakov	SLO	26	11	14.8	27.6	0	0	1	1	4	13	19	22	26	0	0	0	0
17	Lesser	Erik	GER	23	16	19.8	23.6	0	0	1	1	3	6	17	19	20	3	0	0	0
18	Weger	Benjamin	SUI	24	22	24.1	18.7	0	0	1	1	2	3	10	19	22	2	0	0	0
19	Christiansen	Vetle Sjaastad	NOR	22	13	15.6	28.2	0	0	0	0	5	9	18	19	21	1	0	0	0
20	Doll	Benedikt	GER	26	14	17.5	24.3	0	0	0	0	3	9	16	21	26	0	0	0	0
21	Eder	Simon	AUT	26	15	18.1	23.6	0	0	0	0	2	8	16	22	24	2	0	0	0
