No	Family Name	Given Name	Nation	Races	"World CupRank"	"Rank(avg)"	"Points(avg)"	Wins	2nd	3rd	Podiums	Top5s	Top10s	Top20s	Top30s	Top40s	>40	LAP	DNF	DSQ
1	Fourcade	Martin	FRA	25	1	6.5	42.9	8	3	3	14	17	20	22	25	25	0	0	0	0
2	Svendsen	Emil Hegle	NOR	26	2	8.9	40.5	4	4	4	12	16	19	22	25	25	1	0	0	0
3	Birnbacher	Andreas	GER	24	3	10.5	34.9	3	1	0	4	8	12	20	24	24	0	0	0	0
4	Peiffer	Arnd	GER	23	4	14.7	32.0	2	5	0	7	8	13	16	19	22	1	0	0	0
5	Bergman	Carl Johan	SWE	22	6	15.6	31.1	2	1	1	4	6	13	17	19	21	1	0	0	0
6	Boe	Tarjei	NOR	23	7	15.4	28.3	1	2	0	3	6	11	17	21	22	1	0	0	0
7	Shipulin	Anton	RUS	22	8	16.1	29.0	1	1	2	4	5	10	15	21	21	1	0	0	0
8	Garanichev	Evgeniy	RUS	20	12	15.9	29.3	1	1	2	4	5	9	15	18	19	1	0	0	0
9	Bjoerndalen	Ole Einar	NOR	23	16	20.8	22.8	1	1	0	2	5	9	14	18	18	5	0	0	0
10	Makoveev	Andrei	RUS	23	11	17.0	25.0	1	1	0	2	4	5	17	21	22	1	0	0	0
11	Lindstroem	Fredrik	SWE	24	9	18.3	25.6	1	0	2	3	5	11	15	18	22	2	0	0	0
12	Fak	Jakov	SLO	22	17	20.3	23.7	1	0	0	1	3	11	13	17	17	5	0	0	0
13	Fourcade	Simon	FRA	25	5	18.4	28.6	0	4	1	5	9	12	16	20	22	3	0	0	0
14	Ferry	Bjoern	SWE	23	15	20.0	24.0	0	1	1	2	2	6	16	20	20	3	0	0	0
15	Lapshin	Timofei	RUS	15	27	22.1	21.0	0	1	1	2	2	3	9	10	12	3	0	0	0
16	Slesingr	Michal	CZE	25	10	20.2	24.1	0	1	0	1	2	7	15	21	23	2	0	0	0
17	Weger	Benjamin	SUI	23	18	19.0	23.3	0	0	3	3	4	7	13	18	20	2	0	1	0
18	Soukup	Jaroslav	CZE	24	25	32.3	15.2	0	0	2	2	2	4	9	14	15	9	0	0	0
19	Malyshko	Dmitry	RUS	20	19	18.7	24.9	0	0	1	1	4	9	12	15	18	2	0	0	0
20	Ustyugov	Evgeny	RUS	22	13	16.6	25.0	0	0	1	1	3	8	15	20	20	2	0	0	0
21	Schempp	Simon	GER	20	26	26.6	16.7	0	0	1	1	2	3	8	14	18	2	0	0	0
22	Mesotitsch	Daniel	AUT	23	22	26.5	18.3	0	0	0	0	3	5	10	15	17	5	0	1	0
