No	Family Name	Given Name	Nation	Races	"World CupRank"	"Rank(avg)"	"Points(avg)"	Wins	2nd	3rd	Podiums	Top5s	Top10s	Top20s	Top30s	Top40s	>40	LAP	DNF	DSQ
1	Bjoerndalen	Ole Einar	NOR	22	2	7.5	41.4	8	6	1	15	18	20	21	21	21	1	0	0	0
2	Poiree	Raphael	FRA	25	1	8.2	36.8	6	8	0	14	18	20	22	22	24	1	0	0	0
3	Andresen	Frode	NOR	24	3	10.5	30.0	3	1	4	8	12	15	20	23	23	1	0	0	0
4	Fischer	Sven	GER	23	5	10.6	28.1	2	1	4	7	10	13	20	21	22	1	0	0	0
5	Rostovtsev	Pavel	RUS	25	4	11.1	28.5	2	1	2	5	7	17	21	23	24	1	0	0	0
6	Rozhkov	Sergei	RUS	23	15	23.2	15.1	1	0	1	2	4	6	14	17	19	4	0	0	0
7	Maigourov	Viktor	RUS	25	10	16.4	19.9	1	0	0	1	3	7	20	23	24	1	0	0	0
8	Vitek	Zdenek	CZE	23	16	20.4	13.7	1	0	0	1	1	5	12	18	20	2	0	0	1
9	Puurunen	Paavo	FIN	14	33	25.5	10.7	1	0	0	1	1	2	5	8	12	1	0	1	0
10	Heymann	Carsten	GER	24	8	15.0	21.9	0	2	1	3	7	10	16	22	23	1	0	0	0
11	Sashurin	Vadim	BLR	22	11	16.3	20.9	0	2	1	3	5	9	16	18	20	1	0	0	1
12	Gjelland	Egil	NOR	25	7	13.5	23.6	0	1	2	3	9	11	19	23	24	1	0	0	0
13	Luck	Frank	GER	21	12	19.6	19.7	0	1	1	2	6	9	13	16	18	3	0	0	0
14	Cattarinussi	Rene	ITA	24	13	21.4	15.7	0	1	0	1	1	7	16	20	21	3	0	0	0
15	Wiksten	Tord	SWE	17	40	48.1	5.1	0	1	0	1	1	1	3	5	5	12	0	0	0
16	Hanevold	Halvard	NOR	25	6	12.8	24.0	0	0	2	2	4	14	20	24	24	1	0	0	0
17	Gross	Ricco	GER	25	9	17.4	20.6	0	0	2	2	4	12	16	21	23	2	0	0	0
18	Globocnik	Tomas	SLO	20	14	15.6	18.6	0	0	1	1	2	7	14	17	19	0	0	0	1
19	Bricis	Ilmars	LAT	23	17	27.7	12.0	0	0	1	1	2	5	8	16	19	4	0	0	0
20	Forsberg	Henrik Sen.	SWE	19	29	30.7	9.3	0	0	1	1	2	2	7	12	12	7	0	0	0
21	Robert	Julien	FRA	17	34	35.8	8.6	0	0	1	1	1	3	6	8	10	7	0	0	0
22	Morgenstern	Marco	GER	15	19	22.8	15.4	0	0	0	0	1	4	8	11	12	3	0	0	0
23	Perner	Wolfgang	AUT	22	21	26.4	9.3	0	0	0	0	1	3	8	13	19	3	0	0	0
24	Defrasne	Vincent	FRA	21	23	30.2	9.2	0	0	0	0	1	3	7	13	16	5	0	0	0
25	Deryzemlya	Andriy	UKR	19	31	37.6	9.3	0	0	0	0	1	3	6	10	11	7	0	1	0
26	Sendel	Peter	GER	22	18	22.2	12.5	0	0	0	0	1	2	12	17	20	2	0	0	0
27	Rottmann	Wolfgang	AUT	19	32	30.1	8.4	0	0	0	0	1	2	4	14	16	3	0	0	0
28	Chabloz	Jean Marc	SUI	19	39	33.8	4.7	0	0	0	0	1	1	3	7	15	4	0	0	0
29	Pallhuber	Wilfried	ITA	23	27	33.7	8.2	0	0	0	0	0	5	6	11	18	5	0	0	0
30	Favre	Patrick	ITA	24	24	32.0	8.0	0	0	0	0	0	3	8	12	16	7	0	1	0
31	Bjoerndalen	Dag	NOR	16	28	26.3	11.1	0	0	0	0	0	3	8	12	14	2	0	0	0
32	Masarik	Ivan	CZE	22	25	29.1	9.0	0	0	0	0	0	3	7	13	17	5	0	0	0
33	Garabik	Petr	CZE	20	35	38.1	6.2	0	0	0	0	0	3	5	7	10	8	0	2	0
34	Ryzhenkov	Oleg	BLR	25	20	26.0	9.2	0	0	0	0	0	2	11	16	21	4	0	0	0
