No	Family Name	Given Name	Nation	Races	"World CupRank"	"Rank(avg)"	"Points(avg)"	Wins	2nd	3rd	Podiums	Top5s	Top10s	Top20s	Top30s	Top40s	>40	LAP	DNF	DSQ
1	Briand	Anne	FRA	14	1	6.1	21.3	3	2	0	5	7	11	14	14	14	0	0	0	0
2	Paramyguina	Svetlana	BLR	14	2	6.0	21.1	3	0	1	4	9	11	14	14	14	0	0	0	0
3	Disl	Uschi	GER	14	3	6.4	20.3	1	2	1	4	6	13	14	14	14	0	0	0	0
4	Greiner-Petter-M.	Simone	GER	14	13	16.6	10.8	1	2	0	3	3	4	7	13	14	0	0	0	0
5	Koukleva	Galina	RUS	9	18	17.6	11.9	1	1	1	3	3	4	4	7	9	0	0	0	0
6	Niogret	Corinne	FRA	14	4	10.2	17.4	1	0	2	3	5	9	13	13	13	1	0	0	0
7	Forsberg	Magdalena	SWE	13	5	10.8	15.5	1	0	0	1	2	6	12	13	13	0	0	0	0
8	Behle	Petra	GER	13	10	13.5	12.8	1	0	0	1	2	3	11	13	13	0	0	0	0
9	Mikkelsplass	Hildegunn	NOR	14	17	18.9	8.3	1	0	0	1	2	3	6	12	14	0	0	0	0
10	Halinarova	Martina	SVK	11	20	23.7	8.5	1	0	0	1	1	3	5	8	8	3	0	0	0
11	Talanova	Nadejda	RUS	13	6	14.0	13.6	0	2	1	3	4	6	9	12	13	0	0	0	0
12	Baverel	Florence	FRA	14	7	17.7	12.1	0	2	0	2	4	6	9	11	11	3	0	0	0
13	Kristiansen	Elin	NOR	14	11	18.1	10.9	0	1	0	1	2	5	9	11	13	1	0	0	0
14	Koblar	Andreja	SLO	14	8	14.3	13.1	0	1	0	1	1	7	12	12	14	0	0	0	0
15	Harvey	Antje	GER	13	21	19.2	7.6	0	1	0	1	1	1	8	12	13	0	0	0	0
16	Claret	Emmanuelle	FRA	13	12	15.5	11.7	0	0	2	2	3	4	9	12	13	0	0	0	0
17	Santer	Nathalie	ITA	13	16	18.9	9.1	0	0	1	1	2	4	7	10	13	0	0	0	0
18	Tserbe Nessina	Valentina	UKR	10	26	22.7	7.3	0	0	1	1	2	2	5	7	9	1	0	0	0
19	Dafovska	Ekaterina	BUL	12	25	27.4	6.2	0	0	1	1	2	2	5	5	10	2	0	0	0
20	Lampinen	Mari	FIN	13	9	15.3	12.6	0	0	1	1	1	6	11	12	12	1	0	0	0
21	Mileshina	Irina	RUS	10	27	25.7	5.9	0	0	1	1	1	2	4	5	9	1	0	0	0
22	Karagiozova	Iva	BUL	12	30	30.6	3.5	0	0	1	1	1	1	2	5	9	3	0	0	0
23	Mihokova	Sona	SVK	12	14	17.2	12.1	0	0	0	0	3	6	8	10	11	1	0	0	0
24	Vodopyanova	Tetyana	UKR	13	19	24.0	8.2	0	0	0	0	1	5	7	9	10	3	0	0	0
25	Petrova	Olena	UKR	14	15	18.1	9.1	0	0	0	0	1	3	8	13	14	0	0	0	0
26	Claudel	Veronique	FRA	12	23	21.8	6.8	0	0	0	0	1	2	5	8	12	0	0	0	0
27	Hakova	Eva	CZE	14	22	25.6	6.7	0	0	0	0	0	3	7	10	11	3	0	0	0
28	Permiakova	Natalia	BLR	14	24	25.9	5.5	0	0	0	0	0	1	6	9	13	1	0	0	0
29	Skjelbreid	Ann Elen	NOR	7	32	22.1	5.6	0	0	0	0	0	1	3	6	7	0	0	0	0
30	Poiree	Liv Grete	NOR	4	29	16.5	11.3	0	0	0	0	0	1	3	3	4	0	0	0	0
31	Burlet	Delphyne	FRA	8	35	29.9	3.8	0	0	0	0	0	1	2	5	6	2	0	0	0
32	Alexieva	Nadejda	BUL	12	36	36.8	2.4	0	0	0	0	0	1	2	4	7	5	0	0	0
33	Agolakova	Irina	RUS	4	39	22.8	6.3	0	0	0	0	0	1	2	3	4	0	0	0	0
34	Melnik	Olga	RUS	5	37	31.0	5.6	0	0	0	0	0	1	2	2	4	1	0	0	0
35	Song	Aiqin	CHN	2	44	25.0	9.0	0	0	0	0	0	1	1	1	1	1	0	0	0
36	Sikveland	Annette	NOR	11	28	27.4	4.6	0	0	0	0	0	0	5	5	9	2	0	0	0
37	Restzova	Anfisa	RUS	9	31	30.2	4.4	0	0	0	0	0	0	4	7	8	1	0	0	0
38	Petcherskaia	Svetlana	RUS	7	34	27.6	4.4	0	0	0	0	0	0	3	5	6	1	0	0	0
39	Lemesh	Nina	UKR	9	33	32.4	3.7	0	0	0	0	0	0	3	5	5	4	0	0	0
40	Bilova	Nadija	UKR	12	45	31.5	1.4	0	0	0	0	0	0	2	6	10	2	0	0	0
41	Weisleitner	Brigitte	AUT	14	46	33.5	1.1	0	0	0	0	0	0	2	5	10	4	0	0	0
42	Wooley	Stacey	USA	9	41	32.0	2.6	0	0	0	0	0	0	2	5	6	3	0	0	0
43	Holanti	Katja	FIN	8	38	31.8	3.4	0	0	0	0	0	0	2	3	6	2	0	0	0
44	Andreassen	Gunn Margit	NOR	5	42	25.6	4.0	0	0	0	0	0	0	2	3	5	0	0	0	0
45	Belova	Elena	RUS	3	40	20.3	8.0	0	0	0	0	0	0	2	2	3	0	0	0	0
46	Idland	Ase	NOR	7	43	35.1	2.9	0	0	0	0	0	0	1	4	4	3	0	0	0
47	Stera-Kustusz	Anna	POL	12	49	37.2	0.8	0	0	0	0	0	0	1	3	7	5	0	0	0
48	Schwaab	Kathi	GER	4	51	28.5	1.5	0	0	0	0	0	0	1	2	4	0	0	0	0
49	Westin	Eva Karin	SWE	6	48	36.5	2.0	0	0	0	0	0	0	1	2	4	2	0	0	0
50	Doulova	Margarita	KAZ	6	47	37.5	2.3	0	0	0	0	0	0	1	2	3	3	0	0	0
51	Vuoksiala	Tuija	FIN	4	50	31.0	1.8	0	0	0	0	0	0	1	2	3	1	0	0	0
52	Miller Smith	Joan	USA	2	52	38.5	3.0	0	0	0	0	0	0	1	1	1	1	0	0	0
53	Murinova	Anna	SVK	11	55	36.3	0.4	0	0	0	0	0	0	0	5	7	4	0	0	0
54	Cesnekova	Irena	CZE	8	64	36.6	0.3	0	0	0	0	0	0	0	3	4	4	0	0	0
55	Arlouskaya	Ludmila	BLR	10	53	50.1	0.5	0	0	0	0	0	0	0	3	3	7	0	0	0
56	Paniutina	Svetlana	RUS	6	56	37.0	0.7	0	0	0	0	0	0	0	3	3	3	0	0	0
57	Brice	Anzela	LAT	10		43.3	0.0	0	0	0	0	0	0	0	2	6	4	0	0	0
58	Zellner	Martina	GER	8	57	38.5	0.4	0	0	0	0	0	0	0	2	4	4	0	0	0
59	Cederstrema	Ieva	LAT	10	65	40.9	0.1	0	0	0	0	0	0	0	2	4	6	0	0	0
60	Cervenkova	Petra	CZE	10	60	46.7	0.2	0	0	0	0	0	0	0	2	4	6	0	0	0
61	Mallat	Annukka	FIN	2	61	25.5	1.0	0	0	0	0	0	0	0	2	2	0	0	0	0
62	Henkel	Andrea	GER	2	54	25.5	2.5	0	0	0	0	0	0	0	2	2	0	0	0	0
63	Nowak	Halina	POL	11		42.4	0.0	0	0	0	0	0	0	0	1	6	5	0	0	0
64	Avtaeva	Galina	KAZ	9		46.4	0.0	0	0	0	0	0	0	0	1	5	4	0	0	0
65	Coats	Beth	USA	5	58	38.8	0.6	0	0	0	0	0	0	0	1	3	2	0	0	0
66	Sabasteanski	Kristina	USA	10	62	45.5	0.2	0	0	0	0	0	0	0	1	3	7	0	0	0
67	Suszka	Agata	POL	8		46.4	0.0	0	0	0	0	0	0	0	1	3	5	0	0	0
68	Piton	Halina	POL	10		44.4	0.0	0	0	0	0	0	0	0	1	3	7	0	0	0
69	Trocker	Petra	ITA	5	66	39.0	0.2	0	0	0	0	0	0	0	1	3	2	0	0	0
70	Gurieva	Ludmila	KAZ	6		51.3	0.0	0	0	0	0	0	0	0	1	2	4	0	0	0
71	Beausire	Nathalie	FRA	4		38.8	0.0	0	0	0	0	0	0	0	1	2	2	0	0	0
72	Dumnova	Elena	RUS	3	67	37.3	0.3	0	0	0	0	0	0	0	1	2	1	0	0	0
73	Wagenfuehr	Peggy	GER	2		30.5	0.0	0	0	0	0	0	0	0	1	2	0	0	0	0
74	Skolota	Marina	UKR	4		41.8	0.0	0	0	0	0	0	0	0	1	2	2	0	0	0
75	Lepik	Krista	EST	6	63	49.5	0.3	0	0	0	0	0	0	0	1	2	4	0	0	0
76	Perunka	Sanna-Leena	FIN	1	59	23.0	3.0	0	0	0	0	0	0	0	1	1	0	0	0	0
77	Sotropa	Adina	ROM	10		48.2	0.0	0	0	0	0	0	0	0	0	2	8	0	0	0
78	Suga	Hiromi	JPN	10		56.4	0.0	0	0	0	0	0	0	0	0	2	8	0	0	0
79	Eklund	Christina	SWE	2		38.5	0.0	0	0	0	0	0	0	0	0	2	0	0	0	0
80	Salonen	Eija	FIN	2		37.5	0.0	0	0	0	0	0	0	0	0	2	0	0	0	0
81	Nordyke	Deborah	USA	4		42.8	0.0	0	0	0	0	0	0	0	0	2	2	0	0	0
82	Weschollek	Petra	GER	2		34.0	0.0	0	0	0	0	0	0	0	0	2	0	0	0	0
83	Takefushi	Sakiko	JPN	10		53.7	0.0	0	0	0	0	0	0	0	0	2	8	0	0	0
