No	Family Name	Given Name	Nation	Races	"World CupRank"	"Rank(avg)"	"Points(avg)"	Wins	2nd	3rd	Podiums	Top5s	Top10s	Top20s	Top30s	Top40s	>40	LAP	DNF	DSQ
1	Dafovska	Ekaterina	BUL	23	4	10.7	28.7	4	1	2	7	9	14	17	23	23	0	0	0	0
2	Wilhelm	Kati	GER	22	13	18.6	19.5	3	0	1	4	5	9	11	16	22	0	0	0	0
3	Beck	Martina	GER	23	1	8.3	32.5	2	3	2	7	9	18	21	21	23	0	0	0	0
4	Akhatova	Albina	RUS	23	2	8.2	31.7	2	3	0	5	10	19	21	23	23	0	0	0	0
5	Bailly	Sandrine	FRA	23	6	13.2	24.8	2	1	1	4	8	13	17	20	21	1	0	1	0
6	Zaitseva	Olga	RUS	19	19	19.2	15.6	2	1	0	3	3	4	10	14	18	0	0	1	0
7	Koukleva	Galina	RUS	15	23	17.7	17.9	2	1	0	3	3	3	8	14	15	0	0	0	0
8	Becaert	Sylvie	FRA	23	3	8.7	30.8	1	3	1	5	9	16	22	23	23	0	0	0	0
9	Grubben	Linda	NOR	17	18	19.2	18.9	1	3	1	5	5	6	10	14	15	2	0	0	0
10	Zubrilova	Olena	BLR	23	5	10.0	28.6	1	3	0	4	9	14	20	23	23	0	0	0	0
11	Medvedtseva	Olga	RUS	21	10	15.3	21.0	1	0	3	4	7	8	14	19	20	1	0	0	0
12	Holubcova	Katerina	CZE	21	8	11.4	25.1	1	0	3	4	5	10	19	21	21	0	0	0	0
13	Disl	Uschi	GER	22	7	13.4	24.3	1	0	2	3	4	11	17	20	21	1	0	0	0
14	Wuestenfeld	Katja	GER	21	12	14.3	20.2	1	0	1	2	4	7	16	20	21	0	0	0	0
15	Ishmouratova	Svetlana	RUS	16	11	9.8	28.9	0	2	2	4	7	10	15	16	16	0	0	0	0
16	Petrova	Olena	UKR	11	33	26.7	11.2	0	1	0	1	1	2	5	6	7	4	0	0	0
17	Niogret	Corinne	FRA	23	16	20.0	15.7	0	0	1	1	4	7	12	18	22	1	0	0	0
18	Andreassen	Gunn Margit	NOR	22	14	16.0	17.0	0	0	1	1	2	5	17	21	22	0	0	0	0
19	Perunka	Sanna-Leena	FIN	21	15	16.5	17.4	0	0	1	1	1	4	18	19	20	1	0	0	0
20	Ponza	Michela	ITA	20	25	24.6	11.3	0	0	1	1	1	3	8	15	19	1	0	0	0
21	Chernousova	Svetlana	RUS	21	9	12.7	22.5	0	0	0	0	3	9	20	21	21	0	0	0	0
22	Henkel	Andrea	GER	20	17	18.1	17.2	0	0	0	0	2	5	13	17	19	1	0	0	0
23	Apel	Katrin	GER	20	20	18.9	14.8	0	0	0	0	1	5	11	18	20	0	0	0	0
24	Hauswald	Simone	GER	19	21	18.2	15.5	0	0	0	0	1	5	11	18	18	1	0	0	0
25	Nikulchina	Irina	BUL	14	27	25.4	11.3	0	0	0	0	1	3	7	9	11	3	0	0	0
26	Mali	Andreja	SLO	17	31	34.5	7.7	0	0	0	0	1	3	5	7	8	8	0	1	0
27	Filipova	Pavlina	BUL	19	22	19.1	13.4	0	0	0	0	0	3	12	17	19	0	0	0	0
28	Bogaliy-Titovets	Anna	RUS	15	24	17.6	15.9	0	0	0	0	0	3	12	14	15	0	0	0	0
29	Halinarova	Martina	SVK	14	26	22.7	13.3	0	0	0	0	0	3	7	11	13	1	0	0	0
30	Mihokova	Sona	SVK	22	28	26.7	7.5	0	0	0	0	0	2	7	14	18	3	0	1	0
