No	Family Name	Given Name	Nation	Races	"World CupRank"	"Rank(avg)"	"Points(avg)"	Wins	2nd	3rd	Podiums	Top5s	Top10s	Top20s	Top30s	Top40s	>40	LAP	DNF	DSQ
1	Roeiseland	Marte Olsbu	NOR	24	1	3.6	39.9	8	2	7	17	19	23	24	24	24	0	0	0	0
2	Oeberg	Elvira	SWE	24	2	6.9	34.3	4	4	2	10	11	19	24	24	24	0	0	0	0
3	Eckhoff	Tiril	NOR	21	11	12.5	24.1	3	2	1	6	6	9	16	20	21	0	0	0	0
4	Braisaz-Bouchet	Justine	FRA	25	8	19.0	22.5	3	1	0	4	6	9	15	17	23	2	0	0	0
5	Herrmann	Denise	GER	23	6	13.6	24.5	2	1	2	5	7	12	16	21	22	1	0	0	0
6	Simon	Julia	FRA	25	12	20.5	22.2	1	4	0	5	6	10	14	20	22	3	0	0	0
7	Sola	Hanna	BLR	18	18	17.2	22.1	1	2	1	4	6	8	11	14	17	1	0	0	0
8	Hauser	Lisa Theresa	AUT	26	3	11.7	27.0	1	2	0	3	6	16	20	26	26	0	0	0	0
9	Oeberg	Hanna	SWE	24	4	14.4	27.5	1	1	2	4	7	13	20	22	23	1	0	0	0
10	Wierer	Dorothea	ITA	25	9	16.6	23.1	1	1	2	4	6	10	17	21	24	1	0	0	0
11	Davidova	Marketa	CZE	25	10	17.8	22.4	1	0	0	1	3	10	18	21	22	3	0	0	0
12	Chevalier-Bouchet	Anais	FRA	24	5	16.6	26.8	0	2	2	4	8	12	18	21	21	3	0	0	0
13	Bescond	Anais	FRA	25	14	20.4	20.6	0	2	0	2	3	6	13	22	24	1	0	0	0
14	Alimbekava	Dzinara	BLR	19	7	7.7	31.0	0	1	1	2	9	14	19	19	19	0	0	0	0
15	Preuss	Franziska	GER	17	21	16.9	19.8	0	1	0	1	4	8	11	14	16	1	0	0	0
16	Voigt	Vanessa	GER	25	13	16.3	21.0	0	1	0	1	2	7	18	23	25	0	0	0	0
17	Reztsova	Kristina	RUS	18	20	15.4	20.3	0	0	1	1	4	9	12	15	18	0	0	0	0
18	Knotten	Karoline Offigstad	NOR	18	29	29.1	13.8	0	0	1	1	2	2	6	10	15	3	0	0	0
19	Brorsson	Mona	SWE	21	16	17.9	21.0	0	0	1	1	1	3	12	19	21	0	0	0	0
20	Fialkova	Paulina	SVK	22	23	33.5	13.9	0	0	1	1	1	3	11	14	16	6	0	0	0
21	Nilsson	Stina	SWE	17	30	31.2	14.6	0	0	1	1	1	2	8	10	12	5	0	0	0
22	Persson	Linn	SWE	22	19	21.0	18.1	0	0	0	0	4	9	14	18	19	3	0	0	0
23	Tandrevold	Ingrid Landmark	NOR	23	15	17.4	20.4	0	0	0	0	3	7	15	20	22	1	0	0	0
24	Nigmatullina	Uliana	RUS	18	25	25.8	15.8	0	0	0	0	1	4	10	15	15	3	0	0	0
25	Jislova	Jessica	CZE	25	17	22.8	17.7	0	0	0	0	1	3	12	19	24	1	0	0	0
26	Vittozzi	Lisa	ITA	20	31	36.0	11.2	0	0	0	0	1	2	7	11	13	7	0	0	0
27	Lien	Ida	NOR	19	36	34.4	9.3	0	0	0	0	1	2	4	8	13	6	0	0	0
28	Egan	Clare	USA	18	45	42.2	6.7	0	0	0	0	1	1	2	5	8	10	0	0	0
29	Dzhima	Yuliia	UKR	19	41	27.8	8.1	0	0	0	0	0	3	7	12	15	3	0	1	0
30	Eder	Mari	FIN	24	27	31.0	10.4	0	0	0	0	0	3	5	12	18	6	0	0	0
31	Hildebrand	Franziska	GER	15	24	21.1	20.3	0	0	0	0	0	2	10	13	14	1	0	0	0
32	Hinz	Vanessa	GER	21	26	28.0	12.5	0	0	0	0	0	2	8	15	16	5	0	0	0
33	Chevalier	Chloe	FRA	20	22	28.1	15.7	0	0	0	0	0	2	8	12	15	5	0	0	0
34	Stremous	Alina	MDA	21	38	33.7	7.0	0	0	0	0	0	2	5	10	14	7	0	0	0
35	Mironova	Svetlana	RUS	15	34	30.7	12.3	0	0	0	0	0	2	4	9	12	3	0	0	0
36	Magnusson	Anna	SWE	16	33	27.9	12.9	0	0	0	0	0	1	8	9	12	4	0	0	0
37	Haecki	Lena	SUI	22	32	27.6	10.9	0	0	0	0	0	1	7	14	18	4	0	0	0
