No	Family Name	Given Name	Nation	Races	"World CupRank"	"Rank(avg)"	"Points(avg)"	Wins	2nd	3rd	Podiums	Top5s	Top10s	Top20s	Top30s	Top40s	>40	LAP	DNF	DSQ
1	Drachev	Vladimir	RUS	14	1	3.8	24.6	5	3	3	11	12	13	13	14	14	0	0	0	0
2	Fischer	Sven	GER	12	3	17.2	15.3	2	1	2	5	6	7	8	9	10	2	0	0	0
3	Gredler	Ludwig	AUT	14	5	20.3	11.6	2	1	0	3	5	6	7	9	12	2	0	0	0
4	Maigourov	Viktor	RUS	11	2	8.9	19.1	1	3	1	5	7	8	10	10	11	0	0	0	0
5	Bjoerndalen	Ole Einar	NOR	13	9	26.8	12.3	1	1	0	2	3	6	9	9	9	4	0	0	0
6	Tarasov	Sergei Sen.	RUS	11	6	12.3	14.5	1	1	0	2	2	4	8	11	11	0	0	0	0
7	Hietalahti	Vesa	FIN	12	20	28.5	8.0	1	0	1	2	2	2	6	8	9	3	0	0	0
8	Rozhkov	Sergei	RUS	12	13	20.7	10.2	1	0	0	1	1	5	7	9	10	2	0	0	0
9	Poiree	Raphael	FRA	14	17	27.9	7.7	0	2	0	2	2	2	7	9	10	4	0	0	0
10	Hanevold	Halvard	NOR	13	15	23.6	8.5	0	1	1	2	2	4	6	9	11	2	0	0	0
11	Loefgren	Mikael	SWE	12	28	27.2	5.8	0	1	0	1	1	2	5	8	10	2	0	0	0
12	Cattarinussi	Rene	ITA	12	12	28.8	11.5	0	0	2	2	3	6	7	9	9	3	0	0	0
13	Carrara	Pieralberto	ITA	14	4	20.6	11.9	0	0	1	1	4	6	10	10	12	2	0	0	0
14	Sashurin	Vadim	BLR	12	14	24.9	9.6	0	0	1	1	3	5	6	8	8	4	0	0	0
15	Gross	Ricco	GER	12	7	18.2	13.1	0	0	1	1	1	6	9	10	10	2	0	0	0
16	Mouslimov	Pavel	RUS	11	19	31.0	9.0	0	0	1	1	1	4	5	8	8	3	0	0	0
17	Kobelev	Alexei	RUS	11	10	25.1	12.5	0	0	0	0	4	6	7	9	9	2	0	0	0
18	Andresen	Frode	NOR	12	11	20.5	11.8	0	0	0	0	3	6	8	10	10	2	0	0	0
19	Leitgeb	Hubert	ITA	13	22	25.4	7.2	0	0	0	0	2	2	6	9	11	2	0	0	0
20	Luck	Frank	GER	12	8	13.0	13.6	0	0	0	0	1	6	11	11	12	0	0	0	0
21	Riabov	Edouard	RUS	9	26	22.6	8.0	0	0	0	0	1	2	6	7	8	1	0	0	0
22	Flandin	Herve	FRA	12	23	32.8	6.8	0	0	0	0	1	2	5	7	7	5	0	0	0
23	Bailly-Salins	Patrice	FRA	5	35	22.8	8.8	0	0	0	0	1	2	2	4	4	1	0	0	0
24	Rostovtsev	Pavel	RUS	4	37	29.8	9.8	0	0	0	0	1	2	2	2	3	1	0	0	0
25	Raikkonen	Ville	FIN	13	24	26.0	6.2	0	0	0	0	1	1	6	7	11	2	0	0	0
26	Neuner	Reinhard	AUT	13	40	41.1	2.6	0	0	0	0	1	1	2	2	6	7	0	0	0
27	Popov	Alexandr	BLR	12	16	23.9	9.2	0	0	0	0	0	3	8	9	10	2	0	0	0
28	Perrot	Franck	FRA	13	25	41.7	5.7	0	0	0	0	0	2	6	7	8	5	0	0	0
29	Sikora	Tomasz	POL	12	27	30.8	5.9	0	0	0	0	0	2	5	7	9	3	0	0	0
30	Ryzhenkov	Oleg	BLR	12	29	32.7	5.5	0	0	0	0	0	2	4	7	8	4	0	0	0
31	Gjelland	Egil	NOR	8	30	20.1	8.3	0	0	0	0	0	2	4	6	8	0	0	0	0
32	Garabik	Petr	CZE	11	33	33.3	4.8	0	0	0	0	0	2	3	6	8	3	0	0	0
33	Tyldum	Jon Age	NOR	14	18	26.0	7.7	0	0	0	0	0	1	9	9	11	3	0	0	0
34	Kirchner	Mark	GER	11	21	19.6	8.7	0	0	0	0	0	1	8	9	10	1	0	0	0
35	Bjoerndalen	Dag	NOR	12	31	32.4	5.3	0	0	0	0	0	1	5	7	8	4	0	0	0
36	Sendel	Peter	GER	11	32	25.2	5.4	0	0	0	0	0	1	3	10	10	1	0	0	0
37	Masarik	Ivan	CZE	10	36	27.2	4.4	0	0	0	0	0	1	3	7	9	1	0	0	0
38	Perner	Wolfgang	AUT	13	39	38.3	2.7	0	0	0	0	0	1	3	4	8	5	0	0	0
39	Pallhuber	Wilfried	ITA	14	34	42.6	3.6	0	0	0	0	0	1	3	4	5	9	0	0	0
40	Globocnik	Tomas	SLO	13	47	42.6	1.6	0	0	0	0	0	1	1	5	7	6	0	0	0
41	Ozbolt	Janez	SLO	14	48	43.2	1.4	0	0	0	0	0	1	1	3	7	7	0	0	0
42	Chabloz	Jean Marc	SUI	11	51	48.9	1.5	0	0	0	0	0	1	1	1	4	7	0	0	0
43	Holubec	Jiri	CZE	6	50	43.5	2.8	0	0	0	0	0	1	1	1	2	4	0	0	0
44	Favre	Patrick	ITA	13	38	39.3	2.8	0	0	0	0	0	0	3	4	7	6	0	0	0
45	Steinigen	Jens	GER	6	43	31.0	4.7	0	0	0	0	0	0	3	4	4	2	0	0	0
46	Ziemianin	Wieslaw	POL	11	44	45.4	2.5	0	0	0	0	0	0	2	5	6	5	0	0	0
47	Suga	Kyoji	JPN	14	45	44.9	1.9	0	0	0	0	0	0	2	4	8	6	0	0	0
48	Puurunen	Paavo	FIN	11	41	48.7	2.5	0	0	0	0	0	0	2	4	6	5	0	0	0
49	Kazama	Atsushi	JPN	13	42	46.0	2.2	0	0	0	0	0	0	2	4	5	8	0	0	0
50	Latvala	Erkki	FIN	10	53	44.9	1.5	0	0	0	0	0	0	2	4	5	5	0	0	0
