No	Family Name	Given Name	Nation	Races	"World CupRank"	"Rank(avg)"	"Points(avg)"	Wins	2nd	3rd	Podiums	Top5s	Top10s	Top20s	Top30s	Top40s	>40	LAP	DNF	DSQ
1	Zubrilova	Olena	UKR	24	2	10.8	17.0	6	1	0	7	8	16	21	22	23	1	0	0	0
2	Forsberg	Magdalena	SWE	25	1	4.3	22.9	3	5	5	13	19	23	25	25	25	0	0	0	0
3	Koukleva	Galina	RUS	24	4	11.8	16.6	3	2	0	5	8	15	22	23	23	1	0	0	0
4	Niogret	Corinne	FRA	25	3	9.8	16.8	2	2	3	7	10	15	22	23	24	0	0	1	0
5	Henkel	Andrea	GER	25	5	13.5	15.1	2	1	2	5	8	15	19	21	24	1	0	0	0
6	Zellner	Martina	GER	25	7	12.9	14.1	2	1	1	4	5	12	20	24	25	0	0	0	0
7	Beck	Martina	GER	15	13	13.5	13.0	2	0	1	3	3	7	11	14	15	0	0	0	0
8	Poiree	Liv Grete	NOR	15	21	22.8	10.8	2	0	0	2	4	7	8	8	11	4	0	0	0
9	Disl	Uschi	GER	25	8	12.1	14.7	1	1	0	2	5	12	23	24	25	0	0	0	0
10	Santer	Nathalie	ITA	24	12	21.8	9.9	1	0	1	2	5	7	13	16	18	5	0	1	0
11	Kristiansen	Gro Marit Istad	NOR	20	24	24.8	8.1	1	0	0	1	1	4	11	14	16	4	0	0	0
12	Ishmouratova	Svetlana	RUS	25	6	13.2	14.8	0	3	2	5	9	16	19	23	24	1	0	0	0
13	Apel	Katrin	GER	25	10	18.3	11.4	0	2	0	2	4	8	17	21	21	4	0	0	0
14	Petrova	Olena	UKR	22	9	12.6	13.9	0	1	3	4	6	12	18	20	22	0	0	0	0
15	Medvedtseva	Olga	RUS	15	20	16.0	11.8	0	1	2	3	4	5	10	13	14	1	0	0	0
16	Akhatova	Albina	RUS	22	19	22.8	8.1	0	1	0	1	4	5	11	18	19	3	0	0	0
17	Yu	Shumei	CHN	22	25	28.4	7.3	0	1	0	1	2	3	11	14	17	5	0	0	0
18	Claret	Emmanuelle	FRA	16	30	34.9	4.8	0	1	0	1	2	2	5	5	8	7	1	0	0
19	Chernousova	Svetlana	RUS	24	11	16.8	11.4	0	1	0	1	1	8	17	22	23	1	0	0	0
20	Strelenko	Maria	RUS	22	29	28.0	4.0	0	1	0	1	1	2	6	14	18	4	0	0	0
21	Baverel	Florence	FRA	21	18	22.4	8.0	0	0	2	2	4	6	10	14	15	4	0	1	1
22	Nikulchina	Irina	BUL	25	14	20.6	8.1	0	0	1	1	2	7	13	20	24	1	0	0	0
23	Vodopyanova	Tetyana	UKR	12	31	25.9	5.8	0	0	1	1	2	2	5	7	7	4	1	0	0
24	Filipova	Pavlina	BUL	25	15	20.8	8.0	0	0	1	1	1	4	14	21	23	2	0	0	0
25	Andreassen	Gunn Margit	NOR	24	16	20.9	8.3	0	0	0	0	1	7	13	17	22	2	0	0	0
26	Burlet	Delphyne	FRA	21	26	25.1	6.5	0	0	0	0	1	4	9	13	17	4	0	0	0
27	Murinova	Anna	SVK	24	17	18.0	7.8	0	0	0	0	1	3	15	23	23	0	0	1	0
28	Paramyguina	Svetlana	BLR	24	27	24.7	5.3	0	0	0	0	1	3	7	14	17	3	1	3	0
29	Halinarova	Martina	SVK	18	28	27.4	5.4	0	0	0	0	1	2	6	11	15	3	0	0	0
30	Mihokova	Sona	SVK	15	46	38.9	1.8	0	0	0	0	1	1	2	6	7	7	1	0	0
31	Tanaka	Tamami	JPN	19	41	38.3	1.8	0	0	0	0	1	1	2	5	11	7	0	1	0
32	Wuestenfeld	Katja	GER	20	23	19.9	8.3	0	0	0	0	0	5	13	15	20	0	0	0	0
33	Tananaiko	Irina	BLR	19	33	32.4	2.8	0	0	0	0	0	2	5	8	12	5	1	0	1
34	Holanti	Katja	FIN	21	35	34.0	2.6	0	0	0	0	0	2	3	8	16	5	0	0	0
35	Koblar	Andreja	SLO	24	22	21.7	7.1	0	0	0	0	0	1	15	18	22	1	0	1	0
36	Perunka	Sanna-Leena	FIN	20	32	30.6	3.5	0	0	0	0	0	1	6	11	13	6	1	0	0
37	Tereshenko	Natalia	UKR	17	36	35.9	2.8	0	0	0	0	0	1	3	7	9	7	0	1	0
38	Ponza	Michela	ITA	17	38	34.9	2.6	0	0	0	0	0	1	2	6	10	7	0	0	0
39	Wagenfuehr	Peggy	GER	7	45	30.7	4.0	0	0	0	0	0	1	2	3	5	2	0	0	0
40	Kettunen	Outi	FIN	15	47	38.6	1.4	0	0	0	0	0	1	1	4	5	9	0	1	0
41	Merkushina	Irina	UKR	10	50	40.3	1.7	0	0	0	0	0	1	1	3	5	4	1	0	0
42	Skjelbreid	Ann Elen	NOR	15	34	29.6	3.3	0	0	0	0	0	0	5	8	11	4	0	0	0
43	Holubcova	Katerina	CZE	16	37	33.4	2.8	0	0	0	0	0	0	5	7	11	5	0	0	0
44	Tofalvi	Eva	ROM	16	40	36.3	2.4	0	0	0	0	0	0	4	6	10	6	0	0	0
45	Lemesh	Nina	UKR	16	43	36.4	1.8	0	0	0	0	0	0	3	6	9	5	1	1	0
46	Hakova	Eva	CZE	16	42	38.3	1.9	0	0	0	0	0	0	3	5	8	8	0	0	0
47	Takahashi	Ryoko	JPN	19	44	45.2	1.4	0	0	0	0	0	0	3	4	7	12	0	0	0
48	Larisi	Lucija	SLO	21	39	34.5	2.0	0	0	0	0	0	0	2	9	15	6	0	0	0
