No	Family Name	Given Name	Nation	Races	"World CupRank"	"Rank(avg)"	"Points(avg)"	Wins	2nd	3rd	Podiums	Top5s	Top10s	Top20s	Top30s	Top40s	>40	LAP	DNF	DSQ
1	Neuner	Magdalena	GER	21	1	6.5	42.4	5	4	4	13	14	18	19	21	21	0	0	0	0
2	Ekholm	Helena	SWE	22	3	10.5	37.3	4	3	1	8	9	13	19	21	21	1	0	0	0
3	Hauswald	Simone	GER	24	2	12.2	36.1	4	1	2	7	10	15	20	22	23	1	0	0	0
4	Domracheva	Darya	BLR	22	6	11.7	35.1	2	2	2	6	9	14	19	21	21	1	0	0	0
5	Zidek	Anna Carin	SWE	22	5	10.1	35.4	2	2	2	6	7	11	21	22	22	0	0	0	0
6	Henkel	Andrea	GER	25	4	12.6	32.1	2	1	1	4	6	15	20	23	24	1	0	0	0
7	Sleptsova	Svetlana	RUS	19	10	14.2	28.8	2	1	0	3	5	7	14	18	19	0	0	0	0
8	Berger	Tora	NOR	20	11	15.5	27.1	2	0	1	3	5	7	14	18	20	0	0	0	0
9	Kuzmina	Anastasiya	SVK	17	19	20.2	26.3	1	1	2	4	5	7	12	12	16	1	0	0	0
10	Romanova	Yana	RUS	19	23	26.8	21.9	1	0	0	1	3	7	9	13	15	4	0	0	0
11	Zaitseva	Olga	RUS	22	8	13.0	30.0	0	2	2	4	8	14	18	20	20	2	0	0	0
12	Medvedtseva	Olga	RUS	19	12	14.7	28.6	0	2	0	2	4	9	14	18	19	0	0	0	0
13	Wilhelm	Kati	GER	25	7	12.1	31.2	0	1	1	2	6	14	20	25	25	0	0	0	0
14	Brunet	Marie Laure	FRA	23	9	12.7	27.6	0	1	1	2	3	8	20	22	23	0	0	0	0
15	Bogaliy-Titovets	Anna	RUS	13	27	19.2	25.8	0	1	1	2	3	6	9	11	11	2	0	0	0
16	Bailly	Sandrine	FRA	21	15	20.1	21.6	0	1	1	2	2	7	13	16	17	3	0	1	0
17	Semerenko	Vita	UKR	22	18	21.2	20.7	0	1	0	1	2	3	11	18	21	1	0	0	0
18	Khrustaleva	Elena	KAZ	15	35	31.4	14.0	0	1	0	1	2	3	3	7	10	5	0	0	0
19	Flatland	Ann Kristin Aafedt	NOR	18	20	19.3	22.9	0	0	2	2	3	7	10	14	16	2	0	0	0
20	Dorin Habert	Marie	FRA	25	16	22.9	19.8	0	0	1	1	1	4	14	19	21	4	0	0	0
21	Makarainen	Kaisa	FIN	22	21	24.3	17.5	0	0	1	1	1	2	12	16	18	4	0	0	0
22	Semerenko	Valentina	UKR	22	13	17.9	23.7	0	0	0	0	4	8	11	20	21	1	0	0	0
23	Beck	Martina	GER	18	17	17.3	24.4	0	0	0	0	3	7	13	15	17	1	0	0	0
24	Frolina	Anna	RUS	23	14	22.2	21.9	0	0	0	0	2	5	13	19	21	2	0	0	0
25	Bachmann	Tina	GER	19	22	20.7	22.0	0	0	0	0	2	4	13	15	16	3	0	0	0
26	Gregorin	Teja	SLO	25	28	16.9	14.2	0	0	0	0	1	5	10	13	13	1	0	0	11
27	Kalinchik	Liudmila	BLR	20	26	26.1	18.4	0	0	0	0	1	2	9	15	16	4	0	0	0
28	Kocher	Zina	CAN	22	31	32.0	14.5	0	0	0	0	1	2	8	14	17	5	0	0	0
29	Gasparin	Selina	SUI	15	36	36.5	12.5	0	0	0	0	1	2	5	8	9	6	0	0	0
30	Nowakowska	Weronika	POL	18	37	35.6	10.2	0	0	0	0	1	1	3	8	12	5	1	0	0
31	Song	Chaoqing	CHN	14	34	27.0	15.1	0	0	0	0	1	1	3	8	11	3	0	0	0
32	Khvostenko	Oksana	UKR	19	25	23.8	18.1	0	0	0	0	0	7	11	15	15	4	0	0	0
33	Becaert	Sylvie	FRA	24	24	24.5	17.2	0	0	0	0	0	4	10	18	23	1	0	0	0
34	Bilosiuk	Olena	UKR	22	29	26.2	15.3	0	0	0	0	0	2	8	14	20	2	0	0	0
35	Wang	Chunli	CHN	12	38	29.6	14.1	0	0	0	0	0	2	4	6	10	2	0	0	0
36	Ponza	Michela	ITA	12	52	42.7	7.5	0	0	0	0	0	2	2	3	4	8	0	0	0
37	Skardino	Nadezhda	BLR	20	30	26.6	15.7	0	0	0	0	0	1	6	16	17	3	0	0	0
38	Cyl	Agnieszka	POL	21	32	28.2	14.0	0	0	0	0	0	1	6	12	18	3	0	0	0
39	Kong	Yingchao	CHN	13	41	33.5	11.6	0	0	0	0	0	1	3	7	9	4	0	0	0
40	Rasimoviciute	Diana	LTU	9	49	28.6	11.0	0	0	0	0	0	1	2	4	6	2	0	1	0
41	Kudrashova	Olga	BLR	14	54	38.2	6.4	0	0	0	0	0	1	2	3	7	7	0	0	0
42	Tofalvi	Eva	ROU	19	33	32.8	12.2	0	0	0	0	0	0	6	9	15	4	0	0	0
43	Guzik	Krystyna	POL	13	45	38.5	8.9	0	0	0	0	0	0	4	6	7	6	0	0	0
44	Carraz-Collin	Julie	FRA	16	39	31.8	10.6	0	0	0	0	0	0	3	9	13	3	0	0	0
45	Levchenkova	Natalia	MDA	16	42	40.9	8.9	0	0	0	0	0	0	3	7	9	7	0	0	0
46	Doell	Juliane	GER	13	40	32.8	12.2	0	0	0	0	0	0	3	7	9	4	0	0	0
47	Lang	Kathrin	GER	8	47	30.0	12.9	0	0	0	0	0	0	3	4	6	2	0	0	0
48	Ravnikar	Dijana	SLO	19	43	39.3	7.2	0	0	0	0	0	0	2	6	12	7	0	0	0
49	Mali	Andreja	SLO	17	46	40.9	6.9	0	0	0	0	0	0	2	6	8	9	0	0	0
50	Haller	Katja	ITA	17	44	38.6	7.4	0	0	0	0	0	0	2	5	11	6	0	0	0
51	Gwizdon	Magdalena	POL	13	50	40.5	7.4	0	0	0	0	0	0	1	5	8	5	0	0	0
52	Liduma	Madara	LAT	16	51	45.9	5.6	0	0	0	0	0	0	1	5	7	9	0	0	0
53	Uusitalo	Anna Maria	SWE	14	48	46.2	6.7	0	0	0	0	0	0	1	5	6	8	0	0	0
54	Oberhofer	Karin	ITA	16	56	45.9	4.7	0	0	0	0	0	0	1	4	7	9	0	0	0
55	Bescond	Anais	FRA	9	55	43.2	8.7	0	0	0	0	0	0	1	4	6	3	0	0	0
56	Vejnarova	Zdenka	CZE	19	59	51.2	3.7	0	0	0	0	0	0	1	4	5	13	0	1	0
57	Domeij	Sofia	SWE	15	60	48.2	4.4	0	0	0	0	0	0	1	3	8	7	0	0	0
58	Yurlova-Percht	Ekaterina	RUS	7	58	30.9	10.1	0	0	0	0	0	0	1	3	7	0	0	0	0
59	Liu	Xianying	CHN	8	57	33.0	8.1	0	0	0	0	0	0	1	3	7	1	0	0	0
60	Rezlerova	Magda	CZE	15	61	45.6	4.1	0	0	0	0	0	0	1	3	5	10	0	0	0
61	Solemdal	Synnoeve	NOR	3	67	25.0	16.0	0	0	0	0	0	0	1	3	3	0	0	0	0
62	Eikeland	Liv Kjersti	NOR	12	71	53.6	2.6	0	0	0	0	0	0	1	1	4	8	0	0	0
63	Lebedeva	Anna	KAZ	14	76	52.4	1.8	0	0	0	0	0	0	1	1	3	11	0	0	0
64	Lebedeva	Marina	KAZ	18	69	55.8	2.0	0	0	0	0	0	0	1	1	2	15	1	0	0
65	Sokolova	Natalia	RUS	1	80	20.0	21.0	0	0	0	0	0	0	1	1	1	0	0	0	0
66	Tachizaki	Fuyuko	JPN	14	79	58.8	1.6	0	0	0	0	0	0	1	1	1	13	0	0	0
67	Dong	Xue	CHN	8	77	50.8	3.0	0	0	0	0	0	0	1	1	1	7	0	0	0
68	Nazarova	Olga	BLR	8	75	52.4	2.1	0	0	0	0	0	0	1	1	1	6	0	1	0
69	Buchholz	Sabrina	GER	2	72	41.0	15.0	0	0	0	0	0	0	1	1	1	1	0	0	0
70	Vaygina-Efremova	Lilia	UKR	10	53	38.7	9.0	0	0	0	0	0	0	0	5	6	4	0	0	0
71	Vitkova	Veronika	CZE	8	63	47.6	6.9	0	0	0	0	0	0	0	3	5	3	0	0	0
72	Otchenash	Natalya	RUS	4	66	28.3	12.8	0	0	0	0	0	0	0	3	4	0	0	0	0
73	Brankovic-Likozar	Tadeja	SLO	10	62	51.4	5.1	0	0	0	0	0	0	0	3	4	6	0	0	0
74	Lehtla	Kadri	EST	17	65	52.4	3.1	0	0	0	0	0	0	0	2	7	10	0	0	0
75	Tandy	Megan	CAN	13	64	47.8	3.7	0	0	0	0	0	0	0	2	6	7	0	0	0
76	Liu	Yuan-Yuan	CHN	7	73	56.4	4.3	0	0	0	0	0	0	0	2	2	5	0	0	0
77	Purdea	Mihaela	ROU	14	70	46.4	2.4	0	0	0	0	0	0	0	1	7	7	0	0	0
78	Daubnerova	Jana	SVK	17	68	55.8	2.3	0	0	0	0	0	0	0	1	6	11	0	0	0
79	Klenovska	Nina	BUL	14	74	50.1	2.0	0	0	0	0	0	0	0	1	3	11	0	0	0
80	Kristiansen	Gro Marit Istad	NOR	8	88	61.1	1.6	0	0	0	0	0	0	0	1	1	7	0	0	0
81	Stoian	Alexandra	ROU	11	84	68.8	1.5	0	0	0	0	0	0	0	1	1	10	0	0	0
82	Barnes	Lanny	USA	13	82	69.6	1.4	0	0	0	0	0	0	0	1	1	11	1	0	0
83	Johnson	Haley	USA	12	81	67.5	1.7	0	0	0	0	0	0	0	1	1	10	1	0	0
84	Jonsson	Jenny	SWE	10	86	58.6	1.7	0	0	0	0	0	0	0	0	4	6	0	0	0
85	Tomesova	Barbora	CZE	8	94	61.1	1.0	0	0	0	0	0	0	0	0	3	5	0	0	0
86	Bobak	Paulina	POL	11	90	57.3	1.0	0	0	0	0	0	0	0	0	3	8	0	0	0
87	Eie	Kari	NOR	12	85	46.5	1.3	0	0	0	0	0	0	0	0	3	9	0	0	0
88	Eder	Mari	FIN	13	83	52.6	1.4	0	0	0	0	0	0	0	0	3	9	0	1	0
89	Soulie	Laure	AND	5	91	42.0	1.8	0	0	0	0	0	0	0	0	2	3	0	0	0
90	Hoegberg	Elisabeth	SWE	13	89	52.8	1.0	0	0	0	0	0	0	0	0	2	11	0	0	0
91	Imrie	Megan	CAN	17	87	51.3	0.9	0	0	0	0	0	0	0	0	2	15	0	0	0
