No	Family Name	Given Name	Nation	Races	"World CupRank"	"Rank(avg)"	"Points(avg)"	Wins	2nd	3rd	Podiums	Top5s	Top10s	Top20s	Top30s	Top40s	>40	LAP	DNF	DSQ
1	Bjoerndalen	Ole Einar	NOR	23	1	5.6	47.0	7	6	2	15	18	18	21	23	23	0	0	0	0
2	Svendsen	Emil Hegle	NOR	19	3	6.1	42.2	5	1	5	11	13	14	18	19	19	0	0	0	0
3	Tchoudov	Maxim	RUS	26	5	12.5	31.5	2	1	0	3	6	11	22	25	26	0	0	0	0
4	Berger	Lars	NOR	21	17	24.1	19.3	2	1	0	3	4	6	9	14	18	3	0	0	0
5	Greis	Michael	GER	24	4	9.9	33.5	2	0	0	2	8	16	21	22	23	0	0	1	0
6	Landertinger	Dominik	AUT	20	11	17.1	28.0	1	3	1	5	6	9	13	17	18	2	0	0	0
7	Eder	Simon	AUT	19	12	14.8	29.1	1	3	1	5	6	8	15	16	18	1	0	0	0
8	Sikora	Tomasz	POL	26	2	8.7	36.2	1	1	4	6	9	16	26	26	26	0	0	0	0
9	Sumann	Christoph	AUT	25	6	12.8	30.4	1	1	3	5	7	15	19	20	24	0	0	1	0
10	Ferry	Bjoern	SWE	22	9	14.5	29.2	1	1	1	3	6	10	17	18	22	0	0	0	0
11	Stephan	Christoph	GER	24	18	30.8	16.8	1	1	0	2	3	5	10	14	17	7	0	0	0
12	Jay	Vincent	FRA	22	29	33.6	13.3	1	0	0	1	1	3	7	11	14	8	0	0	0
13	Peiffer	Arnd	GER	11	38	24.8	19.0	1	0	0	1	1	2	4	7	9	2	0	0	0
14	Tcherezov	Ivan	RUS	24	7	13.3	30.5	0	2	2	4	6	13	19	22	24	0	0	0	0
15	Os	Alexander	NOR	24	13	19.8	23.2	0	2	2	4	6	9	12	18	22	2	0	0	0
16	Bergman	Carl Johan	SWE	24	8	18.0	26.8	0	1	1	2	5	10	17	21	22	2	0	0	0
17	Roesch	Michael	GER	25	16	22.5	21.2	0	1	0	1	2	8	13	20	21	4	0	0	0
18	Boehm	Daniel	GER	6	59	37.7	15.7	0	1	0	1	1	1	2	3	4	2	0	0	0
19	Fourcade	Simon	FRA	24	15	22.6	21.4	0	0	1	1	4	9	14	18	19	5	0	0	0
20	Hanevold	Halvard	NOR	25	10	19.6	23.1	0	0	1	1	2	8	16	21	23	2	0	0	0
21	Fak	Jakov	CRO	17	44	44.1	9.1	0	0	1	1	1	1	4	5	9	8	0	0	0
22	Teela	Jeremy	USA	17	71	61.1	2.9	0	0	1	1	1	1	1	1	2	15	0	0	0
23	De Lorenzi	Christian	ITA	24	23	32.3	14.6	0	0	0	0	2	5	9	13	16	8	0	0	0
24	Birnbacher	Andreas	GER	15	27	23.8	19.6	0	0	0	0	2	5	7	10	13	2	0	0	0
25	Slesingr	Michal	CZE	23	20	25.6	18.4	0	0	0	0	2	4	10	16	19	4	0	0	0
26	Sednev	Serguei	UKR	16	46	39.7	9.3	0	0	0	0	2	2	2	5	9	7	0	0	0
27	Mesotitsch	Daniel	AUT	26	14	21.7	21.6	0	0	0	0	1	4	15	23	24	2	0	0	0
28	Kruglov	Nikolay	RUS	13	31	24.2	19.7	0	0	0	0	1	2	7	10	11	2	0	0	0
29	Defrasne	Vincent	FRA	18	35	30.9	12.3	0	0	0	0	1	2	4	9	14	3	0	1	0
30	Pryma	Roman	UKR	18	49	43.9	7.5	0	0	0	0	1	1	2	6	7	11	0	0	0
31	Ekholm	David	SWE	19	54	45.3	5.8	0	0	0	0	1	1	2	3	7	12	0	0	0
32	Brink	Jörgen	SWE	12	69	51.9	4.9	0	0	0	0	1	1	1	2	3	9	0	0	0
33	Pinter	Friedrich	AUT	21	22	26.8	16.9	0	0	0	0	0	4	10	14	17	4	0	0	0
34	Deryzemlya	Andriy	UKR	21	21	30.7	16.2	0	0	0	0	0	4	10	12	16	5	0	0	0
35	Eberhard	Tobias	AUT	18	37	35.4	12.3	0	0	0	0	0	3	6	8	12	6	0	0	0
36	Hafsas	Ronny	NOR	15	40	32.0	12.7	0	0	0	0	0	3	5	7	11	4	0	0	0
37	Maric	Janez	SLO	20	41	40.9	10.0	0	0	0	0	0	3	4	8	9	11	0	0	0
38	Fourcade	Martin	FRA	19	24	24.3	18.2	0	0	0	0	0	2	9	14	15	4	0	0	0
39	Makoveev	Andrei	RUS	24	28	31.3	13.0	0	0	0	0	0	2	7	14	18	6	0	0	0
40	Burke	Tim	USA	19	25	29.8	16.5	0	0	0	0	0	2	7	14	14	5	0	0	0
41	Valiullin	Rustam	BLR	22	30	32.5	12.1	0	0	0	0	0	2	6	13	16	6	0	0	0
42	Ustyugov	Evgeny	RUS	14	33	25.1	17.6	0	0	0	0	0	2	6	11	11	3	0	0	0
43	Le Guellec	Jean-Philippe	CAN	22	32	31.9	11.5	0	0	0	0	0	2	6	9	13	9	0	0	0
44	Hallenbarter	Simon	SUI	20	36	33.7	11.1	0	0	0	0	0	2	5	9	12	8	0	0	0
45	Wolf	Alexander	GER	25	19	25.6	17.2	0	0	0	0	0	1	11	18	21	4	0	0	0
46	Windisch	Markus	ITA	23	26	35.1	14.2	0	0	0	0	0	1	9	14	16	7	0	0	0
47	Nilsson	Mattias	SWE	22	34	34.1	10.4	0	0	0	0	0	1	5	10	12	10	0	0	0
48	Andresen	Frode	NOR	9	47	26.6	15.9	0	0	0	0	0	1	4	6	7	1	0	0	1
49	Derkach	Vyacheslav	UKR	18	39	32.6	11.4	0	0	0	0	0	1	2	10	13	5	0	0	0
50	Novikov	Sergey	BLR	20	42	35.8	9.1	0	0	0	0	0	1	2	8	13	7	0	0	0
51	Bilanenko	Olexander	UKR	16	55	46.0	6.7	0	0	0	0	0	1	2	5	7	9	0	0	0
52	Joller	Ivan	SUI	15	62	47.6	5.3	0	0	0	0	0	1	2	4	5	10	0	0	0
53	Schempp	Simon	GER	4	60	19.5	21.5	0	0	0	0	0	1	2	4	4	0	0	0	0
54	Lessing	Roland	EST	13	61	47.5	6.5	0	0	0	0	0	1	2	3	6	7	0	0	0
55	Hurajt	Pavol	SVK	18	52	48.6	6.7	0	0	0	0	0	0	4	5	9	9	0	0	0
56	Soukup	Jaroslav	CZE	18	43	40.2	9.7	0	0	0	0	0	0	3	7	11	7	0	0	0
57	Hakkinen	Jay	USA	17	45	47.4	9.4	0	0	0	0	0	0	3	7	8	8	0	1	0
58	Bauer	Klemen	SLO	18	50	47.2	7.4	0	0	0	0	0	0	3	5	8	10	0	0	0
59	Bailey	Lowell	USA	17	51	51.3	7.1	0	0	0	0	0	0	3	5	7	10	0	0	0
60	Dostal	Roman	CZE	12	57	41.0	7.8	0	0	0	0	0	0	2	5	6	6	0	0	0
61	Maksimov	Maxim	RUS	17	58	40.8	5.6	0	0	0	0	0	0	2	3	10	7	0	0	0
62	Vuillermoz	Rene Laurent	ITA	15	63	46.7	5.5	0	0	0	0	0	0	2	3	6	9	0	0	0
63	Syman	Alexandr	BLR	15	66	52.3	4.9	0	0	0	0	0	0	2	3	5	10	0	0	0
64	Eckhoff	Stian	NOR	4	67	23.8	18.0	0	0	0	0	0	0	2	3	3	1	0	0	0
65	Simmen	Matthias	SUI	14	68	49.9	4.3	0	0	0	0	0	0	2	2	5	9	0	0	0
66	Vitek	Zdenek	CZE	18	48	39.0	7.6	0	0	0	0	0	0	1	8	11	7	0	0	0
67	Holubec	Tomas	CZE	17	53	45.1	6.9	0	0	0	0	0	0	1	5	9	8	0	0	0
68	Jonsson	Magnus	SWE	17	56	48.5	6.1	0	0	0	0	0	0	1	5	7	10	0	0	0
69	Gjedrem	Hans Martin	NOR	7	64	36.4	11.4	0	0	0	0	0	0	1	5	5	2	0	0	0
70	Lang	Toni	GER	11	65	37.0	7.2	0	0	0	0	0	0	1	4	5	5	0	1	0
71	Zhang	Chengye	CHN	17	72	47.8	2.8	0	0	0	0	0	0	1	2	4	13	0	0	0
72	Puurunen	Paavo	FIN	10	75	39.9	4.1	0	0	0	0	0	0	1	2	3	5	0	2	0
73	Beatrix	Jean Guillaume	FRA	9	74	48.4	4.3	0	0	0	0	0	0	1	2	3	6	0	0	0
74	Brattsveen	Rune	NOR	4	73	39.5	11.3	0	0	0	0	0	0	1	2	3	1	0	0	0
75	Gusev	Artem	RUS	6	76	49.5	6.3	0	0	0	0	0	0	1	2	2	4	0	0	0
76	Frei	Thomas	SUI	14	77	58.7	2.3	0	0	0	0	0	0	1	1	3	11	0	0	0
77	Boeuf	Alexis	FRA	9	82	56.6	3.1	0	0	0	0	0	0	1	1	2	6	0	1	0
78	Lindstroem	Fredrik	SWE	5	81	47.4	5.6	0	0	0	0	0	0	1	1	1	4	0	0	0
