No	Family Name	Given Name	Nation	Races	"World CupRank"	"Rank(avg)"	"Points(avg)"	Wins	2nd	3rd	Podiums	Top5s	Top10s	Top20s	Top30s	Top40s	>40	LAP	DNF	DSQ
1	Bailly	Sandrine	FRA	27	1	9.1	31.8	6	2	0	8	13	18	24	26	27	0	0	0	0
2	Disl	Uschi	GER	25	5	13.5	25.3	5	1	0	6	7	15	19	21	24	1	0	0	0
3	Zaitseva	Olga	RUS	23	4	8.2	32.7	3	4	3	10	13	15	21	21	21	1	0	0	1
4	Wilhelm	Kati	GER	27	2	8.8	31.4	3	2	3	8	13	20	24	27	27	0	0	0	0
5	Medvedtseva	Olga	RUS	27	3	9.3	31.3	2	4	3	9	13	19	23	26	27	0	0	0	0
6	Henkel	Andrea	GER	23	14	16.4	18.7	1	1	0	2	4	6	15	21	23	0	0	0	0
7	Grubben	Linda	NOR	20	9	13.9	24.5	1	0	5	6	6	9	16	18	19	1	0	0	0
8	Beck	Martina	GER	20	11	13.8	23.4	1	0	2	3	5	10	14	19	19	1	0	0	0
9	Zubrilova	Olena	BLR	27	7	17.1	20.6	1	0	2	3	4	12	18	22	23	3	0	1	0
10	Bogaliy-Titovets	Anna	RUS	19	15	16.9	20.2	1	0	1	2	5	10	14	16	18	1	0	0	0
11	Kristiansen	Gro Marit Istad	NOR	24	13	18.1	18.2	1	0	1	2	2	10	15	20	23	1	0	0	0
12	Apel	Katrin	GER	27	8	15.6	19.4	1	0	0	1	2	10	20	23	27	0	0	0	0
13	Chernousova	Svetlana	RUS	17	24	23.9	13.8	1	0	0	1	2	4	8	13	14	3	0	0	0
14	Poiree	Liv Grete	NOR	15	22	15.7	18.5	1	0	0	1	1	7	11	13	14	1	0	0	0
15	Liu	Xianying	CHN	27	6	14.0	23.4	0	2	1	3	8	11	21	25	26	1	0	0	0
16	Ishmouratova	Svetlana	RUS	18	12	14.4	25.4	0	2	0	2	6	10	13	17	17	1	0	0	0
17	Zidek	Anna Carin	SWE	24	10	16.5	19.8	0	2	0	2	4	10	17	19	24	0	0	0	0
18	Berger	Tora	NOR	26	17	20.8	15.0	0	2	0	2	2	5	15	22	25	1	0	0	0
19	Kong	Yingchao	CHN	24	28	32.2	8.7	0	2	0	2	2	4	5	13	17	7	0	0	0
20	Brankovic-Likozar	Tadeja	SLO	27	23	26.9	9.5	0	1	1	2	2	3	9	20	22	5	0	0	0
21	Gwizdon	Magdalena	POL	23	26	26.5	9.0	0	1	1	2	2	3	6	17	19	4	0	0	0
22	Sun	Ribo	CHN	10	40	30.2	10.2	0	1	0	1	1	1	4	5	8	2	0	0	0
23	Hauswald	Simone	GER	19	18	19.3	18.8	0	0	2	2	6	9	11	13	17	2	0	0	0
24	Akhatova	Albina	RUS	17	16	12.5	22.5	0	0	1	1	4	8	14	16	17	0	0	0	0
25	Dafovska	Ekaterina	BUL	20	21	18.8	15.0	0	0	0	0	4	6	11	16	19	1	0	0	0
26	Baverel	Florence	FRA	24	20	20.8	14.6	0	0	0	0	1	7	14	19	21	3	0	0	0
27	Ponza	Michela	ITA	24	19	19.7	14.9	0	0	0	0	1	5	16	19	20	3	0	1	0
28	Sorokina	Natalia	RUS	21	25	31.0	11.1	0	0	0	0	1	5	8	12	16	5	0	0	0
29	Cesnekova	Irena	CZE	18	37	35.6	6.1	0	0	0	0	1	1	4	8	9	9	0	0	0
30	Khvostenko	Oksana	UKR	14	33	24.4	10.3	0	0	0	0	0	3	7	10	11	3	0	0	0
31	Holubcova	Katerina	CZE	22	29	24.5	9.5	0	0	0	0	0	2	9	16	20	2	0	0	0
32	Filipova	Pavlina	BUL	19	31	30.1	8.7	0	0	0	0	0	2	8	10	14	4	0	0	1
33	Makarova	Joulia	RUS	12	35	28.8	10.6	0	0	0	0	0	2	5	8	9	3	0	0	0
34	Yin	Qiao	CHN	21	39	40.4	5.0	0	0	0	0	0	2	4	6	8	12	1	0	0
35	Buchholz	Sabrina	GER	7	44	33.9	10.6	0	0	0	0	0	2	3	3	4	3	0	0	0
36	Mihokova	Sona	SVK	25	32	29.8	6.4	0	0	0	0	0	1	7	15	18	6	0	1	0
37	Peretto	Delphine	FRA	21	34	26.7	7.0	0	0	0	0	0	1	7	14	17	3	0	1	0
38	Mali	Andreja	SLO	20	49	46.5	2.4	0	0	0	0	0	1	2	4	6	14	0	0	0
39	Malgina	Irina	RUS	7	50	37.0	6.1	0	0	0	0	0	1	2	2	5	2	0	0	0
40	Wuestenfeld	Katja	GER	22	27	22.7	10.0	0	0	0	0	0	0	13	17	21	1	0	0	0
41	Nazarova	Olga	BLR	23	30	26.3	7.3	0	0	0	0	0	0	8	16	18	4	0	1	0
42	Steer	Rachel	USA	23	36	33.3	5.1	0	0	0	0	0	0	5	13	16	7	0	0	0
43	Gregorin	Teja	SLO	21	41	32.8	4.0	0	0	0	0	0	0	4	12	16	5	0	0	0
44	Tofalvi	Eva	ROU	22	38	35.7	4.9	0	0	0	0	0	0	4	11	13	9	0	0	0
45	Hou	Yuxia	CHN	21	43	41.5	3.8	0	0	0	0	0	0	4	6	12	9	0	0	0
46	Vinogradova	Ekaterina	BLR	20	45	35.7	3.0	0	0	0	0	0	0	3	9	14	6	0	0	0
47	Eikeland	Liv Kjersti	NOR	13	46	34.0	4.1	0	0	0	0	0	0	3	4	11	2	0	0	0
48	Koblar	Andreja	SLO	20	54	41.6	1.8	0	0	0	0	0	0	3	4	10	9	0	1	0
49	Kocher	Zina	CAN	17	51	45.6	2.5	0	0	0	0	0	0	3	4	7	8	0	2	0
50	Santer	Saskia	ITA	21	47	47.2	2.5	0	0	0	0	0	0	3	3	7	14	0	0	0
51	Levchenkova	Natalia	MDA	23	42	33.0	3.8	0	0	0	0	0	0	2	11	18	5	0	0	0
52	Ravnikar	Dijana	SLO	17	52	44.7	2.2	0	0	0	0	0	0	2	6	8	9	0	0	0
53	Meguro	Kanae	JPN	18	53	46.7	2.1	0	0	0	0	0	0	2	4	7	11	0	0	0
54	Ananko	Liudmila	BLR	17	59	45.1	1.5	0	0	0	0	0	0	2	4	5	10	0	2	0
55	Vejnarova	Zdenka	CZE	19	56	40.4	1.9	0	0	0	0	0	0	1	7	10	8	0	1	0
56	Perunka	Sanna-Leena	FIN	16	48	34.7	3.1	0	0	0	0	0	0	1	6	11	5	0	0	0
57	Halinarova	Martina	SVK	10	55	34.8	3.7	0	0	0	0	0	0	1	5	8	2	0	0	0
58	Flatland	Ann Kristin Aafedt	NOR	13	57	37.7	2.5	0	0	0	0	0	0	1	4	8	5	0	0	0
59	Guzik	Krystyna	POL	11	61	48.0	1.8	0	0	0	0	0	0	1	4	6	4	0	1	0
60	Faltusova	Lenka	CZE	17	65	47.1	1.0	0	0	0	0	0	0	1	3	4	12	0	1	0
61	Liduma	Madara	LAT	16	62	58.6	1.3	0	0	0	0	0	0	1	3	3	13	0	0	0
62	Vaygina-Efremova	Lilia	UKR	17	60	44.4	1.5	0	0	0	0	0	0	1	2	6	11	0	0	0
63	Petrova	Olena	UKR	6	64	31.8	3.0	0	0	0	0	0	0	1	2	4	1	1	0	0
64	Denisova	Uliana	RUS	6	63	36.8	3.7	0	0	0	0	0	0	1	2	3	3	0	0	0
65	Haller	Katja	ITA	17	70	62.8	0.7	0	0	0	0	0	0	1	1	4	11	2	0	0
66	Jacquin	Pauline	FRA	9	72	48.9	1.1	0	0	0	0	0	0	1	1	3	6	0	0	0
67	Kettunen	Outi	FIN	9	69	51.6	1.0	0	0	0	0	0	0	1	1	3	6	0	0	0
68	Iourieva	Ekaterina	RUS	5	68	47.2	2.6	0	0	0	0	0	0	1	1	1	4	0	0	0
69	Yakovleva	Oksana	UKR	5	67	47.6	3.2	0	0	0	0	0	0	1	1	1	4	0	0	0
70	Murinova	Anna	SVK	21	58	42.2	1.5	0	0	0	0	0	0	0	5	10	10	0	1	0
71	Mignerey	Anne Laure	FRA	11	66	36.5	1.6	0	0	0	0	0	0	0	4	7	4	0	0	0
72	Sprung	Anna	AUT	12	74	39.0	0.8	0	0	0	0	0	0	0	3	6	6	0	0	0
73	Popova	Radka	BUL	18	82	45.7	0.2	0	0	0	0	0	0	0	2	7	11	0	0	0
74	Santer	Nathalie	ITA	17	78	44.9	0.4	0	0	0	0	0	0	0	2	7	10	0	0	0
75	Barnes	Tracy	USA	4	71	44.0	3.0	0	0	0	0	0	0	0	2	2	2	0	0	0
76	Krause	Jill	USA	21	83	48.5	0.1	0	0	0	0	0	0	0	1	7	14	0	0	0
77	Gros	Christelle	FRA	11	76	44.5	0.7	0	0	0	0	0	0	0	1	6	5	0	0	0
78	Dong	Xue	CHN	10	73	43.1	1.0	0	0	0	0	0	0	0	1	6	4	0	0	0
79	Tananaiko	Irina	UKR	10	84	42.8	0.3	0	0	0	0	0	0	0	1	5	5	0	0	0
80	Tsukidate	Ikuyo	JPN	17	85	63.1	0.1	0	0	0	0	0	0	0	1	3	14	0	0	0
81	Lemesh	Nina	UKR	10	79	64.5	0.5	0	0	0	0	0	0	0	1	3	7	0	0	0
82	Klenovska	Nina	BUL	14	81	57.8	0.3	0	0	0	0	0	0	0	1	2	11	0	1	0
