No	Family Name	Given Name	Nation	Races	"World CupRank"	"Rank(avg)"	"Points(avg)"	Wins	2nd	3rd	Podiums	Top5s	Top10s	Top20s	Top30s	Top40s	>40	LAP	DNF	DSQ
1	Bjoerndalen	Ole Einar	NOR	19	1	3.5	42.8	8	3	2	13	17	17	19	19	19	0	0	0	0
2	Fischer	Sven	GER	24	3	11.3	28.1	3	1	4	8	9	13	21	22	24	0	0	0	0
3	Andresen	Frode	NOR	23	9	17.4	22.2	3	0	3	6	7	11	15	16	19	3	0	1	0
4	Defrasne	Vincent	FRA	20	6	11.0	26.5	2	1	0	3	7	12	17	19	20	0	0	0	0
5	Greis	Michael	GER	15	10	9.5	27.6	2	0	2	4	8	11	13	14	15	0	0	0	0
6	Poiree	Raphael	FRA	24	2	11.1	26.7	1	7	1	9	10	14	20	21	21	2	0	1	0
7	Sikora	Tomasz	POL	25	4	13.3	23.3	1	3	0	4	7	13	20	23	24	1	0	0	0
8	Roesch	Michael	GER	24	5	13.8	23.9	1	2	2	5	5	12	20	22	22	2	0	0	0
9	Hanevold	Halvard	NOR	21	7	13.4	23.8	1	2	1	4	7	11	17	19	20	1	0	0	0
10	Wolf	Alexander	GER	22	12	18.1	18.7	1	2	0	3	6	8	12	18	20	2	0	0	0
11	Gross	Ricco	GER	22	8	15.3	22.6	1	1	1	3	4	11	17	20	20	2	0	0	0
12	Bergman	Carl Johan	SWE	20	11	17.6	20.8	1	0	2	3	6	9	14	17	18	2	0	0	0
13	Eckhoff	Stian	NOR	19	19	18.2	16.1	1	0	0	1	2	6	12	16	18	1	0	0	0
14	Tchoudov	Maxim	RUS	22	13	20.0	19.5	0	1	2	3	4	10	13	17	19	3	0	0	0
15	Bricis	Ilmars	LAT	20	18	16.9	18.0	0	1	1	2	4	6	12	19	20	0	0	0	0
16	Berger	Lars	NOR	10	34	26.8	13.0	0	1	1	2	2	2	5	7	7	3	0	0	0
17	Dostal	Roman	CZE	23	23	26.0	12.3	0	1	0	1	1	5	11	16	17	6	0	0	0
18	Tchepikov	Sergei	RUS	17	14	12.3	23.6	0	0	1	1	4	9	14	16	16	1	0	0	0
19	Tcherezov	Ivan	RUS	21	15	18.7	19.4	0	0	1	1	3	10	14	17	19	2	0	0	0
20	Rozhkov	Sergei	RUS	21	21	28.4	13.2	0	0	1	1	1	7	9	12	14	7	0	0	0
21	Nilsson	Mattias	SWE	22	28	28.5	9.0	0	0	1	1	1	2	8	15	17	5	0	0	0
22	Svendsen	Emil Hegle	NOR	17	22	20.5	16.1	0	0	0	0	3	6	10	13	15	2	0	0	0
23	Birnbacher	Andreas	GER	17	17	21.6	21.8	0	0	0	0	2	9	13	13	14	3	0	0	0
24	Sumann	Christoph	AUT	23	16	21.7	16.2	0	0	0	0	2	6	15	19	21	2	0	0	0
25	Ferry	Bjoern	SWE	21	25	21.4	11.9	0	0	0	0	2	3	10	19	20	1	0	0	0
26	Rostovtsev	Pavel	RUS	13	26	19.0	13.8	0	0	0	0	2	3	9	10	11	2	0	0	0
27	Kruglov	Nikolay	RUS	20	20	21.4	15.4	0	0	0	0	1	4	13	16	17	3	0	0	0
28	Vuillermoz	Rene Laurent	ITA	24	27	25.9	9.1	0	0	0	0	1	2	9	16	20	3	0	1	0
29	Puurunen	Paavo	FIN	16	41	43.0	5.4	0	0	0	0	1	1	3	5	8	6	0	2	0
30	Matiasko	Marek	SVK	15	47	41.8	5.1	0	0	0	0	1	1	2	6	9	6	0	0	0
31	Robert	Julien	FRA	21	24	23.8	11.6	0	0	0	0	0	4	11	15	16	4	0	1	0
32	Drachev	Vladimir	BLR	22	30	30.8	7.6	0	0	0	0	0	2	8	12	15	7	0	0	0
33	Aidarov	Alexei	BLR	13	31	19.6	13.0	0	0	0	0	0	2	7	10	13	0	0	0	0
34	Mesotitsch	Daniel	AUT	14	44	37.8	5.6	0	0	0	0	0	2	3	5	7	5	0	2	0
35	Slesingr	Michal	CZE	22	29	30.7	8.8	0	0	0	0	0	1	8	12	15	7	0	0	0
36	Rottmann	Wolfgang	AUT	16	33	28.6	9.1	0	0	0	0	0	1	7	10	11	3	0	0	2
37	Ryzhenkov	Oleg	BLR	22	35	31.0	6.4	0	0	0	0	0	1	6	14	17	5	0	0	0
38	Vitek	Zdenek	CZE	19	36	29.0	6.8	0	0	0	0	0	1	6	11	15	4	0	0	0
39	Valiullin	Rustam	BLR	24	32	31.7	6.7	0	0	0	0	0	1	5	15	20	4	0	0	0
40	Hakkinen	Jay	USA	15	37	41.3	7.5	0	0	0	0	0	1	5	7	7	8	0	0	0
41	Gredler	Ludwig	AUT	20	38	39.1	4.7	0	0	0	0	0	1	4	8	12	8	0	0	0
42	De Lorenzi	Christian	ITA	19	42	38.6	4.3	0	0	0	0	0	1	3	8	13	6	0	0	0
43	Pallhuber	Wilfried	ITA	18	46	30.6	4.1	0	0	0	0	0	1	2	9	15	2	0	1	0
44	Novikov	Sergey	BLR	18	45	35.1	4.2	0	0	0	0	0	1	2	9	14	4	0	0	0
45	Pinter	Friedrich	AUT	15	48	39.5	4.9	0	0	0	0	0	1	2	6	8	6	0	1	0
46	Pump	Carsten	GER	12	50	34.1	5.4	0	0	0	0	0	1	2	6	7	5	0	0	0
47	Deryzemlya	Andriy	UKR	14	57	47.0	3.0	0	0	0	0	0	1	2	4	7	7	0	0	0
48	Hallenbarter	Simon	SUI	20	56	46.7	2.4	0	0	0	0	0	1	2	4	7	12	0	1	0
49	Makoveev	Andrei	RUS	9	52	38.9	6.3	0	0	0	0	0	1	2	4	4	5	0	0	0
50	Bashkirov	Sergey	RUS	7	53	30.7	8.0	0	0	0	0	0	1	2	3	5	2	0	0	0
51	Os	Alexander	NOR	12	40	29.8	7.7	0	0	0	0	0	0	6	8	9	3	0	0	0
52	Zhang	Chengye	CHN	16	39	36.6	5.8	0	0	0	0	0	0	5	7	10	6	0	0	0
53	Lysenko	Ruslan	UKR	19	43	34.4	4.3	0	0	0	0	0	0	4	10	12	7	0	0	0
54	Fourcade	Simon	FRA	16	49	37.7	4.6	0	0	0	0	0	0	3	7	9	7	0	0	0
55	Maric	Janez	SLO	16	54	42.8	3.4	0	0	0	0	0	0	3	6	10	4	0	2	0
56	Moravec	Ondrej	CZE	13	51	34.9	4.5	0	0	0	0	0	0	3	5	10	3	0	0	0
57	Graf	Daniel	GER	9	55	28.8	5.8	0	0	0	0	0	0	3	5	7	2	0	0	0
