No	Family Name	Given Name	Nation	Races	"World Cup
Rank"	"Rank
(avg)"	"Points
(avg)"	Wins	2nd	3rd	Podiums	Top5s	Top10s	Top20s	Top30s	Top40s	>40	LAP	DNF	DSQ
57	Derkach	Vyacheslav	UKR	15	58	50.5	0.7	0	0	0	0	0	0	1	2	5	10	0	0	0
58	Achorner	Hans	AUT	11	59	55.9	0.8	0	0	0	0	0	0	1	1	3	8	0	0	0
59	Sikora	Tomasz	POL	10	57	50.1	1.0	0	0	0	0	0	0	1	1	2	8	0	0	0
60	Wiksten	Tord	SWE	15	61	52.4	0.4	0	0	0	0	0	0	1	1	1	13	0	1	0
61	Gjelland	Egil	NOR	14		43.6	0.0	0	0	0	0	0	0	0	3	7	7	0	0	0
62	Meguro	Hironao	JPN	16	68	50.0	0.1	0	0	0	0	0	0	0	3	6	10	0	0	0
63	Prants	Janno	EST	14		44.6	0.0	0	0	0	0	0	0	0	3	5	9	0	0	0
64	Poklukar	Matjaz	SLO	16	63	45.8	0.2	0	0	0	0	0	0	0	3	5	9	0	2	0
65	Neuner	Reinhard	AUT	20	66	43.6	0.1	0	0	0	0	0	0	0	2	9	11	0	0	0
66	Vitek	Zdenek	CZE	13	62	39.2	0.4	0	0	0	0	0	0	0	2	8	5	0	0	0
67	Defrasne	Vincent	FRA	12		46.9	0.0	0	0	0	0	0	0	0	2	5	7	0	0	0
68	Suga	Kyoji	JPN	13	64	41.1	0.2	0	0	0	0	0	0	0	2	5	7	0	1	0
69	Uusipaikka	Mikko	FIN	11	60	46.9	0.7	0	0	0	0	0	0	0	2	3	8	0	0	0
70	Griaznovas	Ricardas	LTU	13		55.1	0.0	0	0	0	0	0	0	0	2	2	11	0	0	0
71	Messner	Helmuth	ITA	8		43.5	0.0	0	0	0	0	0	0	0	1	3	5	0	0	0
72	Topor	Krzysztof	POL	12		56.5	0.0	0	0	0	0	0	0	0	1	2	10	0	0	0
73	Pesterev	Ivan	BLR	12		49.3	0.0	0	0	0	0	0	0	0	1	2	10	0	0	0
74	Kroupnik	Nikolai	UKR	5	67	42.4	0.4	0	0	0	0	0	0	0	1	2	3	0	0	0
75	Noberius	Rickard	SWE	11	69	57.6	0.1	0	0	0	0	0	0	0	1	1	9	0	1	0
76	Barila	Liutauras	LTU	12		61.8	0.0	0	0	0	0	0	0	0	1	1	11	0	0	0
77	Malek	Marian	CZE	8	70	55.5	0.1	0	0	0	0	0	0	0	1	1	7	0	0	0
78	Eloranta	Harri	FIN	6	65	49.5	0.5	0	0	0	0	0	0	0	1	1	5	0	0	0
79	Sklenar	Jason	GBR	14		52.6	0.0	0	0	0	0	0	0	0	0	3	10	0	1	0
80	Jensen	Eric	CAN	7		62.2	0.0	0	0	0	0	0	0	0	0	2	4	0	1	0
81	Mäkelä	Jussi	FIN	4		41.0	0.0	0	0	0	0	0	0	0	0	2	2	0	0	0
82	Lysenko	Ruslan	UKR	9		59.4	0.0	0	0	0	0	0	0	0	0	2	7	0	0	0
83	Konovalov	Aleksei	RUS	3		39.7	0.0	0	0	0	0	0	0	0	0	2	1	0	0	0
84	Kobelev	Alexei	RUS	4		57.3	0.0	0	0	0	0	0	0	0	0	1	3	0	0	0
85	Ziemianin	Jan	POL	7		73.0	0.0	0	0	0	0	0	0	0	0	1	6	0	0	0
86	Tobreluts	Indrek	EST	9		52.8	0.0	0	0	0	0	0	0	0	0	1	7	0	1	0
87	Pantov	Dmitriy	KAZ	7		58.2	0.0	0	0	0	0	0	0	0	0	1	5	0	1	0
88	Teela	Jeremy	USA	10		58.5	0.0	0	0	0	0	0	0	0	0	1	9	0	0	0
89	Peltola	Olli-Pekka	FIN	4		53.8	0.0	0	0	0	0	0	0	0	0	1	3	0	0	0
90	Takeda	Kazumasa	JPN	12		64.6	0.0	0	0	0	0	0	0	0	0	1	11	0	0	0
91	Dixon	Michael	GBR	6		76.5	0.0	0	0	0	0	0	0	0	0	1	5	0	0	0
92	Borovik	Dimitri	EST	11		53.8	0.0	0	0	0	0	0	0	0	0	1	9	0	1	0
93	Morschakin	Alexei	BLR	11		56.2	0.0	0	0	0	0	0	0	0	0	1	10	0	0	0
94	Cart-Lamy	Raphael	FRA	9		50.6	0.0	0	0	0	0	0	0	0	0	1	8	0	0	0
95	Lessing	Roland	EST	7		61.1	0.0	0	0	0	0	0	0	0	0	0	7	0	0	0
96	Blaj	Marian	ROM	8		79.5	0.0	0	0	0	0	0	0	0	0	0	8	0	0	0
97	Niederberger	Daniel	SUI	7		91.1	0.0	0	0	0	0	0	0	0	0	0	7	0	0	0
98	Christoforidis	Stavros	GRE	2		101.5	0.0	0	0	0	0	0	0	0	0	0	2	0	0	0
99	Lepyoshkin	Mikhail	KAZ	4		88.8	0.0	0	0	0	0	0	0	0	0	0	4	0	0	0
100	Stoica	Dimitri	MDA	3		97.7	0.0	0	0	0	0	0	0	0	0	0	3	0	0	0
101	Settle	Carlos	CAN	1		66.0	0.0	0	0	0	0	0	0	0	0	0	1	0	0	0
102	Zhang	Qing	CHN	4		86.5	0.0	0	0	0	0	0	0	0	0	0	4	0	0	0
103	Zimelis	Raivis	LAT	9		71.9	0.0	0	0	0	0	0	0	0	0	0	8	0	1	0
104	Bordeleau	Luc	CAN	2		65.5	0.0	0	0	0	0	0	0	0	0	0	2	0	0	0
105	Aune	Terje	NOR	1		67.0	0.0	0	0	0	0	0	0	0	0	0	1	0	0	0
106	Zemva	Tomaz	SLO	3		61.3	0.0	0	0	0	0	0	0	0	0	0	3	0	0	0
107	Yaroshenko	Dmitri	RUS	1		66.0	0.0	0	0	0	0	0	0	0	0	0	1	0	0	0
108	Ernhart	Grant	USA	2		79.5	0.0	0	0	0	0	0	0	0	0	0	2	0	0	0
109	Pozdnjakov	Dmitry	KAZ	5		71.6	0.0	0	0	0	0	0	0	0	0	0	5	0	0	0
110	Machyniak	Lubomir	SVK	7		79.4	0.0	0	0	0	0	0	0	0	0	0	7	0	0	0
111	Nilsson	Mattias	SWE	2		81.5	0.0	0	0	0	0	0	0	0	0	0	2	0	0	0
112	Navarro Perez	Jose Ramon	ESP	4		99.3	0.0	0	0	0	0	0	0	0	0	0	4	0	0	0
113	Matiasko	Marek	SVK	6		59.2	0.0	0	0	0	0	0	0	0	0	0	6	0	0	0
114	Maric	Janez	SLO	8		61.6	0.0	0	0	0	0	0	0	0	0	0	8	0	0	0
115	Clegg	Robin	CAN	4		80.5	0.0	0	0	0	0	0	0	0	0	0	4	0	0	0
116	Oussankov	Serguei	RUS	3		76.7	0.0	0	0	0	0	0	0	0	0	0	3	0	0	0
117	Sekiya	Shuichi	JPN	10		66.0	0.0	0	0	0	0	0	0	0	0	0	9	0	0	1
118	Van Leeuwen	Erik	NED	3		90.0	0.0	0	0	0	0	0	0	0	0	0	3	0	0	0
119	Rauch	Corsin	SUI	13		69.4	0.0	0	0	0	0	0	0	0	0	0	13	0	0	0
120	Kassabov	Georgi	BUL	8		78.6	0.0	0	0	0	0	0	0	0	0	0	8	0	0	0
121	Gieck	David	USA	6		68.0	0.0	0	0	0	0	0	0	0	0	0	6	0	0	0
122	Holubec	Tomas	CZE	8		61.0	0.0	0	0	0	0	0	0	0	0	0	8	0	0	0
123	Clemens	Tom	GBR	3		81.7	0.0	0	0	0	0	0	0	0	0	0	3	0	0	0
124	Beck	Günther	AUT	8		67.1	0.0	0	0	0	0	0	0	0	0	0	8	0	0	0
125	Legare	Reny	CAN	1		68.0	0.0	0	0	0	0	0	0	0	0	0	1	0	0	0
126	Filip	Jozef	SVK	1		93.0	0.0	0	0	0	0	0	0	0	0	0	1	0	0	0
127	Rupertus	Glenn	CAN	4		74.8	0.0	0	0	0	0	0	0	0	0	0	4	0	0	0
128	Gonet	Pascal	SUI	7		92.6	0.0	0	0	0	0	0	0	0	0	0	7	0	0	0
129	Andersson	Tomas	SWE	2		62.5	0.0	0	0	0	0	0	0	0	0	0	2	0	0	0
130	Abdoukarov	Serguei	KAZ	3		92.0	0.0	0	0	0	0	0	0	0	0	0	3	0	0	0
131	Romanin	Ivan	ITA	1		83.0	0.0	0	0	0	0	0	0	0	0	0	1	0	0	0
132	Clavero	Gerardo	ESP	4		99.5	0.0	0	0	0	0	0	0	0	0	0	4	0	0	0
133	Bucsa	Ivan	MDA	5		97.8	0.0	0	0	0	0	0	0	0	0	0	5	0	0	0
134	Gee	Mark	GBR	10		69.4	0.0	0	0	0	0	0	0	0	0	0	10	0	0	0
135	Panyik	Janos	HUN	11		78.4	0.0	0	0	0	0	0	0	0	0	0	10	0	1	0
136	Kobela	Libor	SVK	5		87.6	0.0	0	0	0	0	0	0	0	0	0	5	0	0	0
137	Oliver	Richard	USA	1		76.0	0.0	0	0	0	0	0	0	0	0	0	1	0	0	0
138	Stoian	Gheorghe	ROM	8		79.1	0.0	0	0	0	0	0	0	0	0	0	8	0	0	0
139	Ader	Margus	EST	3		71.3	0.0	0	0	0	0	0	0	0	0	0	3	0	0	0
140	Mossing-Holsteijn	Sander	NED	3		95.7	0.0	0	0	0	0	0	0	0	0	0	3	0	0	0
141	Tagscherer	Zoltan	HUN	7		88.6	0.0	0	0	0	0	0	0	0	0	0	7	0	0	0
142	Tagscherer	Imre	HUN	5		79.8	0.0	0	0	0	0	0	0	0	0	0	5	0	0	0
143	Golec	Bartlomiej	POL	2		69.0	0.0	0	0	0	0	0	0	0	0	0	1	0	1	0
144	Mostsipan	Ruslan	UKR	1		70.0	0.0	0	0	0	0	0	0	0	0	0	1	0	0	0
