No	Family Name	Given Name	Nation	Races	"World CupRank"	"Rank(avg)"	"Points(avg)"	Wins	2nd	3rd	Podiums	Top5s	Top10s	Top20s	Top30s	Top40s	>40	LAP	DNF	DSQ
1	Kirchner	Mark	GER	14	2	9.1	15.9	4	0	2	6	7	10	13	13	13	1	0	0	0
2	Tchepikov	Sergei	URS	12	1	8.9	16.5	3	1	0	4	8	8	11	11	12	0	0	0	0
3	Luck	Frank	GER	10	4	9.3	16.0	1	3	0	4	5	7	9	9	10	0	0	0	0
4	Carrara	Pieralberto	ITA	13	5	21.0	10.6	1	1	1	3	4	5	8	9	11	2	0	0	0
5	Tarasov	Sergei Sen.	URS	10	10	10.6	11.4	1	1	0	2	3	6	7	9	9	0	0	0	1
6	Popov	Alexandr	URS	8		15.4	10.6	1	1	0	2	2	4	5	6	8	0	0	0	0
7	Kvalfoss	Eirik	NOR	9	12	9.6	10.8	1	0	3	4	4	6	7	9	9	0	0	0	0
8	Einang	Geir	NOR	11	17	16.6	9.2	1	0	0	1	2	5	8	9	10	1	0	0	0
9	Flandin	Herve	FRA	12		24.3	6.4	1	0	0	1	1	2	6	9	10	2	0	0	0
10	Zingerle	Andreas	ITA	14	3	8.5	15.1	0	2	2	4	6	11	13	14	14	0	0	0	0
11	Gross	Ricco	GER	13	7	18.0	9.1	0	1	0	1	2	4	7	10	13	0	0	0	0
12	Bailly-Salins	Patrice	FRA	11	14	17.4	10.1	0	1	0	1	2	4	6	10	10	1	0	0	0
13	Schuler	Franz	AUT	13	9	20.2	7.8	0	1	0	1	1	4	7	10	12	1	0	0	0
14	Leitgeb	Hubert	ITA	11	11	19.1	9.7	0	1	0	1	1	3	6	9	10	1	0	0	0
15	Zhdanovitch	Anatoli	URS	6		18.8	11.3	0	1	0	1	1	2	4	5	5	1	0	0	0
16	Loeberg	Frode	NOR	9	13	21.0	12.0	0	0	2	2	2	4	6	7	7	1	0	1	0
17	Roetsch	Frank Peter	GER	9		22.2	7.0	0	0	1	1	2	3	5	6	8	1	0	0	0
18	Thompson	Josh	USA	9		23.0	8.9	0	0	1	1	1	5	6	7	7	2	0	0	0
19	Dumont	Christian	FRA	11		25.3	8.7	0	0	1	1	1	3	6	7	9	2	0	0	0
20	Bouthiaux	Stephane	FRA	10		25.4	6.2	0	0	1	1	1	2	3	8	9	1	0	0	0
21	Fenne	Gisle	NOR	10	6	9.3	14.3	0	0	0	0	4	5	10	10	10	0	0	0	0
22	Fischer	Fritz	GER	10	15	12.4	9.4	0	0	0	0	2	4	9	10	10	0	0	0	0
23	Medvedtsev	Valeriy	URS	7		14.1	10.1	0	0	0	0	2	4	5	6	7	0	0	0	0
24	Kashkarov	Juri	URS	7		25.3	7.0	0	0	0	0	2	2	4	5	6	1	0	0	0
25	Tyldum	Jon Age	NOR	10	16	17.4	9.9	0	0	0	0	1	3	7	8	10	0	0	0	0
26	Sehmisch	Andre	GER	13		18.3	7.2	0	0	0	0	1	2	7	13	13	0	0	0	0
27	Loefgren	Mikael	SWE	10		24.1	4.8	0	0	0	0	1	2	5	6	9	1	0	0	0
28	Garabik	Petr	TCH	4		22.5	7.5	0	0	0	0	1	1	2	3	4	0	0	0	0
29	Pallhuber	Wilfried	ITA	14	8	21.2	8.5	0	0	0	0	0	5	7	11	12	2	0	0	0
30	Passler	Johann	ITA	11		22.7	6.7	0	0	0	0	0	3	5	8	8	2	0	1	0
31	Grajf	Aleksander	YUG	12		25.1	3.4	0	0	0	0	0	2	5	7	10	2	0	0	0
32	Istad	Sverre	NOR	9		25.4	5.1	0	0	0	0	0	2	5	5	7	2	0	0	0
33	Kirienko	Valeri	URS	4		16.0	8.8	0	0	0	0	0	2	3	3	4	0	0	0	0
34	Heymann	Andreas	GER	9		26.7	7.3	0	0	0	0	0	1	5	6	7	2	0	0	0
35	Eder	Alfred	AUT	13		32.7	2.4	0	0	0	0	0	1	4	6	9	4	0	0	0
36	Demetz	Simon	ITA	7		37.9	4.3	0	0	0	0	0	1	2	3	3	4	0	0	0
37	Glimsdal	Sylfest	NOR	4		23.0	8.0	0	0	0	0	0	1	2	2	4	0	0	0	0
38	Tengg	Helmut	GER	9		31.6	3.4	0	0	0	0	0	1	1	6	7	2	0	0	0
39	Marguet	Gilles	FRA	10		26.9	4.2	0	0	0	0	0	0	5	7	9	1	0	0	0
40	Eloranta	Harri	FIN	8		29.5	2.9	0	0	0	0	0	0	4	4	7	1	0	0	0
41	Douglas	Duncan	USA	9		34.3	3.8	0	0	0	0	0	0	3	5	5	4	0	0	0
42	Blond	Xavier	FRA	8		32.5	3.6	0	0	0	0	0	0	3	4	6	2	0	0	0
43	Taschler	Gottlieb	ITA	10		30.8	2.4	0	0	0	0	0	0	2	6	7	3	0	0	0
44	Dixon	Michael	GBR	13		40.6	2.2	0	0	0	0	0	0	2	4	4	9	0	0	0
45	Noskov	Valeri	URS	6		25.4	2.7	0	0	0	0	0	0	1	4	5	0	0	0	1
46	Kodate	Misao	JPN	7		42.4	1.9	0	0	0	0	0	0	1	4	5	2	0	0	0
47	Rypl	Martin	TCH	8		33.9	1.0	0	0	0	0	0	0	1	3	6	2	0	0	0
48	Laehde	Antero	FIN	6		31.0	0.2	0	0	0	0	0	0	1	3	5	1	0	0	0
49	Trinker	Armin	AUT	12		44.7	1.4	0	0	0	0	0	0	1	3	5	7	0	0	0
50	Gerbier	Thierry	FRA	5		29.4	3.4	0	0	0	0	0	0	1	3	3	2	0	0	0
51	Laurent	Lionel	FRA	8		40.0	1.3	0	0	0	0	0	0	1	2	4	4	0	0	0
52	Sosna	Krzysztof	POL	9		42.2	1.2	0	0	0	0	0	0	1	2	4	5	0	0	0
53	Sjoeden	Peter	SWE	7		41.7	1.4	0	0	0	0	0	0	1	2	4	3	0	0	0
54	Paquet	Jean	CAN	8		45.0	0.9	0	0	0	0	0	0	1	2	4	4	0	0	0
55	Vidinov	Krasimir	BUL	9		48.6	1.6	0	0	0	0	0	0	1	2	4	4	0	1	0
56	Dusserre	Thierry	FRA	6		40.2	1.2	0	0	0	0	0	0	1	1	3	3	0	0	0
57	Hietalahti	Vesa	FIN	6		48.0	1.7	0	0	0	0	0	0	1	1	2	4	0	0	0
58	Kotraba	Pavel	TCH	4		48.3	3.0	0	0	0	0	0	0	1	1	1	3	0	0	0
59	Grujic	Mladen	YUG	8		60.0	0.9	0	0	0	0	0	0	1	1	1	7	0	0	0
60	Mäkinen	Jari	FIN	4		43.5	3.5	0	0	0	0	0	0	1	1	1	3	0	0	0
61	Vodenitscharov	Christof	BUL	3		53.3	2.0	0	0	0	0	0	0	1	1	1	2	0	0	0
62	Sidorenko	Viktor	URS	2		35.5	3.5	0	0	0	0	0	0	1	1	1	1	0	0	0
63	Leitner	Egon	AUT	7		47.9	1.4	0	0	0	0	0	0	1	1	1	6	0	0	0
64	Hoos	Steffen	FRG	2		31.0	3.0	0	0	0	0	0	0	1	1	1	1	0	0	0
