No	Family Name	Given Name	Nation	Races	"World CupRank"	"Rank(avg)"	"Points(avg)"	Wins	2nd	3rd	Podiums	Top5s	Top10s	Top20s	Top30s	Top40s	>40	LAP	DNF	DSQ
1	Paramyguina	Svetlana	BLR	14	1	5.9	19.1	4	3	0	7	11	12	13	13	14	0	0	0	0
2	Santer	Nathalie	ITA	14	2	6.1	19.5	2	1	4	7	8	12	13	14	14	0	0	0	0
3	Briand	Anne	FRA	14	3	10.9	14.5	2	1	1	4	6	7	11	14	14	0	0	0	0
4	Bedard	Myriam	CAN	11	7	10.0	12.2	2	1	0	3	5	7	9	10	11	0	0	0	0
5	Disl	Uschi	GER	14	4	10.9	13.9	1	0	3	4	5	9	12	13	14	0	0	0	0
6	Talanova	Nadejda	RUS	14	5	22.9	9.9	1	0	1	2	3	6	9	10	10	4	0	0	0
7	Kristiansen	Elin	NOR	8	13	14.9	10.4	1	0	0	1	2	3	5	7	8	0	0	0	0
8	Claret	Emmanuelle	FRA	13	11	24.2	9.0	1	0	0	1	1	4	7	8	9	4	0	0	0
9	Claudel	Veronique	FRA	14	8	16.1	10.5	0	2	0	2	3	5	10	13	13	1	0	0	0
10	Harvey	Antje	GER	10	12	13.1	11.7	0	1	0	1	4	6	7	10	10	0	0	0	0
11	Mikkelsplass	Hildegunn	NOR	13	9	19.1	9.3	0	1	0	1	2	4	8	10	12	1	0	0	0
12	Bilova	Nadija	UKR	9	16	19.7	8.2	0	1	0	1	1	2	6	7	8	1	0	0	0
13	Beliakova	Ljubov	RUS	8	14	22.6	9.6	0	1	0	1	1	2	5	6	6	2	0	0	0
14	Linn Elvebakk	Anne	NOR	10	22	27.7	6.3	0	1	0	1	1	1	4	6	7	3	0	0	0
15	Snitina	Natalia	RUS	9	21	23.7	7.0	0	1	0	1	1	1	3	7	8	1	0	0	0
16	Greiner-Petter-M.	Simone	GER	14	6	17.7	11.9	0	0	1	1	2	7	10	12	13	1	0	0	0
17	Niogret	Corinne	FRA	12	15	22.5	6.3	0	0	1	1	2	3	6	9	10	2	0	0	0
18	Simushina	Olga	RUS	4	26	13.0	14.5	0	0	1	1	2	2	3	3	4	0	0	0	0
19	Tserbe Nessina	Valentina	UKR	5	73	32.0	0.8	0	0	1	1	1	1	1	2	3	2	0	0	0
20	Andreassen	Gunn Margit	NOR	7	44	47.9	3.4	0	0	1	1	1	1	1	1	1	6	0	0	0
21	Behle	Petra	GER	11	10	16.1	10.8	0	0	0	0	2	6	9	10	10	1	0	0	0
22	Miller Smith	Joan	USA	10	23	26.8	6.3	0	0	0	0	2	3	4	8	8	2	0	0	0
23	Pelcova	Jirina	CZE	10	24	32.8	6.1	0	0	0	0	1	3	3	4	7	3	0	0	0
