No	Family Name	Given Name	Nation	Races	"World CupRank"	"Rank(avg)"	"Points(avg)"	Wins	2nd	3rd	Podiums	Top5s	Top10s	Top20s	Top30s	Top40s	>40	LAP	DNF	DSQ
1	Berger	Tora	NOR	24	4	8.7	38.6	6	2	1	9	13	19	21	23	23	1	0	0	0
2	Neuner	Magdalena	GER	21	5	4.6	43.4	5	3	2	10	13	20	21	21	21	0	0	0	0
3	Ekholm	Helena	SWE	26	3	8.9	37.7	4	0	4	8	11	19	23	25	26	0	0	0	0
4	Makarainen	Kaisa	FIN	26	1	7.2	38.8	3	3	3	9	14	21	23	25	25	0	0	0	1
5	Henkel	Andrea	GER	26	2	9.6	37.8	2	5	2	9	13	17	23	25	25	1	0	0	0
6	Kuzmina	Anastasiya	SVK	21	9	14.1	34.0	2	2	1	5	7	14	17	18	19	2	0	0	0
7	Domracheva	Darya	BLR	26	6	13.7	33.6	1	3	6	10	12	14	21	22	24	2	0	0	0
8	Zaitseva	Olga	RUS	20	11	12.8	32.6	1	0	3	4	9	12	17	17	19	1	0	0	0
9	Zidek	Anna Carin	SWE	26	8	15.2	27.6	1	0	0	1	4	10	18	24	25	1	0	0	0
10	Flatland	Ann Kristin Aafedt	NOR	24	15	20.9	22.6	1	0	0	1	3	6	15	20	22	2	0	0	0
11	Goessner	Miriam	GER	25	13	19.2	24.2	0	3	0	3	3	7	16	20	23	2	0	0	0
12	Brunet	Marie Laure	FRA	21	12	12.9	27.1	0	2	1	3	6	8	16	19	19	1	0	1	0
13	Dorin Habert	Marie	FRA	26	7	14.3	28.5	0	1	1	2	4	11	21	24	26	0	0	0	0
14	Bachmann	Tina	GER	24	18	20.1	21.8	0	1	0	1	2	4	13	20	23	1	0	0	0
15	Bogaliy-Titovets	Anna	RUS	20	20	21.4	21.9	0	1	0	1	1	7	12	16	17	3	0	0	0
16	Semerenko	Valentina	UKR	26	10	15.0	26.8	0	0	1	1	5	8	20	23	24	1	0	1	0
17	Sleptsova	Svetlana	RUS	21	17	17.4	24.0	0	0	1	1	2	10	15	18	18	3	0	0	0
18	Semerenko	Vita	UKR	21	14	14.5	27.5	0	0	1	1	2	8	16	21	21	0	0	0	0
19	Yurlova-Percht	Ekaterina	RUS	21	16	15.1	26.5	0	0	0	0	1	8	15	20	21	0	0	0	0
20	Ponza	Michela	ITA	23	22	26.4	17.4	0	0	0	0	1	3	8	18	21	2	0	0	0
21	Gasparin	Selina	SUI	23	28	28.4	13.7	0	0	0	0	1	3	8	11	16	6	1	0	0
22	Skardino	Nadezhda	BLR	24	23	27.0	15.7	0	0	0	0	1	2	10	17	19	5	0	0	0
23	Romanova	Yana	RUS	19	26	23.2	18.5	0	0	0	0	1	2	9	15	17	2	0	0	0
24	Bescond	Anais	FRA	22	24	26.3	16.4	0	0	0	0	1	1	8	16	20	2	0	0	0
25	Lang	Kathrin	GER	23	19	19.1	22.6	0	0	0	0	0	5	15	21	22	1	0	0	0
26	Sorokina	Natalia	RUS	16	30	27.4	16.8	0	0	0	0	0	3	7	10	12	4	0	0	0
27	Saue	Eveli	EST	24	27	26.7	14.0	0	0	0	0	0	2	8	14	20	3	1	0	0
28	Lebedeva	Marina	KAZ	14	38	35.8	11.6	0	0	0	0	0	2	4	5	10	4	0	0	0
29	Boilley	Sophie	FRA	16	39	36.1	9.6	0	0	0	0	0	2	3	6	9	7	0	0	0
30	Cyl	Agnieszka	POL	21	21	21.0	19.4	0	0	0	0	0	1	12	17	20	1	0	0	0
31	Bilosiuk	Olena	UKR	20	25	22.4	17.8	0	0	0	0	0	1	9	16	18	1	0	1	0
32	Buchholz	Sabrina	GER	20	29	28.0	13.8	0	0	0	0	0	1	5	12	17	3	0	0	0
33	Kalinchik	Liudmila	BLR	22	37	37.0	7.7	0	0	0	0	0	1	4	8	12	9	1	0	0
34	Suprun	Inna	UKR	20	36	34.4	8.6	0	0	0	0	0	1	4	7	11	8	0	1	0
35	Glazyrina	Ekaterina	RUS	7	43	21.6	19.6	0	0	0	0	0	1	4	5	7	0	0	0	0
36	Mali	Andreja	SLO	22	31	33.0	11.8	0	0	0	0	0	1	3	11	17	5	0	0	0
37	Daubnerova	Jana	SVK	17	40	38.0	8.5	0	0	0	0	0	1	3	6	10	7	0	0	0
38	Sedova	Evgeniya	RUS	3	53	11.3	29.7	0	0	0	0	0	1	3	3	3	0	0	0	0
39	Vitkova	Veronika	CZE	19	41	36.9	7.5	0	0	0	0	0	1	2	5	12	6	1	0	0
40	Wierer	Dorothea	ITA	9	52	38.7	9.0	0	0	0	0	0	1	2	4	5	4	0	0	0
41	Birkeland	Fanny Horn	NOR	22	46	39.1	6.0	0	0	0	0	0	1	1	7	13	9	0	0	0
42	Tofalvi	Eva	ROU	19	34	32.1	11.3	0	0	0	0	0	0	6	12	14	5	0	0	0
43	Studebaker	Sara	USA	22	33	36.3	10.8	0	0	0	0	0	0	5	11	14	8	0	0	0
44	Khvostenko	Oksana	UKR	9	42	26.2	13.4	0	0	0	0	0	0	4	7	7	2	0	0	0
45	Solemdal	Synnoeve	NOR	18	45	40.4	7.4	0	0	0	0	0	0	4	6	8	9	1	0	0
46	Uusitalo	Anna Maria	SWE	22	32	29.7	11.1	0	0	0	0	0	0	3	13	19	3	0	0	0
47	Haller	Katja	ITA	18	35	34.1	10.4	0	0	0	0	0	0	3	9	12	4	1	1	0
48	Otchenash	Natalya	UKR	10	44	29.7	12.4	0	0	0	0	0	0	3	6	8	2	0	0	0
49	Denisova	Uliana	RUS	5	48	19.4	21.6	0	0	0	0	0	0	3	5	5	0	0	0	0
50	Macabies	Pauline	FRA	16	47	39.8	6.5	0	0	0	0	0	0	2	5	9	7	0	0	0
51	Jonsson	Jenny	SWE	14	49	36.5	7.3	0	0	0	0	0	0	2	3	8	6	0	0	0
52	Spector	Laura	USA	20	51	48.4	4.8	0	0	0	0	0	0	1	5	7	13	0	0	0
53	Brankovic-Likozar	Tadeja	SLO	15	54	45.5	5.0	0	0	0	0	0	0	1	5	6	9	0	0	0
54	Liduma	Madara	LAT	15	50	40.3	6.1	0	0	0	0	0	0	1	4	8	7	0	0	0
55	Oberhofer	Karin	ITA	14	55	46.1	4.2	0	0	0	0	0	0	1	3	5	9	0	0	0
56	Doell	Juliane	GER	8	60	41.5	6.9	0	0	0	0	0	0	1	3	3	5	0	0	0
57	Vilukhina	Olga	RUS	4	67	37.5	9.8	0	0	0	0	0	0	1	2	2	2	0	0	0
58	Bobak	Paulina	POL	13	62	54.5	3.5	0	0	0	0	0	0	1	2	2	11	0	0	0
