No	Family Name	Given Name	Nation	Races	"World CupRank"	"Rank(avg)"	"Points(avg)"	Wins	2nd	3rd	Podiums	Top5s	Top10s	Top20s	Top30s	Top40s	>40	LAP	DNF	DSQ
1	Bjoerndalen	Ole Einar	NOR	22	1	5.3	37.8	7	5	2	14	16	19	21	22	22	0	0	0	0
2	Svendsen	Emil Hegle	NOR	20	3	7.7	34.4	6	1	4	11	11	13	18	20	20	0	0	0	0
3	Greis	Michael	GER	23	4	12.4	25.9	4	0	2	6	8	14	17	19	22	0	0	1	0
4	Sikora	Tomasz	POL	23	12	17.0	17.7	2	1	0	3	3	6	16	21	21	2	0	0	0
5	Tcherezov	Ivan	RUS	24	5	13.4	22.9	2	0	0	2	6	11	21	21	23	1	0	0	0
6	Tchoudov	Maxim	RUS	19	7	14.8	27.1	1	3	2	6	9	13	14	15	16	3	0	0	0
7	Yaroshenko	Dmitri	RUS	25	2	15.3	27.8	1	3	1	5	8	17	22	23	23	2	0	0	0
8	Ferry	Bjoern	SWE	23	6	14.7	23.7	1	1	0	2	6	12	18	21	21	2	0	0	0
9	Slesingr	Michal	CZE	23	19	21.4	14.1	1	0	1	2	3	7	11	16	20	2	0	1	0
10	Defrasne	Vincent	FRA	21	15	17.2	17.3	1	0	0	1	2	7	15	18	20	1	0	0	0
11	Hanevold	Halvard	NOR	24	8	17.0	19.7	0	4	1	5	8	10	16	19	23	1	0	0	0
12	Kruglov	Nikolay	RUS	20	9	12.7	23.5	0	4	0	4	6	11	15	20	20	0	0	0	0
13	Pinter	Friedrich	AUT	21	16	19.7	17.4	0	1	2	3	5	8	11	17	19	2	0	0	0
14	Wolf	Alexander	GER	25	14	21.4	16.3	0	1	2	3	3	9	15	19	21	4	0	0	0
15	Graf	Daniel	GER	24	13	21.0	18.5	0	1	1	2	5	9	16	18	21	3	0	0	0
16	Roesch	Michael	GER	26	11	17.8	18.3	0	1	0	1	4	8	18	21	24	2	0	0	0
17	Makoveev	Andrei	RUS	19	20	22.3	16.2	0	0	3	3	4	4	12	13	13	5	0	1	0
18	Os	Alexander	NOR	21	24	25.6	12.3	0	0	1	1	2	5	8	14	17	4	0	0	0
