No	Family Name	Given Name	Nation	Races	"World CupRank"	"Rank(avg)"	"Points(avg)"	Wins	2nd	3rd	Podiums	Top5s	Top10s	Top20s	Top30s	Top40s	>40	LAP	DNF	DSQ
1	Wilhelm	Kati	GER	26	1	5.3	38.7	6	9	0	15	18	22	26	26	26	0	0	0	0
2	Zidek	Anna Carin	SWE	23	2	6.6	35.6	6	2	1	9	12	19	22	23	23	0	0	0	0
3	Beck	Martina	GER	23	3	9.0	30.2	3	2	0	5	7	16	21	23	23	0	0	0	0
4	Bailly	Sandrine	FRA	22	4	9.6	29.3	2	4	0	6	10	16	17	22	22	0	0	0	0
5	Ishmouratova	Svetlana	RUS	19	6	9.4	28.4	2	1	1	4	7	12	17	19	19	0	0	0	0
6	Grubben	Linda	NOR	18	14	13.4	24.0	2	0	1	3	5	10	15	16	17	1	0	0	0
7	Zubrilova	Olena	BLR	26	9	16.7	19.0	1	1	1	3	4	7	19	25	25	1	0	0	0
8	Zaitseva	Olga	RUS	20	15	13.3	20.1	1	1	0	2	4	8	16	18	19	0	0	1	0
9	Disl	Uschi	GER	24	5	14.5	24.2	1	0	4	5	9	13	17	20	23	1	0	0	0
10	Baverel	Florence	FRA	23	10	16.1	19.8	1	0	2	3	6	7	15	20	22	1	0	0	0
11	Poiree	Liv Grete	NOR	18	12	12.0	25.4	1	0	0	1	5	9	16	17	18	0	0	0	0
12	Akhatova	Albina	RUS	13	17	9.5	29.6	0	1	5	6	8	10	11	12	13	0	0	0	0
13	Brankovic-Likozar	Tadeja	SLO	22	18	24.7	13.2	0	1	2	3	3	4	10	15	19	3	0	0	0
14	Henkel	Andrea	GER	23	7	14.7	23.1	0	1	1	2	3	11	19	21	22	1	0	0	0
15	Ponza	Michela	ITA	24	16	18.9	18.2	0	1	0	1	4	7	16	19	23	1	0	0	0
16	Medvedtseva	Olga	RUS	12	28	18.8	16.2	0	1	0	1	2	4	7	9	10	1	0	0	1
17	Bogaliy-Titovets	Anna	RUS	19	23	26.6	12.6	0	1	0	1	1	4	10	12	15	4	0	0	0
18	Apel	Katrin	GER	24	8	14.6	21.0	0	0	3	3	3	8	21	22	23	1	0	0	0
19	Vaygina-Efremova	Lilia	UKR	18	26	29.0	11.8	0	0	2	2	3	4	7	11	13	5	0	0	0
20	Vinogradova	Ekaterina	BLR	25	20	25.5	10.6	0	0	1	1	2	4	10	14	19	4	0	2	0
21	Nazarova	Olga	BLR	25	13	17.9	17.6	0	0	1	1	1	10	17	21	21	3	0	1	0
22	Sorokina	Natalia	RUS	22	21	26.5	12.0	0	0	1	1	1	5	8	15	18	4	0	0	0
23	Hauswald	Simone	GER	22	11	13.7	21.6	0	0	0	0	4	11	18	19	21	0	1	0	0
24	Hou	Yuxia	CHN	20	25	27.6	11.3	0	0	0	0	1	5	9	12	15	5	0	0	0
25	Becaert	Sylvie	FRA	22	29	24.2	9.5	0	0	0	0	1	2	8	17	21	1	0	0	0
26	Sokolova	Natalia	BLR	19	32	26.7	9.4	0	0	0	0	1	2	8	12	16	3	0	0	0
27	Neuner	Magdalena	GER	10	34	18.1	16.4	0	0	0	0	1	2	7	9	9	1	0	0	0
28	Gros	Christelle	FRA	21	30	26.3	8.9	0	0	0	0	1	2	5	16	17	4	0	0	0
29	Filipova	Pavlina	BUL	17	38	31.1	6.5	0	0	0	0	1	2	5	9	11	5	0	1	0
30	Kocher	Zina	CAN	23	36	34.1	5.5	0	0	0	0	1	1	3	13	16	5	0	2	0
31	Guzik	Krystyna	POL	18	43	40.2	3.3	0	0	0	0	1	1	1	8	11	7	0	0	0
32	Liu	Xianying	CHN	18	19	19.1	15.3	0	0	0	0	0	4	11	13	18	0	0	0	0
33	Dafovska	Ekaterina	BUL	14	27	19.5	12.8	0	0	0	0	0	4	9	11	13	1	0	0	0
34	Berger	Tora	NOR	20	22	22.4	12.0	0	0	0	0	0	3	12	15	18	2	0	0	0
35	Gregorin	Teja	SLO	23	24	23.0	11.0	0	0	0	0	0	2	13	18	21	2	0	0	0
36	Levchenkova	Natalia	MDA	25	33	28.3	7.1	0	0	0	0	0	2	5	16	19	4	0	2	0
37	Wuestenfeld	Katja	GER	19	31	23.6	10.1	0	0	0	0	0	1	10	13	18	1	0	0	0
38	Liduma	Madara	LAT	19	37	37.3	6.0	0	0	0	0	0	1	6	10	11	8	0	0	0
39	Gwizdon	Magdalena	POL	26	35	30.1	5.3	0	0	0	0	0	1	5	15	21	4	0	1	0
40	Anisimova	Olga	RUS	6	46	29.2	9.3	0	0	0	0	0	1	2	4	5	1	0	0	0
41	Pavkovcekova	Marcela	SVK	17	51	41.1	2.7	0	0	0	0	0	1	1	4	7	9	1	0	0
42	Mihokova	Sona	SVK	10	56	50.7	2.7	0	0	0	0	0	1	1	2	3	6	1	0	0
43	Vejnarova	Zdenka	CZE	20	55	44.5	1.6	0	0	0	0	0	1	1	1	5	15	0	0	0
44	Nikulchina	Irina	BUL	16	39	30.1	6.8	0	0	0	0	0	0	5	11	12	4	0	0	0
45	Ravnikar	Dijana	SLO	21	40	36.8	5.0	0	0	0	0	0	0	5	8	13	7	1	0	0
46	Khvostenko	Oksana	UKR	20	41	32.6	4.0	0	0	0	0	0	0	3	8	14	5	1	0	0
47	Ekholm	Helena	SWE	11	42	28.3	5.5	0	0	0	0	0	0	3	7	9	2	0	0	0
48	Andreassen	Gunn Margit	NOR	8	49	29.8	5.6	0	0	0	0	0	0	3	5	7	1	0	0	0
49	Peretto	Delphine	FRA	16	48	38.1	2.9	0	0	0	0	0	0	2	7	12	4	0	0	0
50	Sun	Ribo	CHN	14	44	32.9	4.1	0	0	0	0	0	0	2	6	10	4	0	0	0
51	Malgina	Irina	RUS	12	47	40.3	4.7	0	0	0	0	0	0	2	6	7	5	0	0	0
52	Halinarova	Martina	SVK	14	50	37.2	3.4	0	0	0	0	0	0	2	4	7	6	1	0	0
53	Tofalvi	Eva	ROU	13	57	54.7	2.5	0	0	0	0	0	0	2	4	5	8	0	0	0
54	Petrova	Olena	UKR	12	54	41.7	2.4	0	0	0	0	0	0	2	4	5	6	0	1	0
55	Kong	Yingchao	CHN	17	45	36.2	3.4	0	0	0	0	0	0	1	8	11	6	0	0	0
56	Dong	Xue	CHN	16	52	38.1	2.7	0	0	0	0	0	0	1	6	11	5	0	0	0
