No	Family Name	Given Name	Nation	Races	"World CupRank"	"Rank(avg)"	"Points(avg)"	Wins	2nd	3rd	Podiums	Top5s	Top10s	Top20s	Top30s	Top40s	>40	LAP	DNF	DSQ
1	Svendsen	Emil Hegle	NOR	24	2	5.0	46.0	8	3	0	11	16	21	24	24	24	0	0	0	0
2	Boe	Tarjei	NOR	26	1	7.5	42.7	5	2	5	12	20	22	24	24	24	2	0	0	0
3	Fourcade	Martin	FRA	26	3	10.5	38.1	3	6	3	12	15	19	21	22	24	1	0	1	0
4	Ferry	Bjoern	SWE	22	7	19.5	26.4	2	2	0	4	6	11	13	18	18	4	0	0	0
5	Peiffer	Arnd	GER	23	4	12.5	30.6	2	1	0	3	7	10	19	22	23	0	0	0	0
6	Bjoerndalen	Ole Einar	NOR	18	10	13.2	29.3	1	2	1	4	4	10	13	17	17	1	0	0	0
7	Berger	Lars	NOR	20	17	22.5	22.0	1	0	1	2	2	6	10	15	17	3	0	0	0
8	Boeuf	Alexis	FRA	24	18	28.3	17.6	1	0	1	2	2	5	10	16	17	6	0	1	0
9	Shipulin	Anton	RUS	18	19	19.4	23.2	1	0	1	2	2	5	10	15	16	1	0	1	0
10	Birnbacher	Andreas	GER	19	14	14.9	27.4	1	0	0	1	3	9	16	16	16	3	0	0	0
11	Mesotitsch	Daniel	AUT	18	27	27.6	18.7	1	0	0	1	2	4	8	11	14	4	0	0	0
12	Ustyugov	Evgeny	RUS	19	15	14.7	28.5	0	2	0	2	4	7	13	18	19	0	0	0	0
13	Tcherezov	Ivan	RUS	23	5	14.1	30.9	0	1	4	5	8	13	19	20	22	1	0	0	0
14	Greis	Michael	GER	22	6	11.2	30.7	0	1	2	3	4	13	20	20	22	0	0	0	0
15	Slesingr	Michal	CZE	26	9	20.8	22.8	0	1	1	2	3	6	16	20	23	3	0	0	0
16	Sednev	Serguei	UKR	23	16	25.1	19.7	0	1	1	2	2	7	10	18	19	4	0	0	0
17	Eder	Simon	AUT	23	11	17.7	25.3	0	1	0	1	2	7	17	20	22	1	0	0	0
18	Sikora	Tomasz	POL	14	29	20.6	21.0	0	1	0	1	2	3	9	11	12	2	0	0	0
19	Maksimov	Maxim	RUS	13	33	27.5	17.1	0	1	0	1	1	2	7	9	10	3	0	0	0
20	Weger	Benjamin	SUI	22	39	39.6	9.1	0	1	0	1	1	2	3	7	11	10	0	1	0
21	Bergman	Carl Johan	SWE	24	13	19.6	23.0	0	0	1	1	3	5	15	22	22	2	0	0	0
22	Fak	Jakov	SLO	15	24	19.1	22.1	0	0	1	1	3	5	9	13	14	1	0	0	0
23	Sumann	Christoph	AUT	22	8	16.4	27.0	0	0	1	1	2	8	16	21	21	1	0	0	0
24	Landertinger	Dominik	AUT	11	34	20.2	18.3	0	0	1	1	2	4	7	7	7	3	0	1	0
25	Hofer	Lukas	ITA	26	12	22.5	21.9	0	0	1	1	1	9	17	20	21	5	0	0	0
26	Wolf	Alexander	GER	18	43	34.5	10.8	0	0	1	1	1	1	3	7	13	5	0	0	0
27	Makoveev	Andrei	RUS	18	21	22.8	20.3	0	0	0	0	2	6	11	13	14	4	0	0	0
28	Lindstroem	Fredrik	SWE	22	23	28.0	17.4	0	0	0	0	2	4	9	14	16	6	0	0	0
29	Jay	Vincent	FRA	23	20	28.3	17.3	0	0	0	0	1	3	11	16	17	6	0	0	0
30	Tchoudov	Maxim	RUS	20	25	24.4	17.6	0	0	0	0	1	3	10	15	17	3	0	0	0
31	Os	Alexander	NOR	22	28	28.7	15.2	0	0	0	0	1	3	9	12	17	5	0	0	0
32	Fourcade	Simon	FRA	17	30	27.1	15.4	0	0	0	0	1	3	9	10	13	4	0	0	0
33	De Lorenzi	Christian	ITA	24	22	30.1	16.0	0	0	0	0	1	1	6	17	19	5	0	0	0
34	Semenov	Sergii	UKR	16	35	29.1	14.8	0	0	0	0	1	1	5	11	14	2	0	0	0
35	Boehm	Daniel	GER	13	40	28.1	15.4	0	0	0	0	1	1	5	7	10	3	0	0	0
36	Berezhnoy	Oleg	UKR	5	64	41.4	13.2	0	0	0	0	1	1	2	2	2	3	0	0	0
37	Stephan	Christoph	GER	24	26	25.7	15.0	0	0	0	0	0	4	7	15	19	2	0	2	1
38	Deryzemlya	Andriy	UKR	16	37	32.5	12.5	0	0	0	0	0	3	6	8	10	5	0	1	0
39	Bauer	Klemen	SLO	22	32	31.0	13.1	0	0	0	0	0	2	6	12	18	4	0	0	0
40	Windisch	Markus	ITA	21	31	34.7	13.8	0	0	0	0	0	1	8	11	16	5	0	0	0
41	Bailey	Lowell	USA	22	41	39.3	9.0	0	0	0	0	0	1	4	8	12	10	0	0	0
42	Hallenbarter	Simon	SUI	20	46	40.0	8.6	0	0	0	0	0	1	4	7	10	10	0	0	0
43	Eberhard	Julian	AUT	7	47	20.7	20.3	0	0	0	0	0	1	4	6	7	0	0	0	0
44	Soukup	Jaroslav	CZE	20	44	41.4	9.6	0	0	0	0	0	1	3	10	13	7	0	0	0
45	Graf	Florian	GER	4	58	30.0	21.8	0	0	0	0	0	1	3	3	3	1	0	0	0
46	Habert	Lois	FRA	21	42	35.9	9.4	0	0	0	0	0	1	2	10	13	8	0	0	0
47	Piksons	Edgars	LAT	13	60	43.5	6.5	0	0	0	0	0	1	2	3	5	8	0	0	0
48	L'Abee-Lund	Henrik	NOR	6	65	33.5	11.0	0	0	0	0	0	1	2	3	3	3	0	0	0
49	Holubec	Tomas	CZE	12	66	44.6	5.5	0	0	0	0	0	1	2	2	4	8	0	0	0
50	Maric	Janez	SLO	17	59	42.4	5.1	0	0	0	0	0	1	1	3	7	10	0	0	0
51	Matiasko	Miroslav	SVK	10	73	65.8	4.3	0	0	0	0	0	1	1	1	2	8	0	0	0
52	Eberhard	Tobias	AUT	18	36	29.6	11.3	0	0	0	0	0	0	6	9	12	5	0	1	0
53	Le Guellec	Jean-Philippe	CAN	17	50	43.9	7.2	0	0	0	0	0	0	4	5	8	9	0	0	0
54	Brattsveen	Rune	NOR	10	49	30.5	11.5	0	0	0	0	0	0	4	5	7	3	0	0	0
55	Anev	Krasimir	BUL	15	38	28.4	12.9	0	0	0	0	0	0	3	11	12	3	0	0	0
56	Burke	Tim	USA	19	45	34.3	9.5	0	0	0	0	0	0	2	7	14	5	0	0	0
57	Hurajt	Pavol	SVK	17	48	45.4	7.8	0	0	0	0	0	0	2	7	7	10	0	0	0
58	Beatrix	Jean Guillaume	FRA	11	54	42.7	9.7	0	0	0	0	0	0	2	6	7	4	0	0	0
59	Moravec	Ondrej	CZE	13	51	47.7	9.0	0	0	0	0	0	0	2	6	7	6	0	0	0
60	Abramenko	Evgeny	BLR	14	52	42.6	8.1	0	0	0	0	0	0	2	5	9	5	0	0	0
61	Nilsson	Mattias	SWE	9	69	49.9	5.6	0	0	0	0	0	0	2	2	2	7	0	0	0
62	Bricis	Ilmars	LAT	14	55	43.1	7.1	0	0	0	0	0	0	1	6	7	7	0	0	0
63	Green	Brendan	CAN	18	53	45.1	6.2	0	0	0	0	0	0	1	5	10	8	0	0	0
64	Simmen	Matthias	SUI	20	57	42.8	4.5	0	0	0	0	0	0	1	4	9	11	0	0	0
65	Volkov	Alexey	RUS	8	56	31.4	12.0	0	0	0	0	0	0	1	4	7	1	0	0	0
66	Kletcherov	Michail	BUL	18	62	42.6	4.4	0	0	0	0	0	0	1	3	8	10	0	0	0
67	Nordgren	Leif	USA	18	63	52.0	3.8	0	0	0	0	0	0	1	3	6	12	0	0	0
68	Vitek	Zdenek	CZE	11	70	50.7	4.3	0	0	0	0	0	0	1	2	5	6	0	0	0
69	Rastorgujevs	Andrejs	LAT	11	71	51.8	3.8	0	0	0	0	0	0	1	2	4	7	0	0	0
70	Pryma	Artem	UKR	6	74	37.2	7.0	0	0	0	0	0	0	1	2	2	4	0	0	0
71	Garanichev	Evgeniy	RUS	2	72	18.5	22.5	0	0	0	0	0	0	1	2	2	0	0	0	0
72	Bilanenko	Olexander	UKR	11	61	38.2	7.5	0	0	0	0	0	0	0	5	7	4	0	0	0
73	Lessing	Roland	EST	11	67	43.8	5.5	0	0	0	0	0	0	0	3	5	6	0	0	0
74	Hakkinen	Jay	USA	9	75	50.6	4.4	0	0	0	0	0	0	0	2	4	5	0	0	0
75	Kauppinen	Jarkko	FIN	15	88	58.4	1.7	0	0	0	0	0	0	0	2	3	12	0	0	0
76	Churine	Alexey	RUS	6	79	43.3	5.5	0	0	0	0	0	0	0	2	3	3	0	0	0
77	Schempp	Simon	GER	5	87	45.0	5.2	0	0	0	0	0	0	0	2	2	3	0	0	0
78	Lang	Toni	GER	4	85	46.0	6.8	0	0	0	0	0	0	0	2	2	2	0	0	0
79	Perras	Scott	CAN	14	68	49.4	3.9	0	0	0	0	0	0	0	1	6	8	0	0	0
