No	Family Name	Given Name	Nation	Races	"World Cup
Rank"	"Rank
(avg)"	"Points
(avg)"	Wins	2nd	3rd	Podiums	Top5s	Top10s	Top20s	Top30s	Top40s	>40	LAP	DNF	DSQ
1	Andresen	Frode	NOR	22	6	12.1	15.7	6	1	3	10	11	12	16	19	20	1	0	0	1
2	Bjoerndalen	Ole Einar	NOR	22	2	7.0	20.4	5	2	3	10	14	17	20	20	20	1	0	0	1
3	Poiree	Raphael	FRA	25	1	7.4	19.6	3	2	5	10	17	19	23	25	25	0	0	0	0
4	Fischer	Sven	GER	25	3	8.7	18.5	2	1	5	8	12	17	24	24	25	0	0	0	0
5	Gross	Ricco	GER	23	8	13.5	13.7	2	0	1	3	4	13	17	22	23	0	0	0	0
6	Hanevold	Halvard	NOR	25	11	17.2	11.5	2	0	0	2	5	10	17	20	24	1	0	0	0
7	Sashurin	Vadim	BLR	24	7	12.9	13.5	1	3	0	4	8	10	20	23	24	0	0	0	0
8	Luck	Frank	GER	25	5	12.1	15.2	1	2	4	7	10	13	20	23	25	0	0	0	0
9	Rottmann	Wolfgang	AUT	25	10	14.6	12.2	1	1	0	2	4	9	19	23	25	0	0	0	0
10	Cattarinussi	Rene	ITA	22	15	22.5	9.0	1	0	1	2	3	7	12	14	16	3	0	2	1
11	Drachev	Vladimir	RUS	25	12	18.4	11.0	1	0	0	1	2	10	17	22	23	2	0	0	0
12	Rostovtsev	Pavel	RUS	25	4	11.5	15.4	0	6	0	6	10	13	20	24	25	0	0	0	0
13	Sendel	Peter	GER	24	9	17.5	12.7	0	3	0	3	6	12	17	18	19	4	0	1	0
14	Gredler	Ludwig	AUT	22	14	19.7	9.9	0	1	0	1	2	7	15	18	19	3	0	0	0
15	Heymann	Carsten	GER	18	22	23.1	7.7	0	1	0	1	1	5	10	11	14	4	0	0	0
16	Lysenko	Ruslan	UKR	18	35	35.3	3.6	0	1	0	1	1	2	5	7	12	6	0	0	0
17	Da Canal	Devis	ITA	18	32	28.0	4.7	0	1	0	1	1	2	4	10	14	3	1	0	0
18	Derkach	Vyacheslav	UKR	19	29	33.3	4.6	0	0	1	1	1	3	6	12	13	6	0	0	0
19	Rozhkov	Sergei	RUS	20	30	30.6	4.4	0	0	1	1	1	2	5	10	14	6	0	0	0
20	Vitek	Zdenek	CZE	19	34	29.7	3.9	0	0	1	1	1	1	5	10	14	5	0	0	0
21	Maluhins	Olegs	LAT	20	17	23.9	8.8	0	0	0	0	2	8	10	13	14	6	0	0	0
22	Nakums	Jekabs	LAT	20	26	26.3	5.9	0	0	0	0	2	3	8	12	16	3	0	1	0
23	Morgenstern	Marco	GER	15	16	16.7	12.6	0	0	0	0	1	6	13	13	14	1	0	0	0
24	Hietalahti	Vesa	FIN	24	13	18.3	10.4	0	0	0	0	1	3	18	22	22	2	0	0	0
25	Aidarov	Alexei	BLR	20	23	24.5	6.8	0	0	0	0	1	3	10	16	17	3	0	0	0
26	Ryzhenkov	Oleg	BLR	19	28	31.0	5.7	0	0	0	0	1	3	8	12	13	6	0	0	0
27	Bjoerndalen	Dag	NOR	14	31	25.4	6.4	0	0	0	0	1	2	7	12	12	2	0	0	0
28	Favre	Patrick	ITA	16	33	33.9	4.9	0	0	0	0	1	2	5	7	10	6	0	0	0
29	Wolf	Alexander	GER	18	37	36.7	3.3	0	0	0	0	1	2	4	7	9	9	0	0	0
30	Ziemianin	Wieslaw	POL	17	45	45.1	1.8	0	0	0	0	1	1	1	5	6	11	0	0	0
31	Maigourov	Viktor	RUS	23	18	20.8	8.0	0	0	0	0	0	5	14	18	21	2	0	0	0
32	Puurunen	Paavo	FIN	22	19	22.6	7.5	0	0	0	0	0	5	13	16	19	3	0	0	0
33	Bricis	Ilmars	LAT	22	20	21.0	7.1	0	0	0	0	0	5	12	16	20	1	0	1	0
34	Perner	Wolfgang	AUT	25	21	25.0	6.2	0	0	0	0	0	3	12	17	21	4	0	0	0
35	Garabik	Petr	CZE	18	25	21.6	6.6	0	0	0	0	0	2	9	15	17	1	0	0	0
36	Hakkinen	Jay	USA	18	36	33.3	3.5	0	0	0	0	0	2	4	7	13	5	0	0	0
