"Country or Area","Year","Area","Month","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Japan","2016","Total","February","Data tabulated by year of occurrence","Final figure, complete","2018","76765","1"
"Japan","2016","Total","March","Data tabulated by year of occurrence","Final figure, complete","2018","81208","1"
"Japan","2016","Total","April","Data tabulated by year of occurrence","Final figure, complete","2018","79753","1"
"Japan","2016","Total","May","Data tabulated by year of occurrence","Final figure, complete","2018","80905","1"
"Japan","2016","Total","June","Data tabulated by year of occurrence","Final figure, complete","2018","80546","1"
"Japan","2016","Total","July","Data tabulated by year of occurrence","Final figure, complete","2018","85027","1"
"Japan","2016","Total","August","Data tabulated by year of occurrence","Final figure, complete","2018","84977","1"
"Japan","2016","Total","September","Data tabulated by year of occurrence","Final figure, complete","2018","84863","1"
"Japan","2016","Total","October","Data tabulated by year of occurrence","Final figure, complete","2018","83250","1"
"Japan","2016","Total","November","Data tabulated by year of occurrence","Final figure, complete","2018","77963","1"
"Japan","2016","Total","December","Data tabulated by year of occurrence","Final figure, complete","2018","79429","1"
"Japan","2016","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2018","0","1"
"Japan","2015","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2017","1005677","1"
"Japan","2015","Total","January","Data tabulated by year of occurrence","Final figure, complete","2017","84740","1"
"Japan","2015","Total","February","Data tabulated by year of occurrence","Final figure, complete","2017","75989","1"
"Japan","2015","Total","March","Data tabulated by year of occurrence","Final figure, complete","2017","81942","1"
"Japan","2015","Total","April","Data tabulated by year of occurrence","Final figure, complete","2017","83408","1"
"Japan","2015","Total","May","Data tabulated by year of occurrence","Final figure, complete","2017","83827","1"
"Japan","2015","Total","June","Data tabulated by year of occurrence","Final figure, complete","2017","83200","1"
"Japan","2015","Total","July","Data tabulated by year of occurrence","Final figure, complete","2017","88612","1"
"Japan","2015","Total","August","Data tabulated by year of occurrence","Final figure, complete","2017","86344","1"
"Japan","2015","Total","September","Data tabulated by year of occurrence","Final figure, complete","2017","86832","1"
"Japan","2015","Total","October","Data tabulated by year of occurrence","Final figure, complete","2017","85825","1"
"Japan","2015","Total","November","Data tabulated by year of occurrence","Final figure, complete","2017","80659","1"
"Japan","2015","Total","December","Data tabulated by year of occurrence","Final figure, complete","2017","84299","1"
