"Country or Area","Year","Area","Month","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Belarus","2015","Total","April","Data tabulated by year of occurrence","Final figure, complete","2017","9398",""
"Belarus","2015","Total","May","Data tabulated by year of occurrence","Final figure, complete","2017","9435",""
"Belarus","2015","Total","June","Data tabulated by year of occurrence","Final figure, complete","2017","10435",""
"Belarus","2015","Total","July","Data tabulated by year of occurrence","Final figure, complete","2017","11157",""
"Belarus","2015","Total","August","Data tabulated by year of occurrence","Final figure, complete","2017","10577",""
"Belarus","2015","Total","September","Data tabulated by year of occurrence","Final figure, complete","2017","10427",""
"Belarus","2015","Total","October","Data tabulated by year of occurrence","Final figure, complete","2017","10172",""
"Belarus","2015","Total","November","Data tabulated by year of occurrence","Final figure, complete","2017","9787",""
"Belarus","2015","Total","December","Data tabulated by year of occurrence","Final figure, complete","2017","9647",""
"Belarus","2014","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2016","118534",""
"Belarus","2014","Total","January","Data tabulated by year of occurrence","Final figure, complete","2016","10143",""
"Belarus","2014","Total","February","Data tabulated by year of occurrence","Final figure, complete","2016","8715",""
"Belarus","2014","Total","March","Data tabulated by year of occurrence","Final figure, complete","2016","9463",""
"Belarus","2014","Total","April","Data tabulated by year of occurrence","Final figure, complete","2016","9711",""
"Belarus","2014","Total","May","Data tabulated by year of occurrence","Final figure, complete","2016","10081",""
"Belarus","2014","Total","June","Data tabulated by year of occurrence","Final figure, complete","2016","10253",""
"Belarus","2014","Total","July","Data tabulated by year of occurrence","Final figure, complete","2016","11238",""
"Belarus","2014","Total","August","Data tabulated by year of occurrence","Final figure, complete","2016","10276",""
"Belarus","2014","Total","September","Data tabulated by year of occurrence","Final figure, complete","2016","10183",""
"Belarus","2014","Total","October","Data tabulated by year of occurrence","Final figure, complete","2016","10005",""
"Belarus","2014","Total","November","Data tabulated by year of occurrence","Final figure, complete","2016","9079",""
"Belarus","2014","Total","December","Data tabulated by year of occurrence","Final figure, complete","2016","9387",""
"Belarus","2013","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2015","117997",""
"Belarus","2013","Total","January","Data tabulated by year of occurrence","Final figure, complete","2015","10234",""
"Belarus","2013","Total","February","Data tabulated by year of occurrence","Final figure, complete","2015","8727",""
"Belarus","2013","Total","March","Data tabulated by year of occurrence","Final figure, complete","2015","9180",""
"Belarus","2013","Total","April","Data tabulated by year of occurrence","Final figure, complete","2015","9088",""
"Belarus","2013","Total","May","Data tabulated by year of occurrence","Final figure, complete","2015","9635",""
"Belarus","2013","Total","June","Data tabulated by year of occurrence","Final figure, complete","2015","10021",""
"Belarus","2013","Total","July","Data tabulated by year of occurrence","Final figure, complete","2015","10985",""
"Belarus","2013","Total","August","Data tabulated by year of occurrence","Final figure, complete","2015","10864",""
"Belarus","2013","Total","September","Data tabulated by year of occurrence","Final figure, complete","2015","10559",""
"Belarus","2013","Total","October","Data tabulated by year of occurrence","Final figure, complete","2015","10053",""
"Belarus","2013","Total","November","Data tabulated by year of occurrence","Final figure, complete","2015","9392",""
"Belarus","2013","Total","December","Data tabulated by year of occurrence","Final figure, complete","2015","9259",""
"Belarus","2012","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2013","115893",""
"Belarus","2012","Total","January","Data tabulated by year of occurrence","Final figure, complete","2013","9796",""
"Belarus","2012","Total","February","Data tabulated by year of occurrence","Final figure, complete","2013","8696",""
"Belarus","2012","Total","March","Data tabulated by year of occurrence","Final figure, complete","2013","9106",""
"Belarus","2012","Total","April","Data tabulated by year of occurrence","Final figure, complete","2013","8790",""
"Belarus","2012","Total","May","Data tabulated by year of occurrence","Final figure, complete","2013","9486",""
"Belarus","2012","Total","June","Data tabulated by year of occurrence","Final figure, complete","2013","9658",""
"Belarus","2012","Total","July","Data tabulated by year of occurrence","Final figure, complete","2013","10652",""
"Belarus","2012","Total","August","Data tabulated by year of occurrence","Final figure, complete","2013","10705",""
"Belarus","2012","Total","September","Data tabulated by year of occurrence","Final figure, complete","2013","9948",""
"Belarus","2012","Total","October","Data tabulated by year of occurrence","Final figure, complete","2013","10115",""
"Belarus","2012","Total","November","Data tabulated by year of occurrence","Final figure, complete","2013","9782",""
"Belarus","2012","Total","December","Data tabulated by year of occurrence","Final figure, complete","2013","9159",""
"Belarus","2011","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2012","109147",""
"Belarus","2011","Total","January","Data tabulated by year of occurrence","Final figure, complete","2012","9429",""
"Belarus","2011","Total","February","Data tabulated by year of occurrence","Final figure, complete","2012","8034",""
"Belarus","2011","Total","March","Data tabulated by year of occurrence","Final figure, complete","2012","8732",""
"Belarus","2011","Total","April","Data tabulated by year of occurrence","Final figure, complete","2012","8088",""
"Belarus","2011","Total","May","Data tabulated by year of occurrence","Final figure, complete","2012","8023",""
"Belarus","2011","Total","June","Data tabulated by year of occurrence","Final figure, complete","2012","9468",""
"Belarus","2011","Total","July","Data tabulated by year of occurrence","Final figure, complete","2012","10468",""
"Belarus","2011","Total","August","Data tabulated by year of occurrence","Final figure, complete","2012","10095",""
"Belarus","2011","Total","September","Data tabulated by year of occurrence","Final figure, complete","2012","9422",""
"Belarus","2011","Total","October","Data tabulated by year of occurrence","Final figure, complete","2012","9618",""
"Belarus","2011","Total","November","Data tabulated by year of occurrence","Final figure, complete","2012","8915",""
"Belarus","2011","Total","December","Data tabulated by year of occurrence","Final figure, complete","2012","8855",""
"Belarus","2009","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2010","109263",""
"Belarus","2009","Total","January","Data tabulated by year of occurrence","Final figure, complete","2010","10080",""
"Belarus","2009","Total","February","Data tabulated by year of occurrence","Final figure, complete","2010","8048",""
"Belarus","2009","Total","March","Data tabulated by year of occurrence","Final figure, complete","2010","9318",""
"Belarus","2009","Total","April","Data tabulated by year of occurrence","Final figure, complete","2010","9082",""
"Belarus","2009","Total","May","Data tabulated by year of occurrence","Final figure, complete","2010","8784",""
"Belarus","2009","Total","June","Data tabulated by year of occurrence","Final figure, complete","2010","9158",""
"Belarus","2009","Total","July","Data tabulated by year of occurrence","Final figure, complete","2010","10214",""
"Belarus","2009","Total","August","Data tabulated by year of occurrence","Final figure, complete","2010","9580",""
"Belarus","2009","Total","September","Data tabulated by year of occurrence","Final figure, complete","2010","9517",""
"Belarus","2009","Total","October","Data tabulated by year of occurrence","Final figure, complete","2010","8952",""
"Belarus","2009","Total","November","Data tabulated by year of occurrence","Final figure, complete","2010","8254",""
"Belarus","2009","Total","December","Data tabulated by year of occurrence","Final figure, complete","2010","8276",""
"Belarus","2009","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2010","0",""
"Belarus","2008","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2009","107876",""
"Belarus","2008","Total","January","Data tabulated by year of occurrence","Final figure, complete","2009","9649",""
"Belarus","2008","Total","February","Data tabulated by year of occurrence","Final figure, complete","2009","8052",""
"Belarus","2008","Total","March","Data tabulated by year of occurrence","Final figure, complete","2009","8199",""
"Belarus","2008","Total","April","Data tabulated by year of occurrence","Final figure, complete","2009","8914",""
"Belarus","2008","Total","May","Data tabulated by year of occurrence","Final figure, complete","2009","8772",""
"Belarus","2008","Total","June","Data tabulated by year of occurrence","Final figure, complete","2009","9102",""
"Belarus","2008","Total","July","Data tabulated by year of occurrence","Final figure, complete","2009","10286",""
"Belarus","2008","Total","August","Data tabulated by year of occurrence","Final figure, complete","2009","9756",""
"Belarus","2008","Total","September","Data tabulated by year of occurrence","Final figure, complete","2009","9354",""
"Belarus","2008","Total","October","Data tabulated by year of occurrence","Final figure, complete","2009","9124",""
"Belarus","2008","Total","November","Data tabulated by year of occurrence","Final figure, complete","2009","8279",""
"Belarus","2008","Total","December","Data tabulated by year of occurrence","Final figure, complete","2009","8389",""
"Belarus","2008","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2009","0",""
"Belarus","2007","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2008","103626",""
"Belarus","2007","Total","January","Data tabulated by year of occurrence","Final figure, complete","2008","9030",""
"Belarus","2007","Total","February","Data tabulated by year of occurrence","Final figure, complete","2008","7805",""
"Belarus","2007","Total","March","Data tabulated by year of occurrence","Final figure, complete","2008","8739",""
"Belarus","2007","Total","April","Data tabulated by year of occurrence","Final figure, complete","2008","8064",""
"Belarus","2007","Total","May","Data tabulated by year of occurrence","Final figure, complete","2008","8964",""
"Belarus","2007","Total","June","Data tabulated by year of occurrence","Final figure, complete","2008","8771",""
"Belarus","2007","Total","July","Data tabulated by year of occurrence","Final figure, complete","2008","9520",""
"Belarus","2007","Total","August","Data tabulated by year of occurrence","Final figure, complete","2008","9422",""
"Belarus","2007","Total","September","Data tabulated by year of occurrence","Final figure, complete","2008","8610",""
"Belarus","2007","Total","October","Data tabulated by year of occurrence","Final figure, complete","2008","8599",""
"Belarus","2007","Total","November","Data tabulated by year of occurrence","Final figure, complete","2008","8244",""
"Belarus","2007","Total","December","Data tabulated by year of occurrence","Final figure, complete","2008","7858",""
"Belarus","2007","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2008","0",""
"Belarus","2004","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2005","88943",""
"Belarus","2004","Total","January","Data tabulated by year of occurrence","Final figure, complete","2005","8844",""
"Belarus","2004","Total","February","Data tabulated by year of occurrence","Final figure, complete","2005","6726",""
"Belarus","2004","Total","March","Data tabulated by year of occurrence","Final figure, complete","2005","7692",""
"Belarus","2004","Total","April","Data tabulated by year of occurrence","Final figure, complete","2005","7588",""
"Belarus","2004","Total","May","Data tabulated by year of occurrence","Final figure, complete","2005","7298",""
"Belarus","2004","Total","June","Data tabulated by year of occurrence","Final figure, complete","2005","7914",""
"Belarus","2004","Total","July","Data tabulated by year of occurrence","Final figure, complete","2005","8199",""
"Belarus","2004","Total","August","Data tabulated by year of occurrence","Final figure, complete","2005","7611",""
"Belarus","2004","Total","September","Data tabulated by year of occurrence","Final figure, complete","2005","7189",""
"Belarus","2004","Total","October","Data tabulated by year of occurrence","Final figure, complete","2005","6879",""
"Belarus","2004","Total","November","Data tabulated by year of occurrence","Final figure, complete","2005","6703",""
"Belarus","2004","Total","December","Data tabulated by year of occurrence","Final figure, complete","2005","6300",""
"Belarus","1999","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2000","92975","1"
"Belarus","1999","Total","January","Data tabulated by year of occurrence","Final figure, complete","2000","9016","1"
"Belarus","1999","Total","February","Data tabulated by year of occurrence","Final figure, complete","2000","7377","1"
"Belarus","1999","Total","March","Data tabulated by year of occurrence","Final figure, complete","2000","7938","1"
"Belarus","1999","Total","April","Data tabulated by year of occurrence","Final figure, complete","2000","8027","1"
"Belarus","1999","Total","May","Data tabulated by year of occurrence","Final figure, complete","2000","8069","1"
"Belarus","1999","Total","June","Data tabulated by year of occurrence","Final figure, complete","2000","8479","1"
"Belarus","1999","Total","July","Data tabulated by year of occurrence","Final figure, complete","2000","8443","1"
"Belarus","1999","Total","August","Data tabulated by year of occurrence","Final figure, complete","2000","8034","1"
"Belarus","1999","Total","September","Data tabulated by year of occurrence","Final figure, complete","2000","7818","1"
"Belarus","1999","Total","October","Data tabulated by year of occurrence","Final figure, complete","2000","7145","1"
"Belarus","1999","Total","November","Data tabulated by year of occurrence","Final figure, complete","2000","6356","1"
"Belarus","1999","Total","December","Data tabulated by year of occurrence","Final figure, complete","2000","6273","1"
"Belarus","1998","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1999","92645","1"
"Belarus","1998","Total","January","Data tabulated by year of occurrence","Final figure, complete","1999","8851","1"
"Belarus","1998","Total","February","Data tabulated by year of occurrence","Final figure, complete","1999","7173","1"
"Belarus","1998","Total","March","Data tabulated by year of occurrence","Final figure, complete","1999","7926","1"
"Belarus","1998","Total","April","Data tabulated by year of occurrence","Final figure, complete","1999","7776","1"
"Belarus","1998","Total","May","Data tabulated by year of occurrence","Final figure, complete","1999","8184","1"
"Belarus","1998","Total","June","Data tabulated by year of occurrence","Final figure, complete","1999","8022","1"
"Belarus","1998","Total","July","Data tabulated by year of occurrence","Final figure, complete","1999","8416","1"
"Belarus","1998","Total","August","Data tabulated by year of occurrence","Final figure, complete","1999","7886","1"
"Belarus","1998","Total","September","Data tabulated by year of occurrence","Final figure, complete","1999","7719","1"
"Belarus","1998","Total","October","Data tabulated by year of occurrence","Final figure, complete","1999","7500","1"
"Belarus","1998","Total","November","Data tabulated by year of occurrence","Final figure, complete","1999","6807","1"
"Belarus","1998","Total","December","Data tabulated by year of occurrence","Final figure, complete","1999","6385","1"
"Belarus","1997","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1998","89586","1"
"Belarus","1997","Total","January","Data tabulated by year of occurrence","Final figure, complete","1998","7866","1"
"Belarus","1997","Total","February","Data tabulated by year of occurrence","Final figure, complete","1998","7117","1"
"Belarus","1997","Total","March","Data tabulated by year of occurrence","Final figure, complete","1998","7112","1"
"Belarus","1997","Total","April","Data tabulated by year of occurrence","Final figure, complete","1998","7754","1"
