"Country or Area","Year","Area","Month","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Norway","2015","Total","March","Data tabulated by year of occurrence","Final figure, complete","2017","4759",""
"Norway","2015","Total","April","Data tabulated by year of occurrence","Final figure, complete","2017","5113",""
"Norway","2015","Total","May","Data tabulated by year of occurrence","Final figure, complete","2017","5261",""
"Norway","2015","Total","June","Data tabulated by year of occurrence","Final figure, complete","2017","5386",""
"Norway","2015","Total","July","Data tabulated by year of occurrence","Final figure, complete","2017","5630",""
"Norway","2015","Total","August","Data tabulated by year of occurrence","Final figure, complete","2017","5304",""
"Norway","2015","Total","September","Data tabulated by year of occurrence","Final figure, complete","2017","4951",""
"Norway","2015","Total","October","Data tabulated by year of occurrence","Final figure, complete","2017","4800",""
"Norway","2015","Total","November","Data tabulated by year of occurrence","Final figure, complete","2017","4202",""
"Norway","2015","Total","December","Data tabulated by year of occurrence","Final figure, complete","2017","4152",""
"Norway","2015","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2017","0",""
"Norway","2014","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2016","58976",""
"Norway","2014","Total","January","Data tabulated by year of occurrence","Final figure, complete","2016","4866",""
"Norway","2014","Total","February","Data tabulated by year of occurrence","Final figure, complete","2016","4622",""
"Norway","2014","Total","March","Data tabulated by year of occurrence","Final figure, complete","2016","4861",""
"Norway","2014","Total","April","Data tabulated by year of occurrence","Final figure, complete","2016","5116",""
"Norway","2014","Total","May","Data tabulated by year of occurrence","Final figure, complete","2016","5370",""
"Norway","2014","Total","June","Data tabulated by year of occurrence","Final figure, complete","2016","5242",""
"Norway","2014","Total","July","Data tabulated by year of occurrence","Final figure, complete","2016","5479",""
"Norway","2014","Total","August","Data tabulated by year of occurrence","Final figure, complete","2016","5185",""
"Norway","2014","Total","September","Data tabulated by year of occurrence","Final figure, complete","2016","4905",""
"Norway","2014","Total","October","Data tabulated by year of occurrence","Final figure, complete","2016","4730",""
"Norway","2014","Total","November","Data tabulated by year of occurrence","Final figure, complete","2016","4308",""
"Norway","2014","Total","December","Data tabulated by year of occurrence","Final figure, complete","2016","4292",""
"Norway","2013","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2015","58878",""
"Norway","2013","Total","January","Data tabulated by year of occurrence","Final figure, complete","2015","4722",""
"Norway","2013","Total","February","Data tabulated by year of occurrence","Final figure, complete","2015","4502",""
