"Country or Area","Year","Area","Month","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Finland","2015","Total","March","Data tabulated by year of occurrence","Final figure, complete","2017","4603",""
"Finland","2015","Total","April","Data tabulated by year of occurrence","Final figure, complete","2017","4629",""
"Finland","2015","Total","May","Data tabulated by year of occurrence","Final figure, complete","2017","4633",""
"Finland","2015","Total","June","Data tabulated by year of occurrence","Final figure, complete","2017","4696",""
"Finland","2015","Total","July","Data tabulated by year of occurrence","Final figure, complete","2017","5010",""
"Finland","2015","Total","August","Data tabulated by year of occurrence","Final figure, complete","2017","4882",""
"Finland","2015","Total","September","Data tabulated by year of occurrence","Final figure, complete","2017","4756",""
"Finland","2015","Total","October","Data tabulated by year of occurrence","Final figure, complete","2017","4615",""
"Finland","2015","Total","November","Data tabulated by year of occurrence","Final figure, complete","2017","4500",""
"Finland","2015","Total","December","Data tabulated by year of occurrence","Final figure, complete","2017","4280",""
"Finland","2014","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2015","57079",""
"Finland","2014","Total","January - March","Data tabulated by year of occurrence","Final figure, complete","2014","13934",""
"Finland","2014","Total","April - June","Data tabulated by year of occurrence","Final figure, complete","2014","14547",""
"Finland","2014","Total","July - September","Data tabulated by year of occurrence","Final figure, complete","2014","15333",""
"Finland","2014","Total","October - December","Data tabulated by year of occurrence","Final figure, complete","2015","13240",""
"Finland","2013","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2015","58134",""
"Finland","2013","Total","January","Data tabulated by year of occurrence","Final figure, complete","2015","4837",""
"Finland","2013","Total","February","Data tabulated by year of occurrence","Final figure, complete","2015","4463",""
"Finland","2013","Total","March","Data tabulated by year of occurrence","Final figure, complete","2015","4970",""
"Finland","2013","Total","April","Data tabulated by year of occurrence","Final figure, complete","2015","4840",""
"Finland","2013","Total","May","Data tabulated by year of occurrence","Final figure, complete","2015","5014",""
"Finland","2013","Total","June","Data tabulated by year of occurrence","Final figure, complete","2015","4866",""
"Finland","2013","Total","July","Data tabulated by year of occurrence","Final figure, complete","2015","5247",""
"Finland","2013","Total","August","Data tabulated by year of occurrence","Final figure, complete","2015","5134",""
"Finland","2013","Total","September","Data tabulated by year of occurrence","Final figure, complete","2015","5025",""
"Finland","2013","Total","October","Data tabulated by year of occurrence","Final figure, complete","2015","4987",""
"Finland","2013","Total","November","Data tabulated by year of occurrence","Final figure, complete","2015","4400",""
"Finland","2013","Total","December","Data tabulated by year of occurrence","Final figure, complete","2015","4351",""
"Finland","2012","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2013","59493",""
"Finland","2012","Total","January","Data tabulated by year of occurrence","Final figure, complete","2013","4991",""
"Finland","2012","Total","February","Data tabulated by year of occurrence","Final figure, complete","2013","4722",""
"Finland","2012","Total","March","Data tabulated by year of occurrence","Final figure, complete","2013","5061",""
"Finland","2012","Total","April","Data tabulated by year of occurrence","Final figure, complete","2013","4822",""
"Finland","2012","Total","May","Data tabulated by year of occurrence","Final figure, complete","2013","5003",""
"Finland","2012","Total","June","Data tabulated by year of occurrence","Final figure, complete","2013","5047",""
"Finland","2012","Total","July","Data tabulated by year of occurrence","Final figure, complete","2013","5384",""
"Finland","2012","Total","August","Data tabulated by year of occurrence","Final figure, complete","2013","5388",""
"Finland","2012","Total","September","Data tabulated by year of occurrence","Final figure, complete","2013","4990",""
"Finland","2012","Total","October","Data tabulated by year of occurrence","Final figure, complete","2013","4832",""
"Finland","2012","Total","November","Data tabulated by year of occurrence","Final figure, complete","2013","4769",""
"Finland","2012","Total","December","Data tabulated by year of occurrence","Final figure, complete","2013","4484",""
"Finland","2011","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2012","59961",""
"Finland","2011","Total","January","Data tabulated by year of occurrence","Final figure, complete","2012","5070",""
"Finland","2011","Total","February","Data tabulated by year of occurrence","Final figure, complete","2012","4592",""
"Finland","2011","Total","March","Data tabulated by year of occurrence","Final figure, complete","2012","5072",""
"Finland","2011","Total","April","Data tabulated by year of occurrence","Final figure, complete","2012","4790",""
"Finland","2011","Total","May","Data tabulated by year of occurrence","Final figure, complete","2012","5091",""
"Finland","2011","Total","June","Data tabulated by year of occurrence","Final figure, complete","2012","5057",""
"Finland","2011","Total","July","Data tabulated by year of occurrence","Final figure, complete","2012","5309",""
"Finland","2011","Total","August","Data tabulated by year of occurrence","Final figure, complete","2012","5434",""
"Finland","2011","Total","September","Data tabulated by year of occurrence","Final figure, complete","2012","5274",""
"Finland","2011","Total","October","Data tabulated by year of occurrence","Final figure, complete","2012","4888",""
"Finland","2011","Total","November","Data tabulated by year of occurrence","Final figure, complete","2012","4803",""
"Finland","2011","Total","December","Data tabulated by year of occurrence","Final figure, complete","2012","4581",""
"Finland","2010","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2011","60980","1,2"
"Finland","2010","Total","January","Data tabulated by year of occurrence","Final figure, complete","2011","5007","1,2"
"Finland","2010","Total","February","Data tabulated by year of occurrence","Final figure, complete","2011","4733","1,2"
"Finland","2010","Total","March","Data tabulated by year of occurrence","Final figure, complete","2011","5297","1,2"
"Finland","2010","Total","April","Data tabulated by year of occurrence","Final figure, complete","2011","4956","1,2"
"Finland","2010","Total","May","Data tabulated by year of occurrence","Final figure, complete","2011","5095","1,2"
"Finland","2010","Total","June","Data tabulated by year of occurrence","Final figure, complete","2011","5111","1,2"
"Finland","2010","Total","July","Data tabulated by year of occurrence","Final figure, complete","2011","5441","1,2"
"Finland","2010","Total","August","Data tabulated by year of occurrence","Final figure, complete","2011","5272","1,2"
"Finland","2010","Total","September","Data tabulated by year of occurrence","Final figure, complete","2011","5280","1,2"
"Finland","2010","Total","October","Data tabulated by year of occurrence","Final figure, complete","2011","5251","1,2"
"Finland","2010","Total","November","Data tabulated by year of occurrence","Final figure, complete","2011","4716","1,2"
"Finland","2010","Total","December","Data tabulated by year of occurrence","Final figure, complete","2011","4821","1,2"
"Finland","2010","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2011","0","1,2"
"Finland","2009","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2010","60430","1"
"Finland","2009","Total","January","Data tabulated by year of occurrence","Final figure, complete","2010","5040","1"
"Finland","2009","Total","February","Data tabulated by year of occurrence","Final figure, complete","2010","4568","1"
"Finland","2009","Total","March","Data tabulated by year of occurrence","Final figure, complete","2010","5184","1"
"Finland","2009","Total","April","Data tabulated by year of occurrence","Final figure, complete","2010","5113","1"
"Finland","2009","Total","May","Data tabulated by year of occurrence","Final figure, complete","2010","5052","1"
"Finland","2009","Total","June","Data tabulated by year of occurrence","Final figure, complete","2010","5121","1"
"Finland","2009","Total","July","Data tabulated by year of occurrence","Final figure, complete","2010","5327","1"
"Finland","2009","Total","August","Data tabulated by year of occurrence","Final figure, complete","2010","5323","1"
"Finland","2009","Total","September","Data tabulated by year of occurrence","Final figure, complete","2010","5130","1"
"Finland","2009","Total","October","Data tabulated by year of occurrence","Final figure, complete","2010","5002","1"
"Finland","2009","Total","November","Data tabulated by year of occurrence","Final figure, complete","2010","4722","1"
"Finland","2009","Total","December","Data tabulated by year of occurrence","Final figure, complete","2010","4848","1"
"Finland","2009","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2010","0","1"
"Finland","2008","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2009","59530","1"
"Finland","2008","Total","January","Data tabulated by year of occurrence","Final figure, complete","2009","5024","1"
"Finland","2008","Total","February","Data tabulated by year of occurrence","Final figure, complete","2009","4837","1"
"Finland","2008","Total","March","Data tabulated by year of occurrence","Final figure, complete","2009","5095","1"
"Finland","2008","Total","April","Data tabulated by year of occurrence","Final figure, complete","2009","5034","1"
"Finland","2008","Total","May","Data tabulated by year of occurrence","Final figure, complete","2009","4981","1"
"Finland","2008","Total","June","Data tabulated by year of occurrence","Final figure, complete","2009","4980","1"
