,Unnamed: 0,depth,rate,weight,lambdas,model,test_error,training_error
0,0.0,,,,,0.0,0.2369167705467739,0.1958699835842059
1,1.0,,,,,1.0,0.2369167705467739,0.1958699835842059
2,2.0,,,,,2.0,0.2369167705467739,0.1958699835842059
3,3.0,,,,,3.0,0.2369559472575861,0.1958734146372646
4,4.0,,,,,4.0,0.2369167705467739,0.1958699835842059
5,5.0,,,,,5.0,0.2369167705467739,0.1958699835842059
6,6.0,,,,,6.0,0.2369167705467739,0.1958699835842059
7,7.0,,,,,7.0,0.2369559472575861,0.1958734146372646
8,8.0,,,,,8.0,0.2349500094850589,0.1958888543760283
9,9.0,,,,,9.0,0.2349500094850589,0.1958888543760283
10,10.0,,,,,10.0,0.2349500094850589,0.1958888543760283
11,11.0,,,,,11.0,0.234989186195871,0.195892285429087
12,12.0,,,,,12.0,0.2544050069584215,0.0511084163665981
13,13.0,,,,,13.0,0.2517922508484607,0.0523509135277083
14,14.0,,,,,14.0,0.2505106615458037,0.0545207368444053
15,15.0,,,,,15.0,0.2549286677533694,0.0515676616786077
16,16.0,,,,,16.0,0.2535559465789195,0.0516309231442316
17,17.0,,,,,17.0,0.2512086117550305,0.0507562625132089
18,18.0,,,,,18.0,0.2535559465789195,0.0516309231442316
19,19.0,,,,,19.0,0.2549407024596214,0.0538830917343357
20,20.0,,,,,20.0,0.248744588159011,0.0536497801263504
21,21.0,,,,,21.0,0.2503395911481644,0.0532660030206431
22,22.0,,,,,22.0,0.248744588159011,0.0536497801263504
23,23.0,,,,,23.0,0.249541693377532,0.055900962003729
24,24.0,,,,,24.0,0.3011032302146337,0.0203217945622612
25,25.0,,,,,25.0,0.3011032302146337,0.0203183635092026
26,26.0,,,,,26.0,0.3011032302146337,0.0203217945622612
27,27.0,,,,,27.0,0.2806768985376646,0.0195762992577929
28,28.0,,,,,28.0,0.2894170237683354,0.0206337924136469
29,29.0,,,,,29.0,0.2894170237683354,0.0206337924136469
30,30.0,,,,,30.0,0.2894170237683354,0.0206337924136469
31,31.0,,,,,31.0,0.291428509405641,0.0208898767813949
32,32.0,,,,,32.0,0.2998456615162862,0.0207688331335921
33,33.0,,,,,33.0,0.297095415046525,0.0209438168395817
34,34.0,,,,,34.0,0.297095415046525,0.0209438168395817
35,35.0,,,,,35.0,0.2888989596463607,0.0218096269780484
36,36.0,,,,,36.0,0.3442854505886523,0.0115168154670777
37,37.0,,,,,37.0,0.3442854505886523,0.0115168154670777
38,38.0,,,,,38.0,0.3442854505886523,0.0115168154670777
39,39.0,,,,,39.0,0.3389679651366318,0.0113234468451355
40,40.0,,,,,40.0,0.3360906291009051,0.0121270570356402
41,41.0,,,,,41.0,0.3376472479313575,0.0121853849376363
42,42.0,,,,,42.0,0.3360906291009051,0.0121270570356402
43,43.0,,,,,43.0,0.3377583400305147,0.0119018222234451
44,44.0,,,,,44.0,0.3276647101088417,0.0120216661425618
45,45.0,,,,,45.0,0.3276647101088417,0.0120216661425618
46,46.0,,,,,46.0,0.3276647101088417,0.0120216661425618
47,47.0,,,,,47.0,0.3282091724914597,0.0123897755325581
48,48.0,,,,,48.0,0.2859042887109759,0.0626267414685245
49,49.0,,,,,49.0,0.2850376457604434,0.0627725612235152
50,50.0,,,,,50.0,0.2859098853839491,0.0626267414685245
51,51.0,,,,,51.0,0.2849704856847657,0.062657135070183
52,52.0,,,,,52.0,0.275531666500951,0.0644407519018271
53,53.0,,,,,53.0,0.275531666500951,0.0644407519018271
54,54.0,,,,,54.0,0.275531666500951,0.0644407519018271
55,55.0,,,,,55.0,0.2744067840415425,0.0651188557957836
56,56.0,,,,,56.0,0.2798961324433135,0.0676646223603328
57,57.0,,,,,57.0,0.2799073257892599,0.0676611913072743
58,58.0,,,,,58.0,0.2798961324433135,0.0676646223603328
59,59.0,,,,,59.0,0.2795419569417826,0.0680297716121526
60,60.0,,,,,60.0,0.3241906636803486,0.0040229097112145
61,61.0,,,,,61.0,0.3155041275230756,0.0040606512948591
62,62.0,,,,,62.0,0.3187237019704704,0.0038616502174599
63,63.0,,,,,63.0,0.316463536257818,0.0042099021029083
64,64.0,,,,,64.0,0.3138883717544467,0.0050059064125048
65,65.0,,,,,65.0,0.3207376628804987,0.00514143300832
66,66.0,,,,,66.0,0.3175012984141846,0.0051054069512043
67,67.0,,,,,67.0,0.3088219928423015,0.0056869704446381
68,68.0,,,,,68.0,0.2983542271917331,0.0066596739867527
69,69.0,,,,,69.0,0.2959085787188554,0.0069701842885563
70,70.0,,,,,70.0,0.2991521249623652,0.0070628227211387
71,71.0,,,,,71.0,0.3057807193779361,0.0063320084196558
72,72.0,,,,,72.0,0.3915799937720743,0.0002624755589832
73,73.0,,,,,73.0,0.3698097168376324,0.0002744842446884
74,74.0,,,,,74.0,0.3769819810837103,0.0003036481956864
75,75.0,,,,,75.0,0.3853199384124256,0.0003190879344502
76,76.0,,,,,76.0,0.3644131342200714,0.0006913571913086
77,77.0,,,,,77.0,0.368429813885987,0.000646753501547
78,78.0,,,,,78.0,0.3624639557293869,0.0006570466607227
79,79.0,,,,,79.0,0.3695147270824724,0.0007050814035434
80,80.0,,,,,80.0,0.3641517245027501,0.0011494027746323
81,81.0,,,,,81.0,0.352099307848669,0.0010241693379935
82,82.0,,,,,82.0,0.3510863588487235,0.0011236698766928
83,83.0,,,,,83.0,0.3596465491839479,0.0009984364400537
84,84.0,,,,,84.0,0.3949761864818871,6.175895505511342e-05
85,85.0,,,,,85.0,0.4057142263475837,3.087947752755671e-05
